wikidata_id,person_id,name,birth_year_values,birth_place_values,birth_scope_category,birth_place_labels
http://www.wikidata.org/entity/Q107618589,Q107618589,Adrianus Bruggemans,1763,Ryswick,europe,Ryswick
http://www.wikidata.org/entity/Q109811576,Q109811576,André-Ignace-Joseph Dufresnoy,1733,Valenciennes,europe,Valenciennes
http://www.wikidata.org/entity/Q38163226,Q38163226,Anne-Marie Lacroix,1732,Loudun,europe,Loudun
http://www.wikidata.org/entity/Q12947994,Q12947994,Antoine Favel,1750,Toulon,europe,Toulon
http://www.wikidata.org/entity/Q3620090,Q3620090,Antonio Ricciardi,1700,Loano,europe,Loano
http://www.wikidata.org/entity/Q1041845,Q1041845,Carlo Antonio Bertinazzi,1710,Turin,europe,Turin
http://www.wikidata.org/entity/Q5083191,Q5083191,Charles-Guillaume-Frédéric Dumas,1721,Ansbach,europe,Ansbach
http://www.wikidata.org/entity/Q2958217,Q2958217,Charles-Louis de Beausobre,1690,Dessau,europe,Dessau
http://www.wikidata.org/entity/Q318216,Q318216,Cosimo Alessandro Collini,1727,Florence,europe,Florence
http://www.wikidata.org/entity/Q5986198,Q5986198,Domenico Michelessi,1735,Spinetoli,europe,Spinetoli
http://www.wikidata.org/entity/Q15144008,Q15144008,Ferdinand-Marie Bayard de la Vingtrie,1763,Moulins-la-Marche,europe,Moulins-la-Marche
http://www.wikidata.org/entity/Q990016,Q990016,František Martin Pelcl,1734,Rychnov nad Kněžnou,europe,Rychnov nad Kněžnou
http://www.wikidata.org/entity/Q4074441,Q4074441,François Babié de Bercenay,1761,Lavaur,europe,Lavaur
http://www.wikidata.org/entity/Q71302887,Q71302887,Friederike Henriette Wiesenhütten,1754,Ansbach,europe,Ansbach
http://www.wikidata.org/entity/Q16559762,Q16559762,Giovanni Battista Biffi,1736,Crémone,europe,Crémone
http://www.wikidata.org/entity/Q2596242,Q2596242,Giovanni Battista Brocchi,1772,Bassano del Grappa,europe,Bassano del Grappa
http://www.wikidata.org/entity/Q741900,Q741900,Giuseppe Baretti,1719,Turin,europe,Turin
http://www.wikidata.org/entity/Q56007072,Q56007072,Giuseppe De Lama,1757,Colorno,europe,Colorno
http://www.wikidata.org/entity/Q62721180,Q62721180,Jacques Calmanson,1722,Hrubieszów,europe,Hrubieszów
http://www.wikidata.org/entity/Q1389496,Q1389496,Jean Sigismond Ehrenreich de Redern Bernsdorf,1761,Berlin,europe,Berlin
http://www.wikidata.org/entity/Q110375,Q110375,Jean-Charles Krafft,1764,Bludenz,europe,Bludenz
http://www.wikidata.org/entity/Q84667,Q84667,Johann Karl Zinzendorf,1739,Dresde,europe,Dresde
http://www.wikidata.org/entity/Q58231402,Q58231402,Johann Rudolf Frey,1727,Bâle,europe,Bâle
http://www.wikidata.org/entity/Q3184884,Q3184884,Joseph Dulac,1706,Chambéry,europe,Chambéry
http://www.wikidata.org/entity/Q60840976,Q60840976,Joseph Marie Durey de Morsan,1717,Genève,europe,Genève
http://www.wikidata.org/entity/Q120914440,Q120914440,Joseph-Anne Vialle,1762,Tulle,europe,Tulle
http://www.wikidata.org/entity/Q121289194,Q121289194,Louis Caullet de Veaumorel,1743,Versailles,europe,Versailles
http://www.wikidata.org/entity/Q3260523,Q3260523,Louis-Frédéric Ancillon,1740,Berlin,europe,Berlin
http://www.wikidata.org/entity/Q3265974,Q3265974,Lucretia van Merken,1721,Amsterdam,europe,Amsterdam
http://www.wikidata.org/entity/Q107695217,Q107695217,Ludwig Franz von Bilderbeck,1764 | 1766,Wissembourg,europe,Wissembourg
http://www.wikidata.org/entity/Q1117956,Q1117956,Marianna Dionigi,1756,Rome,europe,Rome
http://www.wikidata.org/entity/Q60844113,Q60844113,Marie-Joséphine de Lescun de Monbart,1758 | 1760,Paris,europe,Paris
http://www.wikidata.org/entity/Q7029666,Q7029666,Nicolas Gouin Dufief,1775,Nantes,europe,Nantes
http://www.wikidata.org/entity/Q43763920,Q43763920,Nicolas Paradis,1732 | 1733,Verdun | Lorraine,europe,Lorraine | Verdun
http://www.wikidata.org/entity/Q3893654,Q3893654,Paolina Secco Suardo,1746,Bergame,europe,Bergame
http://www.wikidata.org/entity/Q56062338,Q56062338,Pierre-Joseph de Solignac,1687,Montpellier,europe,Montpellier
http://www.wikidata.org/entity/Q110701276,Q110701276,Q110701276,1726,Turin,europe,Turin
http://www.wikidata.org/entity/Q113352803,Q113352803,Q113352803,1765,Gênes,europe,Gênes
http://www.wikidata.org/entity/Q117543679,Q117543679,Q117543679,1714,Minden,europe,Minden
http://www.wikidata.org/entity/Q118869868,Q118869868,Q118869868,1766,Nice,europe,Nice
http://www.wikidata.org/entity/Q133683777,Q133683777,Q133683777,1700,Cherasco,europe,Cherasco
http://www.wikidata.org/entity/Q41618439,Q41618439,Q41618439,1759,Paris,europe,Paris
http://www.wikidata.org/entity/Q94577506,Q94577506,Q94577506,1759,Vienne,europe,Vienne
http://www.wikidata.org/entity/Q7341443,Q7341443,Robert Allan,1774,Renfrewshire,europe,Renfrewshire
http://www.wikidata.org/entity/Q55229494,Q55229494,Samuel de Constant,1729,Lausanne,europe,Lausanne
http://www.wikidata.org/entity/Q723643,Q723643,Vincenzo Monti,1754,Alfonsine,europe,Alfonsine
http://www.wikidata.org/entity/Q109570931,Q109570931,Moïse Edrehi,1774,Agadir,non_europe_or_colonial,Agadir
http://www.wikidata.org/entity/Q379887,Q379887,Olaudah Equiano,1745,Bénin,non_europe_or_colonial,Bénin
http://www.wikidata.org/entity/Q20511262,Q20511262,Jacques Chahan de Cirbied,1772,Édesse,transcontinental_or_imperial_context,Édesse
