cohort_id,citizenship_id,citizenship_label,entity_count,cohort_total_entities,cohort_pct,wikidata_url
french_seed,Q142,France,1327,1638,81.01,https://www.wikidata.org/wiki/Q142
french_seed,Q70972,royaume de France,66,1638,4.03,https://www.wikidata.org/wiki/Q70972
french_seed,Q39,Suisse,40,1638,2.44,https://www.wikidata.org/wiki/Q39
french_seed,Q183,Allemagne,29,1638,1.77,https://www.wikidata.org/wiki/Q183
french_seed,Q34266,Empire russe,25,1638,1.53,https://www.wikidata.org/wiki/Q34266
french_seed,Q23366230,république de Genève,19,1638,1.16,https://www.wikidata.org/wiki/Q23366230
french_seed,Q172107,république des Deux Nations,14,1638,0.85,https://www.wikidata.org/wiki/Q172107
french_seed,Q29,Espagne,14,1638,0.85,https://www.wikidata.org/wiki/Q29
french_seed,Q161885,royaume de Grande-Bretagne,12,1638,0.73,https://www.wikidata.org/wiki/Q161885
french_seed,Q30,États-Unis,12,1638,0.73,https://www.wikidata.org/wiki/Q30
french_seed,Q174193,Royaume-Uni de Grande-Bretagne et d'Irlande,11,1638,0.67,https://www.wikidata.org/wiki/Q174193
french_seed,Q27306,royaume de Prusse,10,1638,0.61,https://www.wikidata.org/wiki/Q27306
french_seed,Q756617,Royaume de Danemark,7,1638,0.43,https://www.wikidata.org/wiki/Q756617
french_seed,Q4948,république de Venise,7,1638,0.43,https://www.wikidata.org/wiki/Q4948
french_seed,Q170072,Provinces-Unies,6,1638,0.37,https://www.wikidata.org/wiki/Q170072
french_seed,Q28,Hongrie,5,1638,0.31,https://www.wikidata.org/wiki/Q28
french_seed,Q34,Suède,5,1638,0.31,https://www.wikidata.org/wiki/Q34
french_seed,Q16,Canada,5,1638,0.31,https://www.wikidata.org/wiki/Q16
french_seed,Q2577303,royaume de Sardaigne,5,1638,0.31,https://www.wikidata.org/wiki/Q2577303
french_seed,Q153136,Monarchie de Habsbourg,4,1638,0.24,https://www.wikidata.org/wiki/Q153136
french_seed,Q12560,Empire ottoman,4,1638,0.24,https://www.wikidata.org/wiki/Q12560
french_seed,Q131964,empire d'Autriche,4,1638,0.24,https://www.wikidata.org/wiki/Q131964
french_seed,Q158835,principauté de Liège,4,1638,0.24,https://www.wikidata.org/wiki/Q158835
french_seed,Q31,Belgique,3,1638,0.18,https://www.wikidata.org/wiki/Q31
french_seed,Q6581823,Pays-Bas méridionaux,3,1638,0.18,https://www.wikidata.org/wiki/Q6581823
french_seed,Q12548,Saint-Empire romain germanique,2,1638,0.12,https://www.wikidata.org/wiki/Q12548
