wikidata_id,name,candidate_affiliation,possible_box_count,citizenship_support,native_language_support,spoken_written_language_support,writing_language_support,checked_box_count,score_share
http://www.wikidata.org/entity/Q21406125,A.-M. Lafortelle,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q21406125,A.-M. Lafortelle,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q311480,Abbé Prévost,Anglophone,4,False,False,True,False,1,0.25
http://www.wikidata.org/entity/Q311480,Abbé Prévost,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q311480,Abbé Prévost,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q206191,Abigail Adams,Anglophone,3,True,False,True,True,3,1.0
http://www.wikidata.org/entity/Q206191,Abigail Adams,British,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q206191,Abigail Adams,French,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,German,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,Germany,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,Austrian/Habsburg,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,French,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,German,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,French,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,Greek,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,Ottoman,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,Dutch,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,French,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,German,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,French,2,False,False,True,False,1,0.5
