wikidata_id,person_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_supporting_evidence_count,second_supporting_evidence_count,top_candidate_tie_count,available_mapped_evidence_count,total_evidence_fields,top_score_over_total_fields,top_score_over_available_fields,score_formula,available_score_formula
http://www.wikidata.org/entity/Q1003664,Q1003664,François Hanriot,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q100879781,Q100879781,Marie-Antoinette Fagnan,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q100894221,Q100894221,Adrien François d'Huez,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q101111611,Q101111611,Jean Fidel Constant Blanvillain,3,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q101638,Q101638,Mary Wollstonecraft,5,British,British,5,2,1,7,8,0.625,0.7143,5 / 8,5 / 7
http://www.wikidata.org/entity/Q102179180,Q102179180,Françoise Masquière,2,France,France,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q1032758,Q1032758,József Hajnóczy,8,Hungarian,Hungarian,3,2,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q1038496,Q1038496,Carl Gustaf Tessin,8,Swedish,Swedish,6,1,1,6,8,0.75,1.0,6 / 8,6 / 6
http://www.wikidata.org/entity/Q104007434,Q104007434,Pierre-Romain Nicolas de Lisleferme,1,France,France,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q104092014,Q104092014,Jean-Louis Boucharlat,2,France,France,4,2,1,6,8,0.5,0.6667,4 / 8,4 / 6
http://www.wikidata.org/entity/Q1041076,Q1041076,Karl Wilhelm Ettinger,3,,German | Germany,4,1,2,5,8,0.5,0.8,4 / 8,4 / 5
