wikidata_id,person_id,name,source_row_count,birth_year_values,birth_place_values,citizenship_ids,citizenship_labels,has_country_of_citizenship,birth_place_context_row_count,birth_place_ids,birth_place_labels,birth_scope_category,counts_as_europe_in_binary_rollup,counts_as_non_europe_or_colonial_in_binary_rollup,birth_context_token_ids,birth_context_token_labels,europe_token_ids,europe_token_labels,non_europe_token_ids,non_europe_token_labels,colonial_token_ids,colonial_token_labels,transcontinental_or_imperial_token_ids,transcontinental_or_imperial_token_labels
http://www.wikidata.org/entity/Q21406125,Q21406125,A.-M. Lafortelle,1,1769,Paris,Q142,France,True,1,Q90,Paris,europe,True,False,Q90 | Q142 | Q70972 | Q146246 | Q2748708 | Q71084 | Q58296 | Q16665915 | Q13917 | Q2863958 | Q1142326 | Q124881945 | Q212429,Département de Paris | First French Empire | France | France métropolitaine | French First Republic | Kingdom of France | Métropole du Grand Paris | Paris | Seine | arrondissement de Paris | occupation de la France par l'Allemagne pendant la Seconde Guerre mondiale | royaume des Francs | Île-de-France,Q142 | Q58296 | Q70972 | Q71084,First French Empire | France | French First Republic | Kingdom of France,,,,,Q58296,First French Empire
http://www.wikidata.org/entity/Q311480,Q311480,Abbé Prévost,1,1697,Hesdin,Q142,France,True,1,Q467366,Hesdin,europe,True,False,Q467366 | Q142 | Q1725497 | Q12689 | Q701806 | Q18677767 | Q16987 | Q212429,France | France métropolitaine | Hauts-de-France | Hesdin | Nord-Pas-de-Calais | Pas-de-Calais | arrondissement de Montreuil | canton de Hesdin,Q142,France,,,,,,
http://www.wikidata.org/entity/Q2820884,Q2820884,Abbé de La Marre,1,1708,Quimper,Q142,France,True,1,Q342,Quimper,europe,True,False,Q342 | Q142 | Q702161 | Q1309898 | Q3389 | Q12130 | Q212429,Bretagne | Finistère | France | France métropolitaine | Quimper | arrondissement de Quimper | canton de Quimper-3,Q142,France,,,,,,
http://www.wikidata.org/entity/Q330879,Q330879,Abraham von Humbert,1,1689,Berlin,Q183,Allemagne,True,1,Q64,Berlin,europe,True,False,Q64 | Q148499 | Q157367 | Q27306 | Q150981 | Q43287 | Q41304 | Q7318 | Q55300 | Q16957 | Q183 | Q713750 | Q1206012 | Q12548 | Q2415901 | Q38872 | Q55306 | Q700264 | Q161036 | Q55309 | Q55304,Allemagne de l'Ouest | Allemagne occupée | Berlin | Brandebourg-Prusse | Confédération de l'Allemagne du Nord | Germany | Holy Roman Empire | Kingdom of Prussia | Kingdom of Saxony | Prussia | République démocratique allemande | Saint-Empire romain germanique | Troisième Reich | marche de Brandebourg | province de Brandebourg | zone d'occupation américaine en Allemagne | zone d'occupation britannique en Allemagne | zone d'occupation française en Allemagne | zone d'occupation soviétique en Allemagne | État libre de Prusse,Q1206012 | Q183 | Q2415901 | Q27306 | Q38872 | Q41304 | Q43287 | Q55300 | Q7318,Allemagne occupée | Germany | Holy Roman Empire | Kingdom of Prussia | Kingdom of Saxony | Prussia | Troisième Reich | zone d'occupation soviétique en Allemagne,,,,,Q38872,Holy Roman Empire
http://www.wikidata.org/entity/Q78785,Q78785,Adam von Bartsch,1,1757,Vienne,Q131964,empire d'Autriche,True,1,Q1741,Vienne,europe,True,False,Q1741 | Q40 | Q518101 | Q28513 | Q268970 | Q131964 | Q176495 | Q7318 | Q153136 | Q699964 | Q3624335 | Q283627 | Q47261 | Q596239 | Q1206012,Austria | Austrian Empire | Autriche sous occupation allée | Habsburg monarchy | Kingdom of Saxony | Ostmark | Première République d'Autriche | République d'Autriche allemande | Troisième Reich | Vienne | archiduché d'Autriche | duché d'Autriche | duché de Bavière | empire d'Autriche | État fédéral d'Autriche,Q1206012 | Q131964 | Q153136 | Q28513 | Q40 | Q7318,Austria | Austrian Empire | Habsburg monarchy | Kingdom of Saxony | Troisième Reich | empire d'Autriche,,,,,Q153136 | Q28513,Austrian Empire | Habsburg monarchy
http://www.wikidata.org/entity/Q62391233,Q62391233,Adine Joliveau de Ségrais,1,1756,Bar-sur-Aube,Q142,France,True,1,Q209093,Bar-sur-Aube,europe,True,False,Q209093 | Q142 | Q3194 | Q700574 | Q18677983 | Q14103 | Q212429 | Q88521129,Aube | Bar-sur-Aube | Champagne-Ardenne | France | France métropolitaine | Grand Est | arrondissement de Bar-sur-Aube | zone de défense et de sécurité Est,Q142,France,,,,,,
http://www.wikidata.org/entity/Q107618589,Q107618589,Adrianus Bruggemans,1,1763,Ryswick,,,False,1,Q506745,Ryswick,europe,True,False,Q506745 | Q55 | Q29999 | Q694,Hollande-Méridionale | Pays-Bas | Royaume des Pays-Bas | Ryswick,Q55,Pays-Bas,,,,,,
http://www.wikidata.org/entity/Q2825164,Q2825164,Adrien Duquesnoy,1,1759,Briey,Q142,France,True,1,Q215053,Briey,europe,True,False,Q215053 | Q142 | Q960560 | Q12652 | Q12626 | Q700748 | Q18677983 | Q22248793 | Q212429 | Q88521129,Briey | France | France métropolitaine | Grand Est | Lorraine | Meurthe-et-Moselle | Moselle | arrondissement de Val-de-Briey | canton de Briey | zone de défense et de sécurité Est,Q142,France,,,,,,
http://www.wikidata.org/entity/Q100894221,Q100894221,Adrien François d'Huez,1,1688,Arras,Q142,France,True,1,Q131329,Arras,europe,True,False,Q131329 | Q142 | Q12689 | Q700495 | Q1120275 | Q18677767 | Q16987 | Q212429,Arras | France | France métropolitaine | Hauts-de-France | Nord-Pas-de-Calais | Pas-de-Calais | arrondissement d'Arras | communauté urbaine d'Arras,Q142,France,,,,,,
http://www.wikidata.org/entity/Q2825236,Q2825236,Adrien Pasquier,1,1744,Rouen,Q142,France,True,1,Q30974,Rouen,europe,True,False,Q30974 | Q142 | Q262723 | Q12758 | Q18677875 | Q16961 | Q212429,France | France métropolitaine | Haute-Normandie | Normandie | Rouen | Seine-Maritime | arrondissement de Rouen,Q142,France,,,,,,
