metric,entity_count,denominator,pct,notes
total_entities,1638,1638,100.0,"Current pipeline cohort, one row per Wikidata entity."
country_of_citizenship_present,1589,1638,97.01,Entities with at least one Wikidata P27 value.
country_of_citizenship_missing,49,1638,2.99,Entities without a Wikidata P27 value in the enrichment export.
citizenship_china_or_chinese_state,0,1638,0.0,Exact P27 token match against reviewed China/Qing-related IDs.
citizenship_british_empire_or_colonial_state,2,1638,0.12,Exact P27 token match against reviewed British imperial or colonial IDs.
place_context_china_or_chinese_state_any_role,1,1638,0.06,Any birth/death/residence/work-location row with reviewed China/Qing context.
place_context_british_empire_or_colonial_state_any_role,9,1638,0.55,Any birth/death/residence/work-location row with reviewed British imperial or colonial context.
birth_scope_europe,1595,1638,97.37,Primary geographic scope classification from birth-place context.
birth_scope_non_europe_or_colonial,17,1638,1.04,Primary geographic scope classification from birth-place context.
birth_scope_mixed_europe_non_europe_or_colonial,7,1638,0.43,Primary geographic scope classification from birth-place context.
birth_scope_transcontinental_or_imperial_context,19,1638,1.16,Primary geographic scope classification from birth-place context.
birth_scope_unmapped_birth_scope,0,1638,0.0,Primary geographic scope classification from birth-place context.
birth_scope_no_birth_place_context,0,1638,0.0,Primary geographic scope classification from birth-place context.
birth_scope_non_europe_or_colonial_inclusive,24,1638,1.47,Includes mixed Europe/non-Europe or colonial birth-place contexts.
birth_scope_europe_binary_rollup,1595,1638,97.37,"Strict European birth-place context, excluding mixed, colonial, transcontinental, and unmapped."
birth_scope_binary_classified_total,1619,1638,98.84,Entities classified into the strict Europe vs non-Europe/colonial rollup.
birth_scope_europe_share_of_binary_classified,1595,1619,98.52,Share among entities with binary-classified birth-place context.
birth_scope_non_europe_or_colonial_share_of_binary_classified,24,1619,1.48,Share among entities with binary-classified birth-place context.
