wikidata_id,person_id,name,birth_year_values,birth_place_values,birth_scope_category,birth_place_labels
http://www.wikidata.org/entity/Q94692699,Q94692699,Abbé Libert,1763,,europe,Liège
http://www.wikidata.org/entity/Q106806849,Q106806849,Abraham Groenewoud,1690,,europe,Zuiderwoude
http://www.wikidata.org/entity/Q4668923,Q4668923,Abraham Isaac Castello,1726,,europe,Ancône
http://www.wikidata.org/entity/Q29044569,Q29044569,Abraham Kutter,1751,,europe,Ravensbourg
http://www.wikidata.org/entity/Q4669209,Q4669209,Abraham Trebitsch,1760,,europe,Třebíč
http://www.wikidata.org/entity/Q28361501,Q28361501,Abraham Williams,1755,,europe,Q1638504
http://www.wikidata.org/entity/Q55127712,Q55127712,Achilles Wirz,1745,,europe,Bâle
http://www.wikidata.org/entity/Q12626532,Q12626532,Adam Alojzij Baričević,1756,,europe,Zagreb
http://www.wikidata.org/entity/Q112501998,Q112501998,Adam Besnecker,1693,,europe,Cheb
http://www.wikidata.org/entity/Q482197,Q482197,Adam Chalupka,1767,,europe,Partizánska Ľupča
http://www.wikidata.org/entity/Q24259181,Q24259181,Adam Friedrich Geisler,1757,,europe,Rehmsdorf
http://www.wikidata.org/entity/Q87722431,Q87722431,Adam Gottlieb Weigen,1677,,europe,Waiblingen
http://www.wikidata.org/entity/Q161615,Q161615,Adam Gottlob Schirach,1724,,europe,Nostitz
http://www.wikidata.org/entity/Q18882135,Q18882135,Adam Zacharias Schirach,1693,,europe,Kreba
http://www.wikidata.org/entity/Q131100580,Q131100580,Adelheid Busch,1680,,europe,Brême
http://www.wikidata.org/entity/Q21039207,Q21039207,Adolf Friedrich von Witzendorff,1737,,europe,Lübeck
http://www.wikidata.org/entity/Q61719359,Q61719359,Adolf Julius Freiherr Lauer von Münchhofen,1755,,europe,Halle-sur-Saale
http://www.wikidata.org/entity/Q95312348,Q95312348,Adolph Anton,1767,,europe,Vienne
http://www.wikidata.org/entity/Q106520650,Q106520650,Adolph Heinrich Meltzer,1761,,europe,Bischofswerda
http://www.wikidata.org/entity/Q13428394,Q13428394,Adriaan Loosjes,1689,,europe,Zaandam
http://www.wikidata.org/entity/Q19729695,Q19729695,Adriaan Spinniker,1676,,europe,Groningue
http://www.wikidata.org/entity/Q16160281,Q16160281,Adrian Kemter,1705,,europe,Innsbruck
http://www.wikidata.org/entity/Q107618589,Q107618589,Adrianus Bruggemans,1763,,europe,Ryswick
http://www.wikidata.org/entity/Q55126612,Q55126612,Aemil Ludwig Philipp Schröder,1764,,europe,Göttingen
http://www.wikidata.org/entity/Q124620578,Q124620578,Aeneas Egbertus Veldcamps,1686,,europe,Koudum
http://www.wikidata.org/entity/Q19755806,Q19755806,Agatha Maria Sena,1692,,europe,La Haye
http://www.wikidata.org/entity/Q94741447,Q94741447,Agnetha Susanna Johanna Lebrecht,1765,,europe,Sibiu
http://www.wikidata.org/entity/Q3606801,Q3606801,Agostino Paradisi,1736,,europe,Vignola
http://www.wikidata.org/entity/Q3606828,Q3606828,Agostino Tana,1745,,europe,Chieri
http://www.wikidata.org/entity/Q3606739,Q3606739,Agostino dal Pozzo,1732,,europe,Rotzo
http://www.wikidata.org/entity/Q3325078,Q3325078,Agustín Cardaberaz,1703,,europe,Hernani
http://www.wikidata.org/entity/Q94867610,Q94867610,Aimé Martin,1767,,europe,Saint-Rambert-en-Bugey
http://www.wikidata.org/entity/Q105887067,Q105887067,Aindrias Mac Craith,1709,,europe,Fantstown
http://www.wikidata.org/entity/Q10729169,Q10729169,Alanus Plumlovský,1703,,europe,Přerov
http://www.wikidata.org/entity/Q112531201,Q112531201,Albert Egelseer,1754,,europe,České Budějovice
http://www.wikidata.org/entity/Q2638244,Q2638244,Albert Joseph Hoditz,1706,,europe,Slezské Rudoltice
http://www.wikidata.org/entity/Q64374280,Q64374280,Albert Schulte,1716,,europe,Hambourg
http://www.wikidata.org/entity/Q66794149,Q66794149,Albrecht Georg Walch,1736,,europe,Schleusingen
http://www.wikidata.org/entity/Q17479546,Q17479546,Aleksije Vezilić,1753,,europe,Zmajevo
http://www.wikidata.org/entity/Q32848619,Q32848619,Alessandro Botta Adorno,1748,,europe,Pavie
http://www.wikidata.org/entity/Q3609978,Q3609978,Alessandro Del Nero,1689,,europe,Rome
http://www.wikidata.org/entity/Q98835938,Q98835938,Alessandro Fabri,1691,,europe,Castel San Pietro
http://www.wikidata.org/entity/Q50327630,Q50327630,Alessandro Galanti,1700,,europe,Rome
http://www.wikidata.org/entity/Q16268484,Q16268484,Alessandro Macchiavelli,1693,,europe,Bologne
http://www.wikidata.org/entity/Q83643534,Q83643534,Alessandro Sappa de' Milanesi,1717,,europe,Alexandrie
http://www.wikidata.org/entity/Q780989,Q780989,Alessandro Verri,1741,,europe,Milan
http://www.wikidata.org/entity/Q4718297,Q4718297,Alexander Balfour,1767,,europe,Monikie
http://www.wikidata.org/entity/Q2833104,Q2833104,Alexander Dow,1735,,europe,Crieff
http://www.wikidata.org/entity/Q2833114,Q2833114,Alexander Fraser Tytler,1747,,europe,Old Town
http://www.wikidata.org/entity/Q4719114,Q4719114,Alexander Helladius,1686,,europe,Lárissa
http://www.wikidata.org/entity/Q98804012,Q98804012,Alexander MacKenzie,1730,,europe,Écosse
http://www.wikidata.org/entity/Q12253162,Q12253162,Alexander Mihura,1725,,europe,Saint-Jean-de-Luz
http://www.wikidata.org/entity/Q114117885,Q114117885,Alexandre Auguste Magloire Coupé de Saint-Donat,1775,,europe,Péronne
http://www.wikidata.org/entity/Q109832797,Q109832797,Alexandre-Jacques du Coudray,1740,,europe,Paris
http://www.wikidata.org/entity/Q3611259,Q3611259,Alfonso Varano,1705,,europe,Ferrare
http://www.wikidata.org/entity/Q4727022,Q4727022,Alison Begbie,1752,,europe,East Ayrshire
http://www.wikidata.org/entity/Q79087,Q79087,Alois Blumauer,1755,,europe,Steyr
http://www.wikidata.org/entity/Q94530785,Q94530785,Alois Vincenz Florian Leitner,1767,,europe,Graz
http://www.wikidata.org/entity/Q94506154,Q94506154,Alviso Guerra,1712,,europe,Padoue
http://www.wikidata.org/entity/Q30127877,Q30127877,Amable Faucon,1724,,europe,Riom
http://www.wikidata.org/entity/Q94767457,Q94767457,Amalie Magdalene Wilhelmine Silber,1712,,europe,Eisenach
http://www.wikidata.org/entity/Q3613846,Q3613846,Ambrogio Soldani,1736,,europe,Pratovecchio
http://www.wikidata.org/entity/Q94579012,Q94579012,Ambrogio Viale,1769,,europe,Cervo
http://www.wikidata.org/entity/Q110548686,Q110548686,Ambroise Lucien Rollin,1692,,europe,Trois-Rivières
http://www.wikidata.org/entity/Q3557900,Q3557900,Anastasios Michail,1675,,europe,Náoussa
http://www.wikidata.org/entity/Q12253505,Q12253505,Andre Baraziart,1738,,europe,Ustaritz
http://www.wikidata.org/entity/Q1152842,Q1152842,Andrea Leone Tottola,1701,,europe,Naples
http://www.wikidata.org/entity/Q3615851,Q3615851,Andrea Mazzarella,1764,,europe,Cerreto Sannita
http://www.wikidata.org/entity/Q3615920,Q3615920,Andrea Pasta,1706,,europe,Bergame
http://www.wikidata.org/entity/Q3616079,Q3616079,Andrea Trabucco,1715,,europe,Bénévent
http://www.wikidata.org/entity/Q109853529,Q109853529,Andrea Willi,1733,,europe,Vérone
http://www.wikidata.org/entity/Q94929797,Q94929797,Andreas Belach,1717,,europe,Wrocław
http://www.wikidata.org/entity/Q94919058,Q94919058,Andreas Christian Gierlew,1774,,europe,Roskilde
http://www.wikidata.org/entity/Q94902412,Q94902412,Andreas Chrysogon Eichler,1762,,europe,Litoměřice
http://www.wikidata.org/entity/Q497418,Q497418,Andreas Georg Waehner,1693,,europe,comté de Hoya
http://www.wikidata.org/entity/Q55901658,Q55901658,Andreas Gottlieb Hartmann,1751,,europe,Bautzen
http://www.wikidata.org/entity/Q94940200,Q94940200,Andreas Grader,1753,,europe,Tallinn
http://www.wikidata.org/entity/Q106592312,Q106592312,Andreas Grassmann,1704,,europe,Ženklava
