wikidata_id,person_id,name,birth_year,slice_id,review_group,has_any_slice_evidence,has_citizenship_evidence,has_place_context_evidence,has_birth_place_context_evidence,citizenship_match_ids,citizenship_match_labels,place_context_match_ids,place_context_match_labels,birth_place_context_match_ids,birth_place_context_match_labels,matched_place_roles,legacy_french_seed_member
http://www.wikidata.org/entity/Q55233953,Q55233953,A. Flowerdew,1759,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q1647198,Q1647198,Aaron Hill,1685,british,British,True,True,True,False,Q161885,Kingdom of Great Britain,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,,,death_place,False
http://www.wikidata.org/entity/Q15723641,Q15723641,Abhimanyu Samanta Singhara,1760,british,British,True,False,True,True,,,Q129286 | Q2001966 | Q8680,British Empire | British Raj | Company rule in India,Q129286 | Q2001966 | Q8680,British Empire | British Raj | Company rule in India,birth_place,False
http://www.wikidata.org/entity/Q4667621,Q4667621,Abiel Abbot,1770,british,British,True,False,True,True,,,Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies,Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies,birth_place,False
http://www.wikidata.org/entity/Q4667626,Q4667626,Abiel Holmes,1763,british,British,True,False,True,False,,,Q145 | Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies | United Kingdom,,,death_place,False
http://www.wikidata.org/entity/Q206191,Q206191,Abigail Adams,1744,british,British,True,True,False,False,Q174193,United Kingdom of Great Britain and Ireland,,,,,,True
http://www.wikidata.org/entity/Q87764558,Q87764558,Abigail De Hart,1761,british,British,True,True,False,False,Q258532,British America,,,,,,False
http://www.wikidata.org/entity/Q29643548,Q29643548,Abigail Franks,1696,british,British,True,True,True,True,Q21,England,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q18756558,Q18756558,Abigail Gawthern,1757,british,British,True,True,True,False,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,,,death_place,False
http://www.wikidata.org/entity/Q47536197,Q47536197,Abraham Bishop,1763,british,British,True,False,True,True,,,Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies,Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies,birth_place,False
http://www.wikidata.org/entity/Q16204742,Q16204742,Abraham Booth,1734,british,British,True,True,True,True,Q21,England,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145,United Kingdom,birth_place | death_place,False
http://www.wikidata.org/entity/Q2821859,Q2821859,Abraham Tucker,1705,british,British,True,True,True,True,Q161885,Kingdom of Great Britain,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q28361501,Q28361501,Abraham Williams,1755,british,British,True,False,True,True,,,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q42279499,Q42279499,Abu-'l-Barakāt ʿAbdallāh Ibn-Ḥusain as- Suwaidī,1692,british,British,True,False,True,True,,,Q145,United Kingdom,Q145,United Kingdom,birth_place | death_place,False
http://www.wikidata.org/entity/Q183094,Q183094,Adam Ferguson,1723,british,British,True,True,True,True,Q174193,United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22,Kingdom of Great Britain | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22,Kingdom of Great Britain | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q9381,Q9381,Adam Smith,1723,british,British,True,True,True,True,Q161885,Kingdom of Great Britain,Q145 | Q161885 | Q174193 | Q22 | Q230791,Kingdom of Great Britain | Kingdom of Scotland | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22 | Q230791,Kingdom of Great Britain | Kingdom of Scotland | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place | work_location,False
http://www.wikidata.org/entity/Q4679934,Q4679934,Adam Walker,1731,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q16147344,Q16147344,Agnes Bulmer,1775,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place | residence,False
http://www.wikidata.org/entity/Q18729931,Q18729931,Agnes Lyon,1762,british,British,True,True,False,False,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,,,,,,False
http://www.wikidata.org/entity/Q4693079,Q4693079,Agnes Maclehose,1759,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22 | Q230791,Kingdom of Great Britain | Kingdom of Scotland | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22 | Q230791,Kingdom of Great Britain | Kingdom of Scotland | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q18783542,Q18783542,Agnes Porter,1752,british,British,True,True,True,True,Q145,United Kingdom,Q145 | Q161885 | Q174193 | Q21 | Q22 | Q230791,England | Kingdom of Great Britain | Kingdom of Scotland | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22 | Q230791,Kingdom of Great Britain | Kingdom of Scotland | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q18935963,Q18935963,Agnes Wheeler,1734,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q2827000,Q2827000,Agnès Maria Bennett,1746,british,British,True,True,True,True,Q145 | Q161885,Kingdom of Great Britain | United Kingdom,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q56605536,Q56605536,Ahmad al-Attar,1713,british,British,True,False,True,True,,,Q145,United Kingdom,Q145,United Kingdom,birth_place,False
http://www.wikidata.org/entity/Q73180939,Q73180939,Ahmad ibn Abdullah al-Suwaydi,1741,british,British,True,False,True,True,,,Q145,United Kingdom,Q145,United Kingdom,birth_place | death_place,False
http://www.wikidata.org/entity/Q136332176,Q136332176,Ahmed Paşa,1700,british,British,True,False,True,False,,,Q145,United Kingdom,,,death_place,False
http://www.wikidata.org/entity/Q6014970,Q6014970,Ahmed Wasif,1740,british,British,True,False,True,True,,,Q145,United Kingdom,Q145,United Kingdom,birth_place,False
http://www.wikidata.org/entity/Q105887067,Q105887067,Aindrias Mac Craith,1709,british,British,True,False,True,True,,,Q174193 | Q27,Ireland | United Kingdom of Great Britain and Ireland,Q174193 | Q27,Ireland | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q4708451,Q4708451,Alasdair mac Mhaighstir Alasdair,1698,british,British,True,True,True,True,Q161885,Kingdom of Great Britain,Q145 | Q161885 | Q174193 | Q22,Kingdom of Great Britain | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22,Kingdom of Great Britain | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q1617267,Q1617267,Alban Butler,1710,british,British,True,True,True,True,Q161885,Kingdom of Great Britain,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q500046,Q500046,Albert Gallatin,1761,british,British,True,False,True,False,,,Q145 | Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies | United Kingdom,,,residence | work_location,True
http://www.wikidata.org/entity/Q4713532,Q4713532,Alden Bradford,1765,british,British,True,False,True,False,,,Q145 | Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies | United Kingdom,,,death_place,False
http://www.wikidata.org/entity/Q4718297,Q4718297,Alexander Balfour,1767,british,British,True,False,True,True,,,Q145 | Q161885 | Q174193 | Q22 | Q230791,Kingdom of Great Britain | Kingdom of Scotland | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22 | Q230791,Kingdom of Great Britain | Kingdom of Scotland | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q7525920,Q7525920,Alexander Boswell,1775,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21 | Q22,England | Kingdom of England | Kingdom of Great Britain | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22,Kingdom of Great Britain | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place | work_location,False
http://www.wikidata.org/entity/Q108541267,Q108541267,Alexander Bryce,1713,british,British,True,True,False,False,Q161885,Kingdom of Great Britain,,,,,,False
http://www.wikidata.org/entity/Q4718515,Q4718515,Alexander Campbell,1764,british,British,True,True,False,False,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,,,,,,False
