slice_id,review_group,language_edition,slice_entities,represented_entities,slice_representation_pct,global_representation_pct,slice_to_global_representation_index
british,British,enwiki,2099,1689,80.47,36.9,2.1808
british,British,frwiki,2099,680,32.4,24.21,1.3383
british,British,dewiki,2099,492,23.44,27.68,0.8468
british,British,ruwiki,2099,395,18.82,16.94,1.111
british,British,itwiki,2099,389,18.53,14.25,1.3004
british,British,eswiki,2099,369,17.58,12.76,1.3777
british,British,svwiki,2099,336,16.01,12.7,1.2606
british,British,ptwiki,2099,268,12.77,6.77,1.8863
british,British,plwiki,2099,245,11.67,8.4,1.3893
british,British,nlwiki,2099,191,9.1,6.48,1.4043
british,British,ukwiki,2099,175,8.34,6.04,1.3808
british,British,dawiki,2099,106,5.05,3.95,1.2785
china,China,enwiki,424,70,16.51,36.9,0.4474
china,China,frwiki,424,35,8.25,24.21,0.3408
china,China,ruwiki,424,30,7.08,16.94,0.4179
china,China,ukwiki,424,26,6.13,6.04,1.0149
china,China,nlwiki,424,24,5.66,6.48,0.8735
china,China,dewiki,424,22,5.19,27.68,0.1875
china,China,svwiki,424,22,5.19,12.7,0.4087
china,China,eswiki,424,18,4.25,12.76,0.3331
china,China,itwiki,424,15,3.54,14.25,0.2484
china,China,plwiki,424,14,3.3,8.4,0.3929
china,China,ptwiki,424,8,1.89,6.77,0.2792
china,China,dawiki,424,2,0.47,3.95,0.119
france,France,frwiki,2922,1742,59.62,24.21,2.4626
france,France,enwiki,2922,1244,42.57,36.9,1.1537
france,France,dewiki,2922,1065,36.45,27.68,1.3168
france,France,itwiki,2922,779,26.66,14.25,1.8709
france,France,ruwiki,2922,709,24.26,16.94,1.4321
france,France,eswiki,2922,559,19.13,12.76,1.4992
france,France,svwiki,2922,530,18.14,12.7,1.4283
france,France,nlwiki,2922,388,13.28,6.48,2.0494
france,France,plwiki,2922,329,11.26,8.4,1.3405
france,France,ptwiki,2922,322,11.02,6.77,1.6278
france,France,ukwiki,2922,238,8.15,6.04,1.3493
france,France,dawiki,2922,156,5.34,3.95,1.3519
germany,Germany,dewiki,3711,2202,59.34,27.68,2.1438
germany,Germany,enwiki,3711,936,25.22,36.9,0.6835
germany,Germany,frwiki,3711,697,18.78,24.21,0.7757
germany,Germany,ruwiki,3711,682,18.38,16.94,1.085
germany,Germany,itwiki,3711,523,14.09,14.25,0.9888
germany,Germany,svwiki,3711,494,13.31,12.7,1.048
germany,Germany,plwiki,3711,407,10.97,8.4,1.306
germany,Germany,eswiki,3711,346,9.32,12.76,0.7304
germany,Germany,ukwiki,3711,232,6.25,6.04,1.0348
germany,Germany,nlwiki,3711,213,5.74,6.48,0.8858
germany,Germany,ptwiki,3711,211,5.69,6.77,0.8405
germany,Germany,dawiki,3711,204,5.5,3.95,1.3924
