wikidata_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_checked_box_count,second_checked_box_count,top_score_share,top_candidate_tie_count,affiliation_review_status
http://www.wikidata.org/entity/Q5216527,"""Daniel Bellamy, the younger""",0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q7526680,"""Sir Francis Blake, 2nd Baronet, of Twizell Castle""",0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q1344482,3rd Jebtsundamba Khutughtu,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q55233953,A. Flowerdew,1,British,British,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q58317174,A. Woodfin,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q21406125,A.-M. Lafortelle,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q255601,Aagje Deken,1,Dutch,Dutch,4,0,1.0,1,strong
http://www.wikidata.org/entity/Q125098361,Aalḥbsy,1,Arabic,Arabic,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q75577606,Aaron Cleveland,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q74769,Aaron Halle-Wolfssohn,4,,German | Germany | Hebrew | Yiddish,1,1,0.5,4,mixed_top_score
http://www.wikidata.org/entity/Q1647198,Aaron Hill,2,Anglophone,Anglophone,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q4054386,Abbas Vesim Efendi,2,Ottoman,Ottoman,3,1,1.0,1,strong
http://www.wikidata.org/entity/Q83378444,Abbas al-Musawi al-Makki,3,Ottoman,Ottoman,2,1,1.0,1,tentative
http://www.wikidata.org/entity/Q17280159,Abbé André,2,French,French,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q94692699,Abbé Libert,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q311480,Abbé Prévost,3,French,French,3,1,0.75,1,strong
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q20410724,Abd al-Jalil al-Tabataba'i,2,,Arabic | Ottoman,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q23062684,Abd al-Karim Kashmirí ben Aklibat Mahmud ben Bulaki ben Muhammad Rida,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q136555452,Abd al-Rahman Tsatsa,1,Anglophone,Anglophone,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q4896174,Abd al-Razzak Beg,1,Persian,Persian,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q100352654,Abd al-Wahhab ibn Muhammad al-Fayrooz,1,Arabic,Arabic,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q11903733,Abd-al-Hayy ibn Abd-ar-Razzaq,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q110092031,Abdallah Bin Essa Al Kawkabani,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q4664676,Abdallah Zakher,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q2820974,Abdelaziz Ben El Hadj Ibrahim Al Thaminy,1,Arabic,Arabic,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q136099578,Abdullah Ahıskavi,3,Ottoman,Ottoman,3,1,1.0,1,strong
http://www.wikidata.org/entity/Q12223377,Abdullah Al-Shabrawi,2,,Arabic | Ottoman,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q136192500,Abdullah Hadimi,3,Ottoman,Ottoman,2,1,1.0,1,tentative
http://www.wikidata.org/entity/Q107183723,Abdullah ibn Isa al-Kawkabani,1,Arabic,Arabic,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q136099581,Abdullah-ı Buhari,3,Ottoman,Ottoman,3,1,1.0,1,strong
http://www.wikidata.org/entity/Q4666145,Abdullahi dan Fodio,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q4666214,Abdulvehab Ilhamija,3,Ottoman,Ottoman,2,1,1.0,1,tentative
http://www.wikidata.org/entity/Q12526388,Abdurahim Nizoriy,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q85090196,Abdurrahman Alaidaroos,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q6035083,Abdurrahman Esref,3,Ottoman,Ottoman,3,1,1.0,1,strong
http://www.wikidata.org/entity/Q8013268,Abdurrahman aga Shair,1,Russian,Russian,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q136192504,Abdülkadir Gedikzade,3,Ottoman,Ottoman,3,1,1.0,1,strong
http://www.wikidata.org/entity/Q136147740,Abdürrahim Dede,2,Ottoman,Ottoman,3,1,1.0,1,strong
http://www.wikidata.org/entity/Q121767950,Abdürrezzak Nevres,3,Ottoman,Ottoman,3,1,1.0,1,strong
http://www.wikidata.org/entity/Q4666556,Abel Evans,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q4951314,Abela Gullbransson,1,Swedish,Swedish,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q15723641,Abhimanyu Samanta Singhara,1,South Asian,South Asian,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q4667621,Abiel Abbot,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q4667626,Abiel Holmes,1,Anglophone,Anglophone,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q52154293,Abigail Abbot Bailey,1,Anglophone,Anglophone,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q206191,Abigail Adams,3,Anglophone,Anglophone,3,1,1.0,1,strong
http://www.wikidata.org/entity/Q87764558,Abigail De Hart,2,,Anglophone | British,1,1,1.0,2,mixed_top_score
http://www.wikidata.org/entity/Q107127790,Abigail Dennie,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q29643548,Abigail Franks,2,,Anglophone | British,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q18756558,Abigail Gawthern,1,British,British,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q100230977,Abigail Martha Bayard,1,Anglophone,Anglophone,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q4667917,Abirami Pattar,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q3818171,Abou El Kacem Zayani,1,Arabic,Arabic,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q5541955,Abraham Achrenius,1,Finnish,Finnish,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q94529523,Abraham Barcsai,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q47536197,Abraham Bishop,1,Anglophone,Anglophone,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q16204742,Abraham Booth,1,British,British,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q4669279,Abraham De Vries,1,Dutch,Dutch,3,0,1.0,1,strong
http://www.wikidata.org/entity/Q2221432,Abraham Ferwerda,1,Dutch,Dutch,3,0,1.0,1,strong
http://www.wikidata.org/entity/Q61813,Abraham Gotthelf Kästner,2,German,German,3,1,1.0,1,strong
http://www.wikidata.org/entity/Q106806849,Abraham Groenewoud,1,Dutch,Dutch,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q21543042,Abraham Gronov,1,Dutch,Dutch,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q5818751,Abraham Hülphers,1,Swedish,Swedish,2,0,1.0,1,tentative
