wikidata_id,name,candidate_affiliation,possible_box_count,citizenship_support,native_language_support,spoken_written_language_support,writing_language_support,checked_box_count,score_share
http://www.wikidata.org/entity/Q55233953,A. Flowerdew,British,1,True,False,False,False,1,1.0
http://www.wikidata.org/entity/Q21406125,A.-M. Lafortelle,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q21406125,A.-M. Lafortelle,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q255601,Aagje Deken,Dutch,4,True,True,True,True,4,1.0
http://www.wikidata.org/entity/Q125098361,Aalḥbsy,Arabic,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q74769,Aaron Halle-Wolfssohn,German,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q74769,Aaron Halle-Wolfssohn,Germany,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q74769,Aaron Halle-Wolfssohn,Hebrew,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q74769,Aaron Halle-Wolfssohn,Yiddish,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q1647198,Aaron Hill,Anglophone,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q1647198,Aaron Hill,British,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q4054386,Abbas Vesim Efendi,Arabic,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q4054386,Abbas Vesim Efendi,Ottoman,3,True,False,True,True,3,1.0
http://www.wikidata.org/entity/Q83378444,Abbas al-Musawi al-Makki,Arabic,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q83378444,Abbas al-Musawi al-Makki,Ottoman,2,True,False,True,False,2,1.0
http://www.wikidata.org/entity/Q83378444,Abbas al-Musawi al-Makki,Persian,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q17280159,Abbé André,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q17280159,Abbé André,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q311480,Abbé Prévost,Anglophone,4,False,False,True,False,1,0.25
http://www.wikidata.org/entity/Q311480,Abbé Prévost,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q311480,Abbé Prévost,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q20410724,Abd al-Jalil al-Tabataba'i,Arabic,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q20410724,Abd al-Jalil al-Tabataba'i,Ottoman,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q136555452,Abd al-Rahman Tsatsa,Anglophone,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q4896174,Abd al-Razzak Beg,Persian,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q100352654,Abd al-Wahhab ibn Muhammad al-Fayrooz,Arabic,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q2820974,Abdelaziz Ben El Hadj Ibrahim Al Thaminy,Arabic,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q136099578,Abdullah Ahıskavi,Arabic,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q136099578,Abdullah Ahıskavi,Ottoman,3,True,False,True,True,3,1.0
http://www.wikidata.org/entity/Q136099578,Abdullah Ahıskavi,Persian,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q12223377,Abdullah Al-Shabrawi,Arabic,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q12223377,Abdullah Al-Shabrawi,Ottoman,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q136192500,Abdullah Hadimi,Arabic,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q136192500,Abdullah Hadimi,Ottoman,2,True,False,True,False,2,1.0
http://www.wikidata.org/entity/Q136192500,Abdullah Hadimi,Persian,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q107183723,Abdullah ibn Isa al-Kawkabani,Arabic,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q136099581,Abdullah-ı Buhari,Arabic,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q136099581,Abdullah-ı Buhari,Ottoman,3,True,False,True,True,3,1.0
http://www.wikidata.org/entity/Q136099581,Abdullah-ı Buhari,Persian,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q4666214,Abdulvehab Ilhamija,Arabic,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q4666214,Abdulvehab Ilhamija,Ottoman,2,True,False,True,False,2,1.0
http://www.wikidata.org/entity/Q4666214,Abdulvehab Ilhamija,Persian,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q6035083,Abdurrahman Esref,Arabic,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q6035083,Abdurrahman Esref,Ottoman,3,True,False,True,True,3,1.0
http://www.wikidata.org/entity/Q6035083,Abdurrahman Esref,Persian,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q8013268,Abdurrahman aga Shair,Russian,1,True,False,False,False,1,1.0
http://www.wikidata.org/entity/Q136192504,Abdülkadir Gedikzade,Arabic,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q136192504,Abdülkadir Gedikzade,Ottoman,3,True,False,True,True,3,1.0
http://www.wikidata.org/entity/Q136192504,Abdülkadir Gedikzade,Persian,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q136147740,Abdürrahim Dede,Arabic,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q136147740,Abdürrahim Dede,Ottoman,3,True,False,True,True,3,1.0
http://www.wikidata.org/entity/Q121767950,Abdürrezzak Nevres,Arabic,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q121767950,Abdürrezzak Nevres,Ottoman,3,True,False,True,True,3,1.0
http://www.wikidata.org/entity/Q121767950,Abdürrezzak Nevres,Persian,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q4951314,Abela Gullbransson,Swedish,2,True,False,True,False,2,1.0
http://www.wikidata.org/entity/Q15723641,Abhimanyu Samanta Singhara,South Asian,1,True,False,False,False,1,1.0
http://www.wikidata.org/entity/Q4667626,Abiel Holmes,Anglophone,1,True,False,False,False,1,1.0
http://www.wikidata.org/entity/Q52154293,Abigail Abbot Bailey,Anglophone,2,False,False,True,True,2,1.0
http://www.wikidata.org/entity/Q206191,Abigail Adams,Anglophone,3,True,False,True,True,3,1.0
http://www.wikidata.org/entity/Q206191,Abigail Adams,British,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q206191,Abigail Adams,French,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q87764558,Abigail De Hart,Anglophone,1,True,False,False,False,1,1.0
http://www.wikidata.org/entity/Q87764558,Abigail De Hart,British,1,True,False,False,False,1,1.0
http://www.wikidata.org/entity/Q29643548,Abigail Franks,Anglophone,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q29643548,Abigail Franks,British,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q18756558,Abigail Gawthern,British,1,True,False,False,False,1,1.0
http://www.wikidata.org/entity/Q100230977,Abigail Martha Bayard,Anglophone,1,True,False,False,False,1,1.0
