wikidata_id,person_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_supporting_evidence_count,second_supporting_evidence_count,top_candidate_tie_count,available_mapped_evidence_count,total_evidence_fields,top_score_over_total_fields,top_score_over_available_fields,score_formula,available_score_formula
http://www.wikidata.org/entity/Q100029,Q100029,Otto Hermann von Vietinghoff,4,Russian,Russian,3,2,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q1000323,Q1000323,Heinrich Wilhelm Lawätz,3,Germany,Germany,3,2,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q1000618,Q1000618,János Ferge,1,Hungarian,Hungarian,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q100099149,Q100099149,Józef Kobielski,1,Polish,Polish,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q1001058,Q1001058,Jakab Fiala,3,,Czech/Slovak | Hungarian | Slovak,1,0,3,2,8,0.125,0.5,1 / 8,1 / 2
http://www.wikidata.org/entity/Q1001072,Q1001072,Salomo Sachs,2,,German | Germany,4,0,2,5,8,0.5,0.8,4 / 8,4 / 5
http://www.wikidata.org/entity/Q1001201,Q1001201,József Fidrichovszky,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q1001281,Q1001281,András File,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q100151955,Q100151955,Anders Björklund,1,Swedish,Swedish,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q1001702,Q1001702,József Fischer,5,,Austrian/Habsburg | Czech/Slovak | Germany | Hungarian | Slovak,1,0,5,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q1002287,Q1002287,Gerzson Fodor,1,Hungarian,Hungarian,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q1002308,Q1002308,István Fodor,1,Hungarian,Hungarian,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q100230977,Q100230977,Abigail Martha Bayard,1,Anglophone,Anglophone,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q1002318,Q1002318,János Fodor,1,Hungarian,Hungarian,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q100233323,Q100233323,Suzuki Michihiko,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q100235023,Q100235023,Muhammad ibn Ali al-'Aithan,3,,Arabic | Ottoman | Persian,1,0,3,2,8,0.125,0.5,1 / 8,1 / 2
http://www.wikidata.org/entity/Q100239754,Q100239754,Johann Adam Gottfried,3,,German | Germany,2,1,2,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q1002422,Q1002422,József Fogarasi Pap,3,,Austrian/Habsburg | Germany,2,1,2,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q100282,Q100282,Reinhard Woltman,4,German,German,4,3,1,5,8,0.5,0.8,4 / 8,4 / 5
http://www.wikidata.org/entity/Q1003013,Q1003013,Jozef Fornet,5,Slovak,Slovak,3,1,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q1003190,Q1003190,István Fosztó,3,,Austrian/Habsburg | Germany | Hungarian,1,0,3,2,8,0.125,0.5,1 / 8,1 / 2
http://www.wikidata.org/entity/Q100322646,Q100322646,Kiyohara Okaze,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q100326,Q100326,Johann Friedrich Fischer,2,Germany,Germany,3,2,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q100352654,Q100352654,Abd al-Wahhab ibn Muhammad al-Fayrooz,1,Arabic,Arabic,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q1003664,Q1003664,François Hanriot,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q100374862,Q100374862,Muhammad ibn Abd al-Rahman al-Afaliqi,2,Arabic,Arabic,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q1004201,Q1004201,Johann Samuel Fuchs,8,Austrian/Habsburg,Austrian/Habsburg,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q100425695,Q100425695,Jean-François de La Croix,1,France,France,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q1004275,Q1004275,Friedrich Jakob Fuker,6,Hungarian,Hungarian,4,3,1,5,8,0.5,0.8,4 / 8,4 / 5
http://www.wikidata.org/entity/Q1004452,Q1004452,Simon Fába,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q1004482,Q1004482,Juliánna Fábián,4,Hungarian,Hungarian,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q1004517,Q1004517,Sámuel Fábri,3,,German | Hungarian | Slovak,1,0,3,2,8,0.125,0.5,1 / 8,1 / 2
http://www.wikidata.org/entity/Q100453555,Q100453555,Iwama Otsuni,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q100453630,Q100453630,Murata Harukado,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q1004545,Q1004545,Ferenc Fáicser,2,Hungarian,Hungarian,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q100457,Q100457,Michael Ranft,1,Germany,Germany,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
