token_family,token_id,token_label,token_wikidata_url,occurrence_count,entity_count,example_names
spoken_written_language,Q397,Latin,https://www.wikidata.org/wiki/Q397,524,524,Abbé Prévost | Abigail Adams | Abraham Niclas Edelcrantz | Adam Alojzij Baričević | Adam Besnecker | Adam Gottlob Schirach | Adam Weishaupt | Adamántios Koraïs
spoken_written_language,Q7850,,https://www.wikidata.org/wiki/Q7850,157,157,3rd Jebtsundamba Khutughtu | Bao Yin | Bao Zhifen | Bao Zhihui | Bao Zhilan | Cai Wan | Cao Xigui | Cao Xikun
native_language,Q7850,,https://www.wikidata.org/wiki/Q7850,125,125,Bao Yin | Bao Zhifen | Bao Zhihui | Bao Zhilan | Cai Wan | Cao Xigui | Cao Xikun | Cao Xishu
spoken_written_language,Q37041,,https://www.wikidata.org/wiki/Q37041,95,95,Bao Guixing | Bao Zhizhong | Bo Boming | Cao Xibao | Cao Yishi | Chen Shi | Chen Silong | Chen Zhaolun
spoken_written_language,Q837169,,https://www.wikidata.org/wiki/Q837169,95,95,Bao Guixing | Bao Zhizhong | Bo Boming | Cao Xibao | Cao Yishi | Chen Shi | Chen Silong | Chen Zhaolun
writing_language,Q37041,,https://www.wikidata.org/wiki/Q37041,95,95,Bao Guixing | Bao Zhizhong | Bo Boming | Cao Xibao | Cao Yishi | Chen Shi | Chen Silong | Chen Zhaolun
citizenship,Q17,,https://www.wikidata.org/wiki/Q17,85,85,Akera Kankō | Akisato Ritō | Aoki Kon’yō | Arakida Reijo | Atsujin | Chikamatsu Hanji | Chikamatsu Yanagi | Chiyo-ni
writing_language,Q397,Latin,https://www.wikidata.org/wiki/Q397,69,69,Adam Alojzij Baričević | Alfonso Clemente de Aróstegui | Anders Carlsson af Kullberg | András Csenkeszfai Poóts | Antoine Joseph Dezallier d'Argenville | Anton Federico Seghezzi | Arsenij Kocak | Bernardo Zamagna
spoken_written_language,Q5287,,https://www.wikidata.org/wiki/Q5287,67,67,Akera Kankō | Akisato Ritō | Aoki Kon’yō | Arakida Reijo | Ban Kōkei | Bunkō Baba | Chikamatsu Hanji | Chikamatsu Tokuzō
citizenship,Q20,,https://www.wikidata.org/wiki/Q20,61,61,Anders Rognaldsen Ness | Andreas Eckstorm | Bendix Djurhuus Prahl | Bernt Børretzen | Birgitte Christine Huitfeldt | Christen Pram | Christian Braunmann Tullin | Christiane Koren
citizenship,Q205662,,https://www.wikidata.org/wiki/Q205662,42,42,Ban Kōkei | Fujisawa Shizan | Hagiwara Sōko | Hayashi Orie | Hori Bakusui | Inoue Kinga | Inoue Randai | Ishikawa Masamochi
citizenship,Q25,,https://www.wikidata.org/wiki/Q25,40,40,Agnès Maria Bennett | Anna Williams | Catherine Davies | Dafydd Morris | Daniel Jones | David Davis | David Evans | David Richards
citizenship,Q33,,https://www.wikidata.org/wiki/Q33,36,36,Abraham Achrenius | Alexander Hacks | Anders Aschelinus | Anders Törnudd | Antti Lizelius | Barbara Catharina Mjödh | Carl Gustaf Weman | Catharina Charlotta Ross
citizenship,Q155,,https://www.wikidata.org/wiki/Q155,30,30,António José da Silva | Antônio Ferreira França | Antônio Gomes Ferreira de Castilho | Antônio Mendes Bordalo | Carlos de São Francisco | Cláudio Manuel da Costa | Domingos Caldas Barbosa | Domingos do Loreto Couto
citizenship,Q28179,,https://www.wikidata.org/wiki/Q28179,29,29,Chae Je-gong | Hyegyeong | Jeong Cho-bu | Jeong Rae-gyo | Jeong Yak-yong | Jo Su-sam | Kang Jeongildang | Kim Cheon-taek
spoken_written_language,Q35497,Ancient Greek,https://www.wikidata.org/wiki/Q35497,28,28,András Csenkeszfai Poóts | Antal Zechenter | Antonio Cesari | Benedetta Clotilde Lunelli Spinola | Bernardo Zamagna | Emmanuel Kant | Eugenios Voulgaris | Ewen Maclachlan
citizenship,Q156199,,https://www.wikidata.org/wiki/Q156199,27,27,Anna Katharina Schönkopf | Anna Nitschmann | August Gottlieb Meissner | Bosćij Michał Wićaz | Carl Renatus Hausen | Christian Felix Weiße | Christian Friedrich Henrici | Christian Friedrich Michaelis
citizenship,Q96,,https://www.wikidata.org/wiki/Q96,27,27,Agustín Pomposo Fernández | Andrés Cavo | Andrés Manuel del Río | Antonio de León y Gama | Bruno Francisco Larrañaga | Diego Bermúdez de Castro | Diego José Abad | Fermín de Reygadas
