context_family,wikidata_id,person_id,name,place_role,place_id,place_label,matched_token_ids,matched_token_labels,direct_country_ids,direct_country_labels,admin_country_ids,admin_country_labels,context_country_ids,context_country_labels,admin_entity_ids,admin_entity_labels
British Empire/colonial context,http://www.wikidata.org/entity/Q15723641,Q15723641,Abhimanyu Samanta Singhara,birth_place,Q2087771,district de Jajpur,Q129286 | Q2001966 | Q8680,British Raj | Company rule in India | British Empire,Q668,Inde,Q129286 | Q668 | Q8680,Raj britannique | Inde | Empire britannique,Q129286 | Q668 | Q8680,Raj britannique | Inde | Empire britannique,Q56438869 | Q22048 | Q7102849 | Q4907084 | Q817165 | Q668 | Q129286 | Q2001966,Central division | Odisha | Orissa Province | Bihar and Orissa Province | présidence du Bengale | Inde | Raj britannique | domination de la Compagnie britannique des Indes orientales en Inde
British Empire/colonial context,http://www.wikidata.org/entity/Q4667621,Q4667621,Abiel Abbot,birth_place,Q370619,Andover,Q179997,Thirteen Colonies,Q30,États-Unis,Q161885 | Q179876 | Q30,royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis,Q161885 | Q179876 | Q30,royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis,Q54076 | Q771 | Q2079909 | Q30 | Q179997,comté d'Essex | Massachusetts | province de la Baie-du-Massachusetts | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q4667626,Q4667626,Abiel Holmes,death_place,Q49111,Cambridge,Q179997,Thirteen Colonies,Q30,États-Unis,Q145 | Q161885 | Q179876 | Q30,Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis,Q145 | Q161885 | Q179876 | Q30,Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis,Q54073 | Q771 | Q1191350 | Q2748571 | Q2079909 | Q30 | Q179997,comté de Middlesex | Massachusetts | Colonie de la baie du Massachusetts | Dominion de Nouvelle-Angleterre | province de la Baie-du-Massachusetts | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q47536197,Q47536197,Abraham Bishop,birth_place,Q49145,New Haven,Q179997,Thirteen Colonies,Q30,États-Unis,Q161885 | Q179876 | Q30,royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis,Q161885 | Q179876 | Q30,royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis,Q117287005 | Q54234 | Q779 | Q951500 | Q30 | Q179997,Connecticut du Centre-Sud | comté de New Haven | Connecticut | colonie du Connecticut | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q500046,Q500046,Albert Gallatin,residence,Q100,Boston,Q179997,Thirteen Colonies,Q30 | Q2079909 | Q1191350,États-Unis | province de la Baie-du-Massachusetts | Colonie de la baie du Massachusetts,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q54072 | Q771 | Q1191350 | Q2748571 | Q2079909 | Q30 | Q179997,comté de Suffolk | Massachusetts | Colonie de la baie du Massachusetts | Dominion de Nouvelle-Angleterre | province de la Baie-du-Massachusetts | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q500046,Q500046,Albert Gallatin,work_location,Q100,Boston,Q179997,Thirteen Colonies,Q30 | Q2079909 | Q1191350,États-Unis | province de la Baie-du-Massachusetts | Colonie de la baie du Massachusetts,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q54072 | Q771 | Q1191350 | Q2748571 | Q2079909 | Q30 | Q179997,comté de Suffolk | Massachusetts | Colonie de la baie du Massachusetts | Dominion de Nouvelle-Angleterre | province de la Baie-du-Massachusetts | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q4713532,Q4713532,Alden Bradford,death_place,Q100,Boston,Q179997,Thirteen Colonies,Q30 | Q2079909 | Q1191350,États-Unis | province de la Baie-du-Massachusetts | Colonie de la baie du Massachusetts,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q54072 | Q771 | Q1191350 | Q2748571 | Q2079909 | Q30 | Q179997,comté de Suffolk | Massachusetts | Colonie de la baie du Massachusetts | Dominion de Nouvelle-Angleterre | province de la Baie-du-Massachusetts | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q116833450,Q116833450,Alina Deldir,birth_place,Q129286,Raj britannique,Q129286 | Q8680,British Raj | British Empire,Q8680,Empire britannique,,,Q8680,Empire britannique,,
British Empire/colonial context,http://www.wikidata.org/entity/Q4766381,Q4766381,Ann Eliza Bleecker,death_place,Q24861,Albany,Q179997 | Q258532,Thirteen Colonies | British America,Q30,États-Unis,Q161885 | Q179876 | Q258532 | Q30,royaume de Grande-Bretagne | royaume d'Angleterre | Amérique britannique | États-Unis,Q161885 | Q179876 | Q258532 | Q30,royaume de Grande-Bretagne | royaume d'Angleterre | Amérique britannique | États-Unis,Q108408 | Q1384 | Q769668 | Q30 | Q179997,comté d'Albany | New York | Province de New York | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q4768392,Q4768392,Anne MacVicar Grant,residence,Q24861,Albany,Q179997 | Q258532,Thirteen Colonies | British America,Q30,États-Unis,Q161885 | Q179876 | Q258532 | Q30,royaume de Grande-Bretagne | royaume d'Angleterre | Amérique britannique | États-Unis,Q161885 | Q179876 | Q258532 | Q30,royaume de Grande-Bretagne | royaume d'Angleterre | Amérique britannique | États-Unis,Q108408 | Q1384 | Q769668 | Q30 | Q179997,comté d'Albany | New York | Province de New York | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q4768760,Q4768760,Anne Royall,birth_place,Q5092,Baltimore,Q258532 | Q8680,British America | British Empire,Q30,États-Unis,Q161885 | Q179876 | Q30 | Q8680,royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis | Empire britannique,Q161885 | Q179876 | Q30 | Q8680,royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis | Empire britannique,Q1391 | Q2452027 | Q30 | Q7569779 | Q258532,Maryland | province du Maryland | États-Unis | Colonies du Sud | Amérique britannique
British Empire/colonial context,http://www.wikidata.org/entity/Q595486,Q595486,Anton Wilhelm Amo,death_place,Q23498721,Côte-de-l’Or,Q8680,British Empire,Q8680,Empire britannique,,,Q8680,Empire britannique,,
British Empire/colonial context,http://www.wikidata.org/entity/Q719552,Q719552,Asaf-ud-Daula,birth_place,Q842411,Faizabad,Q129286,British Raj,Q668,Inde,Q129286 | Q668,Raj britannique | Inde,Q129286 | Q668,Raj britannique | Inde,Q1814132 | Q2724271 | Q1498 | Q3634604 | Q7889082 | Q2160037 | Q138521,district de Ayodhya | Division de Faizabad | Uttar Pradesh | United Provinces | United Provinces of British India | Provinces unies d'Agra et d'Oudh | Provinces du Nord-Ouest
British Empire/colonial context,http://www.wikidata.org/entity/Q719552,Q719552,Asaf-ud-Daula,death_place,Q47916,Lucknow,Q129286 | Q2001966 | Q8680,British Raj | Company rule in India | British Empire,Q668 | Q129286 | Q33296 | Q167134 | Q229411 | Q373650 | Q18129046 | Q2001966,Inde | Raj britannique | Empire moghol | Sultanat de Jaunpur | Sultanat de Delhi | empire suri | État d'Oudh | domination de la Compagnie britannique des Indes orientales en Inde,Q129286 | Q33296 | Q668 | Q8680,Raj britannique | Empire moghol | Inde | Empire britannique,Q129286 | Q167134 | Q18129046 | Q2001966 | Q229411 | Q33296 | Q373650 | Q668 | Q8680,Raj britannique | Sultanat de Jaunpur | État d'Oudh | domination de la Compagnie britannique des Indes orientales en Inde | Sultanat de Delhi | Empire moghol | empire suri | Inde | Empire britannique,Q1773416 | Q18129046 | Q2483390 | Q3634604 | Q7889082 | Q2160037 | Q138521 | Q1498 | Q129286 | Q1775277,district de Lucknow | État d'Oudh | Division de Lucknow | United Provinces | United Provinces of British India | Provinces unies d'Agra et d'Oudh | Provinces du Nord-Ouest | Uttar Pradesh | Raj britannique | Union indienne
British Empire/colonial context,http://www.wikidata.org/entity/Q4115269,Q4115269,Azad Bilgrami,birth_place,Q795814,Bilgram,Q129286,British Raj,Q668 | Q129286 | Q33296,Inde | Raj britannique | Empire moghol,Q129286 | Q33296 | Q668,Raj britannique | Empire moghol | Inde,Q129286 | Q33296 | Q668,Raj britannique | Empire moghol | Inde,Q1772822 | Q18129046 | Q16626428 | Q2483390 | Q1498 | Q3634604 | Q7889082 | Q2160037 | Q138521,Hardoi | État d'Oudh | Q16626428 | Division de Lucknow | Uttar Pradesh | United Provinces | United Provinces of British India | Provinces unies d'Agra et d'Oudh | Provinces du Nord-Ouest
