slice_id,context_label,context_order,metric,metric_label,entity_count,denominator,pct,notes,aggregation_level,gender_category,granular_bucket,bucket_family
france,France,0,low_evidence_affiliation,Low-evidence affiliation,297,2922,10.16,Top affiliation candidate is supported by zero or one mapped evidence field.,context,All genders,All occupation buckets,All occupation evidence
france,France,0,missing_country_of_citizenship,Missing citizenship,526,2922,18.0,Entity has no Wikidata country-of-citizenship value.,context,All genders,All occupation buckets,All occupation evidence
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,2922,0.0,Entity has no mapped candidate in the affiliation evidence table.,context,All genders,All occupation buckets,All occupation evidence
france,France,0,no_place_context,No place context,193,2922,6.61,Entity has no mapped birth/death/residence/work-location evidence.,context,All genders,All occupation buckets,All occupation evidence
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,613,2922,20.98,Entity has no article in the tracked language-edition matrix.,context,All genders,All occupation buckets,All occupation evidence
france,France,0,top_affiliation_tie,Top affiliation tie,728,2922,24.91,Entity has more than one top-ranked affiliation candidate.,context,All genders,All occupation buckets,All occupation evidence
france,France,0,low_evidence_affiliation,Low-evidence affiliation,3,21,14.29,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Craft / Trade / Industry,Material production
france,France,0,missing_country_of_citizenship,Missing citizenship,5,21,23.81,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Craft / Trade / Industry,Material production
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,21,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Craft / Trade / Industry,Material production
france,France,0,no_place_context,No place context,1,21,4.76,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Craft / Trade / Industry,Material production
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,7,21,33.33,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Craft / Trade / Industry,Material production
france,France,0,top_affiliation_tie,Top affiliation tie,7,21,33.33,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Craft / Trade / Industry,Material production
