scope_id,scope_label,context_order,birth_decade,entities,female_entities,female_pct,male_entities,male_pct,missing_citizenship_entities,missing_citizenship_pct,wikipedia_article_entities,wikipedia_article_pct,no_place_context_entities,no_place_context_pct,low_evidence_affiliation_entities,low_evidence_affiliation_pct,notes
global_writers,Global writers,-1,1670,313,20,6.39,293,93.61,127,40.58,235,75.08,94,30.03,110,35.14,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
global_writers,Global writers,-1,1680,691,60,8.68,623,90.16,281,40.67,501,72.5,195,28.22,242,35.02,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
global_writers,Global writers,-1,1690,765,71,9.28,688,89.93,286,37.39,583,76.21,204,26.67,276,36.08,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
global_writers,Global writers,-1,1700,1273,128,10.05,1136,89.24,467,36.68,831,65.28,431,33.86,491,38.57,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
global_writers,Global writers,-1,1710,982,112,11.41,860,87.58,363,36.97,758,77.19,266,27.09,340,34.62,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
global_writers,Global writers,-1,1720,1211,147,12.14,1052,86.87,445,36.75,912,75.31,329,27.17,423,34.93,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
global_writers,Global writers,-1,1730,1432,185,12.92,1238,86.45,511,35.68,1085,75.77,391,27.3,493,34.43,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
global_writers,Global writers,-1,1740,1749,183,10.46,1546,88.39,609,34.82,1327,75.87,439,25.1,568,32.48,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
global_writers,Global writers,-1,1750,2194,308,14.04,1873,85.37,827,37.69,1602,73.02,581,26.48,727,33.14,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
global_writers,Global writers,-1,1760,2248,322,14.32,1896,84.34,827,36.79,1626,72.33,575,25.58,771,34.3,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
global_writers,Global writers,-1,1770,1519,207,13.63,1300,85.58,559,36.8,1099,72.35,378,24.88,495,32.59,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
france,France,0,1670,74,3,4.05,71,95.95,19,25.68,54,72.97,3,4.05,7,9.46,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
france,France,0,1680,155,20,12.9,135,87.1,34,21.94,119,76.77,9,5.81,13,8.39,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
france,France,0,1690,165,14,8.48,150,90.91,33,20.0,132,80.0,6,3.64,16,9.7,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
france,France,0,1700,228,42,18.42,186,81.58,33,14.47,165,72.37,42,18.42,38,16.67,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
france,France,0,1710,203,22,10.84,181,89.16,44,21.67,164,80.79,10,4.93,22,10.84,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
france,France,0,1720,248,38,15.32,208,83.87,51,20.56,191,77.02,18,7.26,33,13.31,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
france,France,0,1730,318,31,9.75,287,90.25,55,17.3,262,82.39,17,5.35,29,9.12,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
france,France,0,1740,350,36,10.29,314,89.71,58,16.57,295,84.29,14,4.0,25,7.14,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
france,France,0,1750,442,65,14.71,377,85.29,84,19.0,355,80.32,38,8.6,44,9.95,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
france,France,0,1760,439,60,13.67,376,85.65,72,16.4,339,77.22,23,5.24,45,10.25,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
france,France,0,1770,300,41,13.67,259,86.33,43,14.33,233,77.67,13,4.33,25,8.33,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1670,65,2,3.08,63,96.92,23,35.38,52,80.0,1,1.54,3,4.62,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1680,168,7,4.17,161,95.83,66,39.29,124,73.81,3,1.79,23,13.69,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1690,225,10,4.44,212,94.22,83,36.89,187,83.11,0,0.0,32,14.22,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1700,228,10,4.39,218,95.61,83,36.4,177,77.63,1,0.44,31,13.6,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1710,235,19,8.09,215,91.49,90,38.3,184,78.3,1,0.43,26,11.06,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1720,305,18,5.9,287,94.1,99,32.46,251,82.3,1,0.33,33,10.82,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1730,341,17,4.99,324,95.01,112,32.84,269,78.89,2,0.59,38,11.14,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1740,462,24,5.19,434,93.94,170,36.8,354,76.62,0,0.0,59,12.77,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1750,650,59,9.08,591,90.92,278,42.77,471,72.46,2,0.31,88,13.54,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1760,626,63,10.06,562,89.78,277,44.25,449,71.73,2,0.32,101,16.13,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1770,406,31,7.64,375,92.36,175,43.1,288,70.94,3,0.74,68,16.75,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1670,46,10,21.74,36,78.26,8,17.39,38,82.61,15,32.61,18,39.13,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1680,79,8,10.13,71,89.87,21,26.58,71,89.87,21,26.58,32,40.51,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1690,115,19,16.52,96,83.48,24,20.87,99,86.09,36,31.3,49,42.61,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1700,177,25,14.12,152,85.88,41,23.16,144,81.36,44,24.86,70,39.55,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1710,150,20,13.33,130,86.67,30,20.0,122,81.33,44,29.33,61,40.67,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1720,197,33,16.75,163,82.74,42,21.32,171,86.8,42,21.32,61,30.96,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
