slice_id,context_label,context_order,gender_category,language_edition,slice_gender_entities,represented_entities,representation_pct,global_gender_entities,global_gender_representation_pct,representation_index_vs_global_gender,notes
france,France,0,female,dawiki,372,11,2.96,1743,2.52,1.1746,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,female,dewiki,372,112,30.11,1743,24.44,1.232,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,female,enwiki,372,188,50.54,1743,53.47,0.9452,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,female,eswiki,372,101,27.15,1743,17.73,1.5313,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,female,frwiki,372,202,54.3,1743,25.53,2.1269,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,female,itwiki,372,86,23.12,1743,13.25,1.7449,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,female,nlwiki,372,73,19.62,1743,8.61,2.2787,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,female,plwiki,372,41,11.02,1743,7.97,1.3827,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,female,ptwiki,372,42,11.29,1743,7.17,1.5746,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,female,ruwiki,372,79,21.24,1743,14.17,1.4989,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,female,svwiki,372,113,30.38,1743,19.97,1.5213,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,female,ukwiki,372,23,6.18,1743,5.22,1.1839,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,male,dawiki,2544,145,5.7,12505,4.19,1.3604,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,male,dewiki,2544,952,37.42,12505,28.41,1.3171,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,male,enwiki,2544,1055,41.47,12505,34.96,1.1862,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,male,eswiki,2544,457,17.96,12505,12.2,1.4721,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,male,frwiki,2544,1538,60.46,12505,24.26,2.4922,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,male,itwiki,2544,692,27.2,12505,14.53,1.872,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,male,nlwiki,2544,314,12.34,12505,6.24,1.9776,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,male,plwiki,2544,287,11.28,12505,8.53,1.3224,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,male,ptwiki,2544,279,10.97,12505,6.77,1.6204,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,male,ruwiki,2544,629,24.72,12505,17.49,1.4134,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,male,svwiki,2544,416,16.35,12505,11.81,1.3844,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,male,ukwiki,2544,214,8.41,12505,6.21,1.3543,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,multiple_or_ambiguous,dawiki,1,0,0.0,1,0.0,,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,multiple_or_ambiguous,dewiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,multiple_or_ambiguous,enwiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,multiple_or_ambiguous,eswiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,multiple_or_ambiguous,frwiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,multiple_or_ambiguous,itwiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
