wikidata_id,context_count,context_slice_ids,context_labels,citizenship_contexts,place_contexts,birth_place_contexts,name,birth_year,gender_category,occupation_labels,wikipedia_sitelink_count,missing_country_of_citizenship,low_evidence_affiliation,multi_context_type,notes
http://www.wikidata.org/entity/Q194402,3,france | germany | british,France | Germany | British,British,British | France | Germany,British,Joshua Reynolds,1723,male,artiste peintre | artiste visuel ou artiste visuelle | collectionneur ou collectionneuse d'œuvres d'art | écrivain ou écrivaine,61,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q213163,3,france | germany | british,France | Germany | British,France,British | France | Germany,France,Élisabeth Vigée Le Brun,1755,female,artiste | artiste peintre | salonnier ou salonnière | écrivain ou écrivaine,61,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q122382,3,france | germany | british,France | Germany | British,British,British | France | Germany,,Johann Heinrich Füssli,1741,male,artiste | artiste graphique | artiste peintre | artiste visuel ou artiste visuelle | dessinateur ou dessinatrice | dessinateur ou dessinatrice en bâtiment | historien ou historienne de l'art | illustrateur ou illustratrice | poète ou poétesse,45,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q268166,3,france | germany | british,France | Germany | British,,British | France | Germany,,Lorenzo Da Ponte,1749,male,auteur-compositeur ou autrice-compositrice | compositeur ou compositrice | dramaturge | librettiste | poète ou poétesse | traducteur ou traductrice | écrivain ou écrivaine,44,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q3595258,3,france | germany | british,France | Germany | British,British,British | France | Germany,British,James Forbes,1749,male,écrivain ou écrivaine,7,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q1870121,3,france | germany | british,France | Germany | British,Germany,British | France | Germany,Germany,Johann Lorenz Natter,1705,male,archéologue | médailleur ou médailleuse | sculpteur ou sculptrice | écrivain ou écrivaine,7,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q2856990,3,france | germany | british,France | Germany | British,France,British | France | Germany,France | Germany,Anton Bemetzrieder,1739,male,claveciniste | compositeur ou compositrice | professeur ou professeure de musique | théoricien ou théoricienne de la musique | écrivain ou écrivaine,3,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q3164584,3,france | germany | british,France | Germany | British,France,British | France | Germany,France,Jean-Bernard Le Blanc,1707,male,collectionneur ou collectionneuse | historien ou historienne | poète ou poétesse | traducteur ou traductrice,3,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q1394958,3,france | germany | british,France | Germany | British,,British | France | Germany,,Hebelius Potter,1768,male,écrivain ou écrivaine,2,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q7244079,3,france | germany | british,France | Germany | British,British,British | France | Germany,British,Prince Hoare,1755,male,artiste | artiste peintre | dramaturge,2,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q18528579,3,france | germany | british,France | Germany | British,British,British | France | Germany,France | Germany,Susanna Whatman,1753,female,écrivain ou écrivaine,2,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q3992807,3,france | germany | british,France | Germany | British,,British | France | Germany,France | Germany,Tommaso Medin,1725,male,aventurier ou aventurière | écrivain ou écrivaine,1,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q75399420,3,france | germany | british,France | Germany | British,British,France | Germany,,Francis Colman,1691,male,auteur | envoyé | librettiste,0,False,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q94943479,3,france | germany | british,France | Germany | British,,British | France | Germany,France | Germany,Jean-Godefroy Würtz,1768,male,imprimeur-libraire ou imprimeuse-libraire | libraire | écrivain ou écrivaine | éditeur ou éditrice,0,True,False,three_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q11812,2,france | british,France | British,,British | France,British,Thomas Jefferson,1743,male,architecte | archéologue | avocat ou avocate | cryptographe | diplomate | enseignant ou enseignante | homme ou femme d'État | inventeur | juriste | paléontologue | personnalité politique | philosophe | planteur | écrivain ou écrivaine,163,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q6527,2,france | british,France | British,France,British | France,France,Jean-Jacques Rousseau,1712,male,autobiographe | botaniste | compositeur ou compositrice de musique classique | critique de musique | dramaturge | encyclopédiste | essayiste | musicologue | naturaliste | philosophe | politologue | pédagogue | romancier ou romancière | épistolier ou épistolière,160,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q6694,2,france | germany,France | Germany,Germany,France | Germany,Germany,Alexander von Humboldt,1769,male,astronome | botaniste | cartographe | chroniqueur de voyage | climatologue | collectionneur ou collectionneuse de plantes | ethnologue | explorateur ou exploratrice | globe-trotteur | géographe | géologue | météorologue | naturaliste | océanographe | ornithologue | volcanologue | zoologiste | économiste,107,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q101638,2,france | british,France | British,British,British | France,British,Mary Wollstonecraft,1759,female,auteur ou autrice de littérature pour la jeunesse | chroniqueur de voyage | essayiste | gouvernante | historien ou historienne | philosophe | propriétaire de biens | romancier ou romancière | traducteur ou traductrice | écrivain ou écrivaine,104,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q80222,2,france | germany,France | Germany,France,France | Germany,France,Joseph-Louis Lagrange,1736,male,astronome | mathématicien ou mathématicienne | personnalité politique | physicien ou physicienne | professeur d'université | écrivain ou écrivaine,91,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q126462,2,france | british,France | British,British | France,British | France,British,Thomas Paine,1737,male,entrepreneur ou entrepreneuse | journaliste | personnalité politique | philosophe | prosateur ou prosatrice | publiciste | écrivain ou écrivaine,90,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q45662,2,france | germany,France | Germany,,France | Germany,France | Germany,Klemens Wenzel von Metternich,1773,male,diplomate | personnalité politique | écrivain ou écrivaine,80,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q159636,2,france | british,France | British,British,British | France,British,Joseph Priestley,1733,male,abolitionniste | bibliothécaire | chimiste | dilettante | enseignant ou enseignante | historien ou historienne des sciences | inventeur | linguiste | ministre du culte | naturaliste | personnalité politique | philosophe | physicien ou physicienne | théologien ou théologienne | théoricien ou théoricienne politique | écrivain ou écrivaine | éducateur ou éducatrice,79,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q60887,2,france | british,France | British,British | France,British,British,Jeremy Bentham,1748,male,avocat ou avocate | défenseur ou défenseuse des droits humains | juriste | marchand ou marchande | militant ou militante de la cause animale | philosophe | politologue | réformateur | réformateur protestant | suffragiste | théoricien ou théoricienne politique | économiste | écrivain ou écrivaine,77,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q83321,2,france | germany,France | Germany,,France | Germany,France | Germany,Giacomo Casanova,1725,male,autobiographe | aventurier ou aventurière | banquier | bibliothécaire | diplomate | poète ou poétesse | romancier ou romancière | traducteur ou traductrice | écrivain ou écrivaine,76,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q34628,2,france | germany,France | Germany,,France | Germany,Germany,Gotthold Ephraim Lessing,1729,male,bibliothécaire | critique | critique littéraire | dramaturge | historien ou historienne de l'art | journaliste | parolier ou parolière | philosophe | poète ou poétesse | théologien ou théologienne | écrivain ou écrivaine,71,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q165534,2,france | germany,France | Germany,France,France | Germany,France | Germany,Carlo Goldoni,1707,male,dramaturge | juriste-poète | librettiste | poète ou poétesse | prosateur ou prosatrice | réalisateur ou réalisatrice | scénariste | traducteur ou traductrice | écrivain ou écrivaine,69,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q202703,2,france | british,France | British,France,British | France,France,Nicolas-Louis de Lacaille,1713,male,astronome | enseignant ou enseignante | mathématicien ou mathématicienne | écrivain ou écrivaine,63,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q157271,2,france | germany,France | Germany,,France | Germany,Germany,Frédéric Schlegel,1772,male,critique littéraire | historien ou historienne | historien ou historienne de l'art | philosophe | poète ou poétesse | professeur d'université | romancier ou romancière | théoricien ou théoricienne de l'art | théoricien ou théoricienne de la littérature | traducteur ou traductrice | écrivain ou écrivaine | éditeur ou éditrice,55,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q123041,2,france | germany,France | Germany,France,France | Germany,France,Germaine de Staël,1766,female,critique littéraire | diariste | personnalité politique | philosophe | salonnier ou salonnière | traducteur ou traductrice | écrivain ou écrivaine | épistolier ou épistolière,54,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q7104,2,france | germany,France | Germany,France,France | Germany,Germany,Paul Henri Thiry d’Holbach,1723,male,avocat ou avocate | chimiste | encyclopédiste | philosophe | salonnier ou salonnière | traducteur ou traductrice | écrivain ou écrivaine,53,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q310767,2,france | germany,France | Germany,France,France | Germany,France,Lazare Carnot,1753,male,ingénieur | ingénieur militaire | maitre d'œuvre | mathématicien ou mathématicienne | officier | personnalité politique | physicien ou physicienne | poète ou poétesse | scientifique,51,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q122999,2,france | germany,France | Germany,France,France | Germany,France | Germany,Jean-Henri Lambert,1728,male,astronome | mathématicien ou mathématicienne | philosophe | physicien ou physicienne | écrivain ou écrivaine,50,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q216958,2,france | germany,France | Germany,France,France | Germany,France,Joseph Fouché,1759,male,avocat ou avocate | diplomate | enseignant ou enseignante | essayiste | personnalité politique,49,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q57281,2,france | germany,France | Germany,,France | Germany,Germany,Auguste Schlegel,1767,male,English–German translator | critique littéraire | dramaturge | historien ou historienne de l'art | historien ou historienne de la littérature | indianiste | linguiste | philosophe | poète ou poétesse | professeur d'université | romaniste | sanskritiste | traducteur d'œuvres littéraires de William Shakespeare | traducteur ou traductrice | écrivain ou écrivaine,48,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q231674,2,france | germany,France | Germany,France,France | Germany,Germany,Marie Leszczyńska,1703,female,écrivain ou écrivaine,47,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q310757,2,france | germany,France | Germany,,France | Germany,Germany,Roger Joseph Boscovich,1711,male,astronome | diplomate | géographe | historien ou historienne | mathématicien ou mathématicienne | philosophe | physicien ou physicienne | polymathe | poète ou poétesse | professeur d'université | prêtre catholique | théologien ou théologienne,47,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q154367,2,france | germany,France | Germany,Germany,France | Germany,Germany,Friedrich Gottlieb Klopstock,1724,male,dramaturge | linguiste | poète ou poétesse | précepteur | écrivain ou écrivaine,43,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q58062,2,france | germany,France | Germany,France | Germany,France,,Georg Forster,1754,male,anthropologue | autobiographe | bibliothécaire | biologiste | botaniste | chroniqueur de voyage | collectionneur ou collectionneuse de plantes | collectionneur ou collectionneuse scientifique | entomologiste | ethnologue | explorateur ou exploratrice | explorateur scientifique | géographe | historien ou historienne de l'art | journaliste | mycologue | naturaliste | ornithologue | professeur d'université | ptéridologue | révolutionnaire | traducteur ou traductrice | voyageur ou voyageuse | écrivain ou écrivaine,42,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q7068,2,france | germany,France | Germany,France,France | Germany,France,Julien Offray de La Mettrie,1709,male,auteur ou autrice de non-fiction | médecin | philosophe | écrivain ou écrivaine,42,False,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
http://www.wikidata.org/entity/Q29473,2,france | germany,France | Germany,,France | Germany,France,Pietro Metastasio,1698,male,auteur-compositeur ou autrice-compositrice | dramaturge | librettiste | poète ou poétesse | prêtre catholique | écrivain ou écrivaine,42,True,False,two_contexts,Context slices are non-exclusive; this table surfaces entities crossing reviewed contexts.
