slice_id,review_group,granular_bucket,bucket_family,slice_entities,slice_total_entities,slice_pct,global_entities,global_pct,context_label,context_order,pct_point_difference_vs_global,index_vs_global,signal_class,notes
france,France,Print / Publishing / Journalism,Literary and textual production,291,2922,9.96,791,5.5,France,0,4.46,1.8109,strong_overrepresented,Index compares within-slice bucket share to global cohort bucket share.
france,France,Sociability / Patronage / Court,Social and cultural mediation,95,2922,3.25,262,1.82,France,0,1.43,1.7857,strong_overrepresented,Index compares within-slice bucket share to global cohort bucket share.
france,France,Politics / Statecraft / Diplomacy,Institutional power,357,2922,12.22,1040,7.23,France,0,4.99,1.6902,strong_overrepresented,Index compares within-slice bucket share to global cohort bucket share.
france,France,Economics / Commerce,Institutional power,109,2922,3.73,332,2.31,France,0,1.42,1.6147,strong_overrepresented,Index compares within-slice bucket share to global cohort bucket share.
france,France,Military,Institutional power,129,2922,4.41,411,2.86,France,0,1.55,1.542,strong_overrepresented,Index compares within-slice bucket share to global cohort bucket share.
france,France,Engineering / Technology,Scientific knowledge,27,2922,0.92,86,0.6,France,0,0.32,1.5333,strong_overrepresented,Index compares within-slice bucket share to global cohort bucket share.
france,France,Philosophy,Intellectual systems,138,2922,4.72,450,3.13,France,0,1.59,1.508,strong_overrepresented,Index compares within-slice bucket share to global cohort bucket share.
france,France,Visual Arts / Architecture / Design,Arts and performance,156,2922,5.34,529,3.68,France,0,1.66,1.4511,overrepresented,Index compares within-slice bucket share to global cohort bucket share.
france,France,Travel / Geography / Exploration,Mobility and empire,68,2922,2.33,231,1.61,France,0,0.72,1.4472,overrepresented,Index compares within-slice bucket share to global cohort bucket share.
france,France,Music / Performance / Theatre,Arts and performance,188,2922,6.43,665,4.63,France,0,1.8,1.3888,overrepresented,Index compares within-slice bucket share to global cohort bucket share.
france,France,Law / Administration,Institutional power,306,2922,10.47,1094,7.61,France,0,2.86,1.3758,overrepresented,Index compares within-slice bucket share to global cohort bucket share.
