language_edition,granular_bucket,bucket_family,represented_entities,bucket_entities,language_represented_entities,cohort_total_entities,bucket_entity_share_pct,language_bucket_share_pct,representation_rate_pct
dawiki,Writing / Literature,Literary and textual production,564,14083,568,14377,97.96,99.3,4.0
dawiki,Education / Scholarship / Humanities,Intellectual systems,208,2476,568,14377,17.22,36.62,8.4
dawiki,Politics / Statecraft / Diplomacy,Institutional power,126,1040,568,14377,7.23,22.18,12.12
dawiki,Philosophy,Intellectual systems,110,450,568,14377,3.13,19.37,24.44
dawiki,Religion / Theology,Intellectual systems,109,2439,568,14377,16.96,19.19,4.47
dawiki,Translation / Philology / Languages,Literary and textual production,103,1355,568,14377,9.42,18.13,7.6
dawiki,Law / Administration,Institutional power,79,1094,568,14377,7.61,13.91,7.22
dawiki,Science / Natural History,Scientific knowledge,78,562,568,14377,3.91,13.73,13.88
dawiki,Print / Publishing / Journalism,Literary and textual production,63,791,568,14377,5.5,11.09,7.96
dawiki,Music / Performance / Theatre,Arts and performance,49,665,568,14377,4.63,8.63,7.37
dawiki,Economics / Commerce,Institutional power,45,332,568,14377,2.31,7.92,13.55
dawiki,Visual Arts / Architecture / Design,Arts and performance,41,529,568,14377,3.68,7.22,7.75
dawiki,Unmapped / Review,Needs review,38,469,568,14377,3.26,6.69,8.1
dawiki,Sociability / Patronage / Court,Social and cultural mediation,29,262,568,14377,1.82,5.11,11.07
dawiki,Travel / Geography / Exploration,Mobility and empire,26,231,568,14377,1.61,4.58,11.26
dawiki,Military,Institutional power,23,411,568,14377,2.86,4.05,5.6
dawiki,Medicine / Health,Scientific knowledge,21,417,568,14377,2.9,3.7,5.04
dawiki,Engineering / Technology,Scientific knowledge,18,86,568,14377,0.6,3.17,20.93
dawiki,Craft / Trade / Industry,Material production,13,157,568,14377,1.09,2.29,8.28
dawiki,Social Reform / Activism,Social and cultural mediation,8,71,568,14377,0.49,1.41,11.27
dewiki,Writing / Literature,Literary and textual production,3901,14083,3980,14377,97.96,98.02,27.7
dewiki,Education / Scholarship / Humanities,Intellectual systems,1225,2476,3980,14377,17.22,30.78,49.47
dewiki,Religion / Theology,Intellectual systems,752,2439,3980,14377,16.96,18.89,30.83
dewiki,Translation / Philology / Languages,Literary and textual production,567,1355,3980,14377,9.42,14.25,41.85
dewiki,Politics / Statecraft / Diplomacy,Institutional power,502,1040,3980,14377,7.23,12.61,48.27
dewiki,Law / Administration,Institutional power,367,1094,3980,14377,7.61,9.22,33.55
dewiki,Science / Natural History,Scientific knowledge,331,562,3980,14377,3.91,8.32,58.9
dewiki,Print / Publishing / Journalism,Literary and textual production,307,791,3980,14377,5.5,7.71,38.81
dewiki,Philosophy,Intellectual systems,305,450,3980,14377,3.13,7.66,67.78
dewiki,Music / Performance / Theatre,Arts and performance,290,665,3980,14377,4.63,7.29,43.61
dewiki,Visual Arts / Architecture / Design,Arts and performance,198,529,3980,14377,3.68,4.97,37.43
dewiki,Military,Institutional power,165,411,3980,14377,2.86,4.15,40.15
dewiki,Unmapped / Review,Needs review,164,469,3980,14377,3.26,4.12,34.97
dewiki,Medicine / Health,Scientific knowledge,146,417,3980,14377,2.9,3.67,35.01
dewiki,Sociability / Patronage / Court,Social and cultural mediation,133,262,3980,14377,1.82,3.34,50.76
dewiki,Economics / Commerce,Institutional power,130,332,3980,14377,2.31,3.27,39.16
dewiki,Travel / Geography / Exploration,Mobility and empire,111,231,3980,14377,1.61,2.79,48.05
dewiki,Engineering / Technology,Scientific knowledge,57,86,3980,14377,0.6,1.43,66.28
dewiki,Craft / Trade / Industry,Material production,47,157,3980,14377,1.09,1.18,29.94
dewiki,Social Reform / Activism,Social and cultural mediation,39,71,3980,14377,0.49,0.98,54.93
enwiki,Writing / Literature,Literary and textual production,5229,14083,5305,14377,97.96,98.57,37.13
enwiki,Education / Scholarship / Humanities,Intellectual systems,1048,2476,5305,14377,17.22,19.75,42.33
enwiki,Religion / Theology,Intellectual systems,670,2439,5305,14377,16.96,12.63,27.47
enwiki,Translation / Philology / Languages,Literary and textual production,660,1355,5305,14377,9.42,12.44,48.71
enwiki,Politics / Statecraft / Diplomacy,Institutional power,641,1040,5305,14377,7.23,12.08,61.63
enwiki,Print / Publishing / Journalism,Literary and textual production,408,791,5305,14377,5.5,7.69,51.58
enwiki,Law / Administration,Institutional power,358,1094,5305,14377,7.61,6.75,32.72
enwiki,Science / Natural History,Scientific knowledge,357,562,5305,14377,3.91,6.73,63.52
enwiki,Music / Performance / Theatre,Arts and performance,349,665,5305,14377,4.63,6.58,52.48
enwiki,Philosophy,Intellectual systems,326,450,5305,14377,3.13,6.15,72.44
enwiki,Visual Arts / Architecture / Design,Arts and performance,296,529,5305,14377,3.68,5.58,55.95
enwiki,Unmapped / Review,Needs review,203,469,5305,14377,3.26,3.83,43.28
enwiki,Medicine / Health,Scientific knowledge,186,417,5305,14377,2.9,3.51,44.6
enwiki,Military,Institutional power,182,411,5305,14377,2.86,3.43,44.28
enwiki,Sociability / Patronage / Court,Social and cultural mediation,177,262,5305,14377,1.82,3.34,67.56
enwiki,Economics / Commerce,Institutional power,173,332,5305,14377,2.31,3.26,52.11
enwiki,Travel / Geography / Exploration,Mobility and empire,148,231,5305,14377,1.61,2.79,64.07
enwiki,Craft / Trade / Industry,Material production,66,157,5305,14377,1.09,1.24,42.04
enwiki,Social Reform / Activism,Social and cultural mediation,63,71,5305,14377,0.49,1.19,88.73
enwiki,Engineering / Technology,Scientific knowledge,58,86,5305,14377,0.6,1.09,67.44
eswiki,Writing / Literature,Literary and textual production,1827,14083,1835,14377,97.96,99.56,12.97
eswiki,Education / Scholarship / Humanities,Intellectual systems,533,2476,1835,14377,17.22,29.05,21.53
eswiki,Politics / Statecraft / Diplomacy,Institutional power,332,1040,1835,14377,7.23,18.09,31.92
eswiki,Translation / Philology / Languages,Literary and textual production,313,1355,1835,14377,9.42,17.06,23.1
eswiki,Religion / Theology,Intellectual systems,252,2439,1835,14377,16.96,13.73,10.33
eswiki,Philosophy,Intellectual systems,238,450,1835,14377,3.13,12.97,52.89
eswiki,Science / Natural History,Scientific knowledge,235,562,1835,14377,3.91,12.81,41.81
eswiki,Print / Publishing / Journalism,Literary and textual production,187,791,1835,14377,5.5,10.19,23.64
eswiki,Law / Administration,Institutional power,142,1094,1835,14377,7.61,7.74,12.98
eswiki,Visual Arts / Architecture / Design,Arts and performance,140,529,1835,14377,3.68,7.63,26.47
eswiki,Music / Performance / Theatre,Arts and performance,135,665,1835,14377,4.63,7.36,20.3
eswiki,Sociability / Patronage / Court,Social and cultural mediation,117,262,1835,14377,1.82,6.38,44.66
eswiki,Unmapped / Review,Needs review,114,469,1835,14377,3.26,6.21,24.31
eswiki,Military,Institutional power,106,411,1835,14377,2.86,5.78,25.79
eswiki,Economics / Commerce,Institutional power,88,332,1835,14377,2.31,4.8,26.51
eswiki,Medicine / Health,Scientific knowledge,87,417,1835,14377,2.9,4.74,20.86
eswiki,Travel / Geography / Exploration,Mobility and empire,77,231,1835,14377,1.61,4.2,33.33
eswiki,Engineering / Technology,Scientific knowledge,44,86,1835,14377,0.6,2.4,51.16
eswiki,Social Reform / Activism,Social and cultural mediation,36,71,1835,14377,0.49,1.96,50.7
eswiki,Craft / Trade / Industry,Material production,23,157,1835,14377,1.09,1.25,14.65
frwiki,Writing / Literature,Literary and textual production,3460,14083,3481,14377,97.96,99.4,24.57
frwiki,Education / Scholarship / Humanities,Intellectual systems,920,2476,3481,14377,17.22,26.43,37.16
frwiki,Politics / Statecraft / Diplomacy,Institutional power,566,1040,3481,14377,7.23,16.26,54.42
frwiki,Translation / Philology / Languages,Literary and textual production,544,1355,3481,14377,9.42,15.63,40.15
frwiki,Religion / Theology,Intellectual systems,400,2439,3481,14377,16.96,11.49,16.4
frwiki,Print / Publishing / Journalism,Literary and textual production,352,791,3481,14377,5.5,10.11,44.5
frwiki,Law / Administration,Institutional power,315,1094,3481,14377,7.61,9.05,28.79
frwiki,Philosophy,Intellectual systems,300,450,3481,14377,3.13,8.62,66.67
frwiki,Science / Natural History,Scientific knowledge,297,562,3481,14377,3.91,8.53,52.85
frwiki,Music / Performance / Theatre,Arts and performance,284,665,3481,14377,4.63,8.16,42.71
frwiki,Visual Arts / Architecture / Design,Arts and performance,236,529,3481,14377,3.68,6.78,44.61
frwiki,Military,Institutional power,169,411,3481,14377,2.86,4.85,41.12
frwiki,Unmapped / Review,Needs review,155,469,3481,14377,3.26,4.45,33.05
frwiki,Sociability / Patronage / Court,Social and cultural mediation,144,262,3481,14377,1.82,4.14,54.96
frwiki,Economics / Commerce,Institutional power,143,332,3481,14377,2.31,4.11,43.07
frwiki,Travel / Geography / Exploration,Mobility and empire,124,231,3481,14377,1.61,3.56,53.68
frwiki,Medicine / Health,Scientific knowledge,119,417,3481,14377,2.9,3.42,28.54
frwiki,Engineering / Technology,Scientific knowledge,50,86,3481,14377,0.6,1.44,58.14
frwiki,Social Reform / Activism,Social and cultural mediation,43,71,3481,14377,0.49,1.24,60.56
frwiki,Craft / Trade / Industry,Material production,37,157,3481,14377,1.09,1.06,23.57
itwiki,Writing / Literature,Literary and textual production,2034,14083,2049,14377,97.96,99.27,14.44
itwiki,Education / Scholarship / Humanities,Intellectual systems,604,2476,2049,14377,17.22,29.48,24.39
itwiki,Politics / Statecraft / Diplomacy,Institutional power,362,1040,2049,14377,7.23,17.67,34.81
itwiki,Translation / Philology / Languages,Literary and textual production,342,1355,2049,14377,9.42,16.69,25.24
itwiki,Religion / Theology,Intellectual systems,264,2439,2049,14377,16.96,12.88,10.82
itwiki,Philosophy,Intellectual systems,246,450,2049,14377,3.13,12.01,54.67
itwiki,Science / Natural History,Scientific knowledge,209,562,2049,14377,3.91,10.2,37.19
itwiki,Music / Performance / Theatre,Arts and performance,198,665,2049,14377,4.63,9.66,29.77
itwiki,Print / Publishing / Journalism,Literary and textual production,195,791,2049,14377,5.5,9.52,24.65
itwiki,Law / Administration,Institutional power,160,1094,2049,14377,7.61,7.81,14.63
