wikidata_id,name,place_evidence_role_count,mapped_place_role_count,place_candidate_affiliation_count,best_place_candidate_affiliation,top_place_candidate_affiliations,top_place_checked_role_count,second_place_checked_role_count,top_place_score_share,top_place_candidate_tie_count,place_affiliation_review_status
http://www.wikidata.org/entity/Q1344482,3rd Jebtsundamba Khutughtu,2,1,1,China,China,1,0,0.5,1,single_place_signal
http://www.wikidata.org/entity/Q55233953,A. Flowerdew,2,2,1,British,British,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q21406125,A.-M. Lafortelle,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q255601,Aagje Deken,2,2,5,Dutch,Dutch,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q74769,Aaron Halle-Wolfssohn,2,2,2,,German | Germany,2,2,1.0,2,mixed_place_top_score
http://www.wikidata.org/entity/Q1647198,Aaron Hill,1,1,1,British,British,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q4054386,Abbas Vesim Efendi,2,2,1,Ottoman,Ottoman,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q83378444,Abbas al-Musawi al-Makki,2,1,1,Ottoman,Ottoman,1,0,0.5,1,single_place_signal
http://www.wikidata.org/entity/Q94692699,Abbé Libert,1,1,3,,France | German | Low Countries,1,1,1.0,3,mixed_place_top_score
http://www.wikidata.org/entity/Q311480,Abbé Prévost,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,2,2,4,,Czech | France | German | Germany,1,1,0.5,4,mixed_place_top_score
http://www.wikidata.org/entity/Q20410724,Abd al-Jalil al-Tabataba'i,2,2,1,Ottoman,Ottoman,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q136555452,Abd al-Rahman Tsatsa,1,0,0,,,0,0,,0,no_mapped_place_affiliation
http://www.wikidata.org/entity/Q4896174,Abd al-Razzak Beg,2,0,0,,,0,0,,0,no_mapped_place_affiliation
http://www.wikidata.org/entity/Q100352654,Abd al-Wahhab ibn Muhammad al-Fayrooz,2,0,0,,,0,0,,0,no_mapped_place_affiliation
http://www.wikidata.org/entity/Q4664676,Abdallah Zakher,2,0,0,,,0,0,,0,no_mapped_place_affiliation
http://www.wikidata.org/entity/Q2820974,Abdelaziz Ben El Hadj Ibrahim Al Thaminy,2,2,1,France,France,2,0,1.0,1,tentative_place
