wikidata_id,name,candidate_affiliation,possible_place_role_count,mapped_place_role_count,checked_place_role_count,place_score_share,supporting_place_roles,supporting_places,support_token_ids,birth_place_support,death_place_support,residence_support,work_location_support
http://www.wikidata.org/entity/Q1344482,3rd Jebtsundamba Khutughtu,China,2,1,1,0.5,birth_place,bourg de Gaocheng (Q1094547),Q148,True,False,False,False
http://www.wikidata.org/entity/Q55233953,A. Flowerdew,British,2,2,2,1.0,birth_place | death_place,Bury St Edmunds (Q764754) | Whitton (Q5646803),Q145 | Q21,True,True,False,False
http://www.wikidata.org/entity/Q21406125,A.-M. Lafortelle,France,2,2,2,1.0,birth_place | death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q255601,Aagje Deken,Dutch,2,2,2,1.0,birth_place | death_place,Amstelveen (Q9898) | La Haye (Q36600),Q170072 | Q29999 | Q55,True,True,False,False
http://www.wikidata.org/entity/Q255601,Aagje Deken,France,2,2,1,0.5,death_place,La Haye (Q36600),Q71084,False,True,False,False
http://www.wikidata.org/entity/Q255601,Aagje Deken,German,2,2,1,0.5,death_place,La Haye (Q36600),Q12548,False,True,False,False
http://www.wikidata.org/entity/Q255601,Aagje Deken,Low Countries,2,2,1,0.5,death_place,La Haye (Q36600),Q1031430,False,True,False,False
http://www.wikidata.org/entity/Q255601,Aagje Deken,Spanish,2,2,1,0.5,death_place,La Haye (Q36600),Q80702,False,True,False,False
http://www.wikidata.org/entity/Q74769,Aaron Halle-Wolfssohn,German,2,2,2,1.0,birth_place | death_place,Fürth (Q3075) | Halle-sur-Saale (Q2814),Q12548 | Q2415901 | Q55300 | Q7318,True,True,False,False
http://www.wikidata.org/entity/Q74769,Aaron Halle-Wolfssohn,Germany,2,2,2,1.0,birth_place | death_place,Fürth (Q3075) | Halle-sur-Saale (Q2814),Q1206012 | Q183 | Q27306 | Q41304 | Q43287,True,True,False,False
http://www.wikidata.org/entity/Q1647198,Aaron Hill,British,1,1,1,1.0,death_place,Londres (Q84),Q145 | Q161885 | Q174193 | Q179876 | Q21,False,True,False,False
http://www.wikidata.org/entity/Q4054386,Abbas Vesim Efendi,Ottoman,2,2,2,1.0,birth_place | death_place,Bursa (Q40738) | Istanbul (Q406),Q12560,True,True,False,False
http://www.wikidata.org/entity/Q83378444,Abbas al-Musawi al-Makki,Ottoman,2,1,1,0.5,birth_place,La Mecque (Q5806),Q12560,True,False,False,False
http://www.wikidata.org/entity/Q94692699,Abbé Libert,France,1,1,1,1.0,birth_place,Liège (Q3992),Q58296 | Q71084,True,False,False,False
http://www.wikidata.org/entity/Q94692699,Abbé Libert,German,1,1,1,1.0,birth_place,Liège (Q3992),Q12548,True,False,False,False
http://www.wikidata.org/entity/Q94692699,Abbé Libert,Low Countries,1,1,1,1.0,birth_place,Liège (Q3992),Q158835 | Q31,True,False,False,False
http://www.wikidata.org/entity/Q311480,Abbé Prévost,France,2,2,2,1.0,birth_place | death_place,Chantilly (Q126675) | Courteuil (Q777620) | Hesdin (Q467366),Q142,True,True,False,False
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,Czech,2,2,1,0.5,death_place,Bohême (Q39193),Q213,False,True,False,False
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,France,2,2,1,0.5,birth_place,Quimper (Q342),Q142,True,False,False,False
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,German,2,2,1,0.5,death_place,Bavière (Q980),Q7318,False,True,False,False
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,Germany,2,2,1,0.5,death_place,Bavière (Q980),Q1206012 | Q183 | Q41304,False,True,False,False
