token_family,token_id,token_label,token_wikidata_url,occurrence_count,entity_count,place_count,example_places,example_names
direct_country,Q17,Japon,https://www.wikidata.org/wiki/Q17,139,88,76,Aizuma | Aoyama | Chōkoku-ji Temple (Nagano) | Denma-cho prison | Edo | Fukagawa | Furuseki | Gion,Akera Kankō | Akisato Ritō | Aoki Kon’yō | Ban Kōkei | Carl Peter Thunberg | Chiyo-ni | Hagiwara Sōko | Hakuin Ekaku
admin_country,Q17,Japon,https://www.wikidata.org/wiki/Q17,137,91,78,Aizuma | Aoyama | Changgyeonggung | Chōkoku-ji Temple (Nagano) | Denma-cho prison | Edo | Fukagawa | Furuseki,Akera Kankō | Akisato Ritō | Aoki Kon’yō | Ban Kōkei | Carl Peter Thunberg | Chiyo-ni | Hagiwara Sōko | Hakuin Ekaku
direct_country,Q20,Norvège,https://www.wikidata.org/wiki/Q20,89,52,57,Arendal | Bergen | Bokn | Bremanger | Christiania | Christiansand | Davik | Drammen,Anders Rognaldsen Ness | Bendix Djurhuus Prahl | Christen Pram | Christian Braunmann Tullin | Christian Ludwig Brau | Christiane Koren | Cille Gad | Claus Fasting
admin_country,Q20,Norvège,https://www.wikidata.org/wiki/Q20,88,52,56,Arendal | Bergen | Bokn | Bremanger | Christiania | Christiansand | Davik | Drammen,Anders Rognaldsen Ness | Bendix Djurhuus Prahl | Christen Pram | Christian Braunmann Tullin | Christian Ludwig Brau | Christiane Koren | Cille Gad | Claus Fasting
direct_country,Q43,Turquie,https://www.wikidata.org/wiki/Q43,78,60,56,Alanya | Amasya | Asie mineure | Aydın | Ağrı | Bademli | Bandırma | Bartın,Ahmad Asim | Ahmet Efendi Dürri | Anna Larpent | Aşık Üzeyir | Bandırmalı Hamit Efendi | Bekri Mustafa Pascha | Bostancıbaşı Hafız İsmail Pasha | Darendeli Cebecizade Mehmed Pasha
admin_country,Q43,Turquie,https://www.wikidata.org/wiki/Q43,76,58,54,Alanya | Amasya | Aydın | Ağrı | Bademli | Bandırma | Bartın | Bitlis,Ahmad Asim | Ahmet Efendi Dürri | Aşık Üzeyir | Bandırmalı Hamit Efendi | Bekri Mustafa Pascha | Bostancıbaşı Hafız İsmail Pasha | Darendeli Cebecizade Mehmed Pasha | Dertli
admin_country,Q200464,Empire colonial portugais,https://www.wikidata.org/wiki/Q200464,58,38,26,Ajumako | Ambaca | Axim | Bahia | Barcelos | Belém | Brasilia | Campos dos Goytacazes,André de Barros | Anton Wilhelm Amo | António Dinis da Cruz e Silva | António José da Silva | Antônio Ferreira França | Antônio Gomes Ferreira de Castilho | Bárbara Heliodora | Carlos de São Francisco
direct_country,Q33,Finlande,https://www.wikidata.org/wiki/Q33,58,35,46,Académie royale d'Åbo | Eura | Gamlakarleby | Haapajärvi | Iitti | Ilmajoki | Jomala | Kalajoki,Abraham Achrenius | Agatha Lovisa de la Myle | Anders Chydenius | Antti Lizelius | August Nordenskiöld | Bernhard Henrik Crusell | Brita Sidonia Gadd | Carl Fredric Nordenskiöld le jeune
admin_country,Q33,Finlande,https://www.wikidata.org/wiki/Q33,57,34,45,Académie royale d'Åbo | Eura | Haapajärvi | Iitti | Ilmajoki | Jomala | Kalajoki | Kangasala,Abraham Achrenius | Agatha Lovisa de la Myle | Antti Lizelius | August Nordenskiöld | Bernhard Henrik Crusell | Brita Sidonia Gadd | Carl Fredric Nordenskiöld le jeune | Catharina Charlotta Swedenmarck
direct_country,Q155,Brésil,https://www.wikidata.org/wiki/Q155,57,37,23,Bahia | Barcelos | Belém | Brasilia | Brésil | Campos dos Goytacazes | Itaparica | Mariana,André de Barros | António Dinis da Cruz e Silva | António José da Silva | Antônio Ferreira França | Antônio Gomes Ferreira de Castilho | Bárbara Heliodora | Carlos de São Francisco | Cláudio Manuel da Costa
