language_edition,affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
dawiki,Danish,137,167,568,14377,1.16,24.12,82.04,20.7931
dawiki,German,116,993,568,14377,6.91,20.42,11.68,2.9551
dawiki,Anglophone,83,750,568,14377,5.22,14.61,11.07,2.7989
dawiki,mixed_or_ambiguous,78,2647,568,14377,18.41,13.73,2.95,0.7458
dawiki,French,67,893,568,14377,6.21,11.8,7.5,1.9002
dawiki,Swedish,30,319,568,14377,2.22,5.28,9.4,2.3784
dawiki,no_mapped_affiliation,22,4167,568,14377,28.98,3.87,0.53,0.1335
dawiki,Italian,12,667,568,14377,4.64,2.11,1.8,0.4547
dawiki,Dutch,5,266,568,14377,1.85,0.88,1.88,0.4757
dawiki,Spanish,5,504,568,14377,3.51,0.88,0.99,0.2507
dawiki,Germany,3,55,568,14377,0.38,0.53,5.45,1.3947
dawiki,Polish,3,235,568,14377,1.63,0.53,1.28,0.3252
dawiki,Russian,3,411,568,14377,2.86,0.53,0.73,0.1853
dawiki,British,2,633,568,14377,4.4,0.35,0.32,0.0795
dawiki,Corsican,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,Portuguese,1,109,568,14377,0.76,0.18,0.92,0.2368
dawiki,Arabic,0,87,568,14377,0.61,0.0,0.0,0.0
dawiki,Armenian,0,10,568,14377,0.07,0.0,0.0,0.0
dawiki,Austrian/Habsburg,0,17,568,14377,0.12,0.0,0.0,0.0
dawiki,Basque,0,8,568,14377,0.06,0.0,0.0,0.0
dawiki,Catalan,0,17,568,14377,0.12,0.0,0.0,0.0
dawiki,China,0,403,568,14377,2.8,0.0,0.0,0.0
dawiki,Croatian,0,21,568,14377,0.15,0.0,0.0,0.0
dawiki,Czech,0,53,568,14377,0.37,0.0,0.0,0.0
dawiki,Finnish,0,23,568,14377,0.16,0.0,0.0,0.0
dawiki,France,0,115,568,14377,0.8,0.0,0.0,0.0
dawiki,Greek,0,34,568,14377,0.24,0.0,0.0,0.0
dawiki,Hebrew,0,20,568,14377,0.14,0.0,0.0,0.0
dawiki,Hungarian,0,274,568,14377,1.91,0.0,0.0,0.0
dawiki,Lithuanian,0,3,568,14377,0.02,0.0,0.0,0.0
dawiki,Low Countries,0,13,568,14377,0.09,0.0,0.0,0.0
dawiki,Occitan,0,18,568,14377,0.13,0.0,0.0,0.0
dawiki,Ottoman,0,279,568,14377,1.94,0.0,0.0,0.0
dawiki,Persian,0,32,568,14377,0.22,0.0,0.0,0.0
dawiki,Ragusan/Dalmatian,0,2,568,14377,0.01,0.0,0.0,0.0
dawiki,Romanian/Moldavian,0,5,568,14377,0.03,0.0,0.0,0.0
dawiki,Serbian,0,25,568,14377,0.17,0.0,0.0,0.0
dawiki,Slovak,0,34,568,14377,0.24,0.0,0.0,0.0
dawiki,Slovene,0,1,568,14377,0.01,0.0,0.0,0.0
dawiki,South Asian,0,13,568,14377,0.09,0.0,0.0,0.0
dawiki,Swiss,0,50,568,14377,0.35,0.0,0.0,0.0
dawiki,Walloon,0,3,568,14377,0.02,0.0,0.0,0.0
dewiki,mixed_or_ambiguous,1456,2647,3980,14377,18.41,36.58,55.01,1.987
dewiki,German,784,993,3980,14377,6.91,19.7,78.95,2.8509
dewiki,French,401,893,3980,14377,6.21,10.08,44.9,1.6232
dewiki,Anglophone,326,750,3980,14377,5.22,8.19,43.47,1.569
dewiki,no_mapped_affiliation,288,4167,3980,14377,28.98,7.24,6.91,0.2498
dewiki,Italian,137,667,3980,14377,4.64,3.44,20.54,0.7414
dewiki,Dutch,70,266,3980,14377,1.85,1.76,26.32,0.9514
dewiki,Russian,66,411,3980,14377,2.86,1.66,16.06,0.5804
dewiki,Spanish,60,504,3980,14377,3.51,1.51,11.9,0.4302
dewiki,Polish,57,235,3980,14377,1.63,1.43,24.26,0.8773
dewiki,Swedish,48,319,3980,14377,2.22,1.21,15.05,0.545
dewiki,Danish,46,167,3980,14377,1.16,1.16,27.54,1.0
dewiki,British,33,633,3980,14377,4.4,0.83,5.21,0.1886
dewiki,Swiss,29,50,3980,14377,0.35,0.73,58.0,2.0857
dewiki,Hungarian,28,274,3980,14377,1.91,0.7,10.22,0.3665
dewiki,Germany,26,55,3980,14377,0.38,0.65,47.27,1.7105
dewiki,Ottoman,26,279,3980,14377,1.94,0.65,9.32,0.3351
dewiki,Portuguese,22,109,3980,14377,0.76,0.55,20.18,0.7237
dewiki,China,12,403,3980,14377,2.8,0.3,2.98,0.1071
dewiki,Arabic,9,87,3980,14377,0.61,0.23,10.34,0.377
dewiki,Austrian/Habsburg,9,17,3980,14377,0.12,0.23,52.94,1.9167
dewiki,Greek,9,34,3980,14377,0.24,0.23,26.47,0.9583
dewiki,Hebrew,6,20,3980,14377,0.14,0.15,30.0,1.0714
dewiki,Czech,5,53,3980,14377,0.37,0.13,9.43,0.3514
dewiki,Croatian,3,21,3980,14377,0.15,0.08,14.29,0.5333
dewiki,Finnish,3,23,3980,14377,0.16,0.08,13.04,0.5
dewiki,France,3,115,3980,14377,0.8,0.08,2.61,0.1
dewiki,Persian,3,32,3980,14377,0.22,0.08,9.38,0.3636
dewiki,Serbian,3,25,3980,14377,0.17,0.08,12.0,0.4706
dewiki,Armenian,2,10,3980,14377,0.07,0.05,20.0,0.7143
dewiki,Catalan,2,17,3980,14377,0.12,0.05,11.76,0.4167
dewiki,Occitan,2,18,3980,14377,0.13,0.05,11.11,0.3846
dewiki,Romanian/Moldavian,2,5,3980,14377,0.03,0.05,40.0,1.6667
dewiki,Slovak,2,34,3980,14377,0.24,0.05,5.88,0.2083
dewiki,Corsican,1,1,3980,14377,0.01,0.03,100.0,3.0
dewiki,Low Countries,1,13,3980,14377,0.09,0.03,7.69,0.3333
dewiki,Basque,0,8,3980,14377,0.06,0.0,0.0,0.0
dewiki,Lithuanian,0,3,3980,14377,0.02,0.0,0.0,0.0
dewiki,Ragusan/Dalmatian,0,2,3980,14377,0.01,0.0,0.0,0.0
dewiki,Slovene,0,1,3980,14377,0.01,0.0,0.0,0.0
dewiki,South Asian,0,13,3980,14377,0.09,0.0,0.0,0.0
dewiki,Walloon,0,3,3980,14377,0.02,0.0,0.0,0.0
enwiki,no_mapped_affiliation,1088,4167,5305,14377,28.98,20.51,26.11,0.7077
enwiki,mixed_or_ambiguous,1068,2647,5305,14377,18.41,20.13,40.35,1.0934
enwiki,Anglophone,681,750,5305,14377,5.22,12.84,90.8,2.4598
enwiki,French,541,893,5305,14377,6.21,10.2,60.58,1.6425
enwiki,British,442,633,5305,14377,4.4,8.33,69.83,1.8932
enwiki,German,355,993,5305,14377,6.91,6.69,35.75,0.9682
enwiki,Italian,214,667,5305,14377,4.64,4.03,32.08,0.8685
enwiki,Spanish,175,504,5305,14377,3.51,3.3,34.72,0.9402
enwiki,Russian,93,411,5305,14377,2.86,1.75,22.63,0.6119
enwiki,Polish,78,235,5305,14377,1.63,1.47,33.19,0.9018
enwiki,Swedish,75,319,5305,14377,2.22,1.41,23.51,0.6351
enwiki,Dutch,74,266,5305,14377,1.85,1.39,27.82,0.7514
enwiki,China,57,403,5305,14377,2.8,1.07,14.14,0.3821
enwiki,Danish,54,167,5305,14377,1.16,1.02,32.34,0.8793
enwiki,Ottoman,54,279,5305,14377,1.94,1.02,19.35,0.5258
enwiki,Portuguese,37,109,5305,14377,0.76,0.7,33.94,0.9211
enwiki,Arabic,31,87,5305,14377,0.61,0.58,35.63,0.9508
enwiki,Hungarian,31,274,5305,14377,1.91,0.58,11.31,0.3037
enwiki,Persian,23,32,5305,14377,0.22,0.43,71.88,1.9545
enwiki,Serbian,22,25,5305,14377,0.17,0.41,88.0,2.4118
enwiki,Greek,16,34,5305,14377,0.24,0.3,47.06,1.25
enwiki,Hebrew,16,20,5305,14377,0.14,0.3,80.0,2.1429
enwiki,Germany,14,55,5305,14377,0.38,0.26,25.45,0.6842
enwiki,Croatian,10,21,5305,14377,0.15,0.19,47.62,1.2667
enwiki,South Asian,10,13,5305,14377,0.09,0.19,76.92,2.1111
enwiki,France,8,115,5305,14377,0.8,0.15,6.96,0.1875
enwiki,Czech,6,53,5305,14377,0.37,0.11,11.32,0.2973
enwiki,Occitan,6,18,5305,14377,0.13,0.11,33.33,0.8462
enwiki,Finnish,4,23,5305,14377,0.16,0.08,17.39,0.5
enwiki,Low Countries,4,13,5305,14377,0.09,0.08,30.77,0.8889
enwiki,Swiss,4,50,5305,14377,0.35,0.08,8.0,0.2286
enwiki,Romanian/Moldavian,3,5,5305,14377,0.03,0.06,60.0,2.0
enwiki,Catalan,2,17,5305,14377,0.12,0.04,11.76,0.3333
enwiki,Ragusan/Dalmatian,2,2,5305,14377,0.01,0.04,100.0,4.0
enwiki,Slovak,2,34,5305,14377,0.24,0.04,5.88,0.1667
enwiki,Armenian,1,10,5305,14377,0.07,0.02,10.0,0.2857
enwiki,Austrian/Habsburg,1,17,5305,14377,0.12,0.02,5.88,0.1667
enwiki,Basque,1,8,5305,14377,0.06,0.02,12.5,0.3333
enwiki,Corsican,1,1,5305,14377,0.01,0.02,100.0,2.0
enwiki,Lithuanian,1,3,5305,14377,0.02,0.02,33.33,1.0
enwiki,Slovene,0,1,5305,14377,0.01,0.0,0.0,0.0
enwiki,Walloon,0,3,5305,14377,0.02,0.0,0.0,0.0
eswiki,Spanish,408,504,1835,14377,3.51,22.23,80.95,6.3333
eswiki,mixed_or_ambiguous,283,2647,1835,14377,18.41,15.42,10.69,0.8376
eswiki,French,266,893,1835,14377,6.21,14.5,29.79,2.3349
eswiki,Anglophone,251,750,1835,14377,5.22,13.68,33.47,2.6207
eswiki,German,165,993,1835,14377,6.91,8.99,16.62,1.301
eswiki,no_mapped_affiliation,105,4167,1835,14377,28.98,5.72,2.52,0.1974
eswiki,Italian,87,667,1835,14377,4.64,4.74,13.04,1.0216
eswiki,Russian,35,411,1835,14377,2.86,1.91,8.52,0.6678
eswiki,Portuguese,34,109,1835,14377,0.76,1.85,31.19,2.4342
eswiki,British,28,633,1835,14377,4.4,1.53,4.42,0.3477
eswiki,Swedish,28,319,1835,14377,2.22,1.53,8.78,0.6892
eswiki,Polish,25,235,1835,14377,1.63,1.36,10.64,0.8344
eswiki,Dutch,23,266,1835,14377,1.85,1.25,8.65,0.6757
eswiki,Danish,18,167,1835,14377,1.16,0.98,10.78,0.8448
eswiki,China,14,403,1835,14377,2.8,0.76,3.47,0.2714
eswiki,Hungarian,14,274,1835,14377,1.91,0.76,5.11,0.3979
eswiki,Ottoman,11,279,1835,14377,1.94,0.6,3.94,0.3093
eswiki,Germany,6,55,1835,14377,0.38,0.33,10.91,0.8684
eswiki,Catalan,5,17,1835,14377,0.12,0.27,29.41,2.25
eswiki,Occitan,5,18,1835,14377,0.13,0.27,27.78,2.0769
eswiki,Czech,4,53,1835,14377,0.37,0.22,7.55,0.5946
eswiki,Greek,4,34,1835,14377,0.24,0.22,11.76,0.9167
eswiki,Arabic,3,87,1835,14377,0.61,0.16,3.45,0.2623
eswiki,France,2,115,1835,14377,0.8,0.11,1.74,0.1375
eswiki,Persian,2,32,1835,14377,0.22,0.11,6.25,0.5
eswiki,Armenian,1,10,1835,14377,0.07,0.05,10.0,0.7143
eswiki,Austrian/Habsburg,1,17,1835,14377,0.12,0.05,5.88,0.4167
eswiki,Corsican,1,1,1835,14377,0.01,0.05,100.0,5.0
eswiki,Croatian,1,21,1835,14377,0.15,0.05,4.76,0.3333
eswiki,Finnish,1,23,1835,14377,0.16,0.05,4.35,0.3125
eswiki,Hebrew,1,20,1835,14377,0.14,0.05,5.0,0.3571
eswiki,Romanian/Moldavian,1,5,1835,14377,0.03,0.05,20.0,1.6667
eswiki,Serbian,1,25,1835,14377,0.17,0.05,4.0,0.2941
eswiki,Swiss,1,50,1835,14377,0.35,0.05,2.0,0.1429
eswiki,Basque,0,8,1835,14377,0.06,0.0,0.0,0.0
eswiki,Lithuanian,0,3,1835,14377,0.02,0.0,0.0,0.0
eswiki,Low Countries,0,13,1835,14377,0.09,0.0,0.0,0.0
eswiki,Ragusan/Dalmatian,0,2,1835,14377,0.01,0.0,0.0,0.0
eswiki,Slovak,0,34,1835,14377,0.24,0.0,0.0,0.0
eswiki,Slovene,0,1,1835,14377,0.01,0.0,0.0,0.0
eswiki,South Asian,0,13,1835,14377,0.09,0.0,0.0,0.0
eswiki,Walloon,0,3,1835,14377,0.02,0.0,0.0,0.0
frwiki,mixed_or_ambiguous,920,2647,3481,14377,18.41,26.43,34.76,1.4356
frwiki,French,765,893,3481,14377,6.21,21.98,85.67,3.5395
frwiki,Anglophone,379,750,3481,14377,5.22,10.89,50.53,2.0862
frwiki,German,304,993,3481,14377,6.91,8.73,30.61,1.2634
frwiki,no_mapped_affiliation,257,4167,3481,14377,28.98,7.38,6.17,0.2547
frwiki,Italian,255,667,3481,14377,4.64,7.33,38.23,1.5797
frwiki,Spanish,97,504,3481,14377,3.51,2.79,19.25,0.7949
frwiki,British,80,633,3481,14377,4.4,2.3,12.64,0.5227
frwiki,Russian,50,411,3481,14377,2.86,1.44,12.17,0.5035
frwiki,Dutch,48,266,3481,14377,1.85,1.38,18.05,0.7459
frwiki,France,44,115,3481,14377,0.8,1.26,38.26,1.575
frwiki,Swedish,44,319,3481,14377,2.22,1.26,13.79,0.5676
frwiki,Polish,42,235,3481,14377,1.63,1.21,17.87,0.7423
frwiki,Danish,29,167,3481,14377,1.16,0.83,17.37,0.7155
frwiki,China,25,403,3481,14377,2.8,0.72,6.2,0.2571
frwiki,Ottoman,21,279,3481,14377,1.94,0.6,7.53,0.3093
frwiki,Portuguese,21,109,3481,14377,0.76,0.6,19.27,0.7895
frwiki,Hungarian,20,274,3481,14377,1.91,0.57,7.3,0.2984
frwiki,Arabic,14,87,3481,14377,0.61,0.4,16.09,0.6557
frwiki,Germany,10,55,3481,14377,0.38,0.29,18.18,0.7632
frwiki,Greek,10,34,3481,14377,0.24,0.29,29.41,1.2083
frwiki,Occitan,10,18,3481,14377,0.13,0.29,55.56,2.2308
frwiki,Low Countries,7,13,3481,14377,0.09,0.2,53.85,2.2222
