language_edition,gender_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
dawiki,male,524,12505,568,14377,86.98,92.25,4.19,1.0606
dawiki,female,44,1743,568,14377,12.12,7.75,2.52,0.6394
dawiki,multiple_or_ambiguous,0,1,568,14377,0.01,0.0,0.0,0.0
dawiki,unknown,0,128,568,14377,0.89,0.0,0.0,0.0
dewiki,male,3553,12505,3980,14377,86.98,89.27,28.41,1.0263
dewiki,female,426,1743,3980,14377,12.12,10.7,24.44,0.8828
dewiki,multiple_or_ambiguous,1,1,3980,14377,0.01,0.03,100.0,3.0
dewiki,unknown,0,128,3980,14377,0.89,0.0,0.0,0.0
enwiki,male,4372,12505,5305,14377,86.98,82.41,34.96,0.9475
enwiki,female,932,1743,5305,14377,12.12,17.57,53.47,1.4497
enwiki,multiple_or_ambiguous,1,1,5305,14377,0.01,0.02,100.0,2.0
enwiki,unknown,0,128,5305,14377,0.89,0.0,0.0,0.0
eswiki,male,1525,12505,1835,14377,86.98,83.11,12.2,0.9555
eswiki,female,309,1743,1835,14377,12.12,16.84,17.73,1.3894
eswiki,multiple_or_ambiguous,1,1,1835,14377,0.01,0.05,100.0,5.0
eswiki,unknown,0,128,1835,14377,0.89,0.0,0.0,0.0
frwiki,male,3034,12505,3481,14377,86.98,87.16,24.26,1.0021
frwiki,female,445,1743,3481,14377,12.12,12.78,25.53,1.0545
frwiki,multiple_or_ambiguous,1,1,3481,14377,0.01,0.03,100.0,3.0
frwiki,unknown,1,128,3481,14377,0.89,0.03,0.78,0.0337
itwiki,male,1817,12505,2049,14377,86.98,88.68,14.53,1.0195
itwiki,female,231,1743,2049,14377,12.12,11.27,13.25,0.9299
itwiki,multiple_or_ambiguous,1,1,2049,14377,0.01,0.05,100.0,5.0
itwiki,unknown,0,128,2049,14377,0.89,0.0,0.0,0.0
nlwiki,male,780,12505,931,14377,86.98,83.78,6.24,0.9632
nlwiki,female,150,1743,931,14377,12.12,16.11,8.61,1.3292
nlwiki,multiple_or_ambiguous,1,1,931,14377,0.01,0.11,100.0,11.0
nlwiki,unknown,0,128,931,14377,0.89,0.0,0.0,0.0
plwiki,male,1067,12505,1207,14377,86.98,88.4,8.53,1.0163
plwiki,female,139,1743,1207,14377,12.12,11.52,7.97,0.9505
plwiki,multiple_or_ambiguous,1,1,1207,14377,0.01,0.08,100.0,8.0
plwiki,unknown,0,128,1207,14377,0.89,0.0,0.0,0.0
ptwiki,male,847,12505,973,14377,86.98,87.05,6.77,1.0008
ptwiki,female,125,1743,973,14377,12.12,12.85,7.17,1.0602
ptwiki,multiple_or_ambiguous,1,1,973,14377,0.01,0.1,100.0,10.0
ptwiki,unknown,0,128,973,14377,0.89,0.0,0.0,0.0
ruwiki,male,2187,12505,2436,14377,86.98,89.78,17.49,1.0322
ruwiki,female,247,1743,2436,14377,12.12,10.14,14.17,0.8366
ruwiki,multiple_or_ambiguous,1,1,2436,14377,0.01,0.04,100.0,4.0
ruwiki,unknown,1,128,2436,14377,0.89,0.04,0.78,0.0449
svwiki,male,1477,12505,1826,14377,86.98,80.89,11.81,0.93
svwiki,female,348,1743,1826,14377,12.12,19.06,19.97,1.5726
svwiki,multiple_or_ambiguous,1,1,1826,14377,0.01,0.05,100.0,5.0
svwiki,unknown,0,128,1826,14377,0.89,0.0,0.0,0.0
ukwiki,male,776,12505,868,14377,86.98,89.4,6.21,1.0278
ukwiki,female,91,1743,868,14377,12.12,10.48,5.22,0.8647
ukwiki,multiple_or_ambiguous,1,1,868,14377,0.01,0.12,100.0,12.0
ukwiki,unknown,0,128,868,14377,0.89,0.0,0.0,0.0
