language_edition,occupation,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
dawiki,écrivain ou écrivaine,438,10243,568,14377,71.25,77.11,4.28,1.0822
dawiki,poète ou poétesse,219,4145,568,14377,28.83,38.56,5.28,1.3375
dawiki,personnalité politique,111,863,568,14377,6.0,19.54,12.86,3.2567
dawiki,philosophe,107,442,568,14377,3.07,18.84,24.21,6.1368
dawiki,traducteur ou traductrice,84,1038,568,14377,7.22,14.79,8.09,2.0485
dawiki,professeur d'université,76,539,568,14377,3.75,13.38,14.1,3.568
dawiki,historien ou historienne,71,777,568,14377,5.4,12.5,9.14,2.3148
dawiki,dramaturge,69,1092,568,14377,7.6,12.15,6.32,1.5987
dawiki,théologien ou théologienne,61,681,568,14377,4.74,10.74,8.96,2.2658
dawiki,journaliste,45,404,568,14377,2.81,7.92,11.14,2.8185
dawiki,autobiographe,42,123,568,14377,0.86,7.39,34.15,8.593
dawiki,diplomate,38,239,568,14377,1.66,6.69,15.9,4.0301
dawiki,romancier ou romancière,38,307,568,14377,2.14,6.69,12.38,3.1262
dawiki,critique littéraire,34,140,568,14377,0.97,5.99,24.29,6.1753
dawiki,avocat ou avocate,33,285,568,14377,1.98,5.81,11.58,2.9343
dawiki,économiste,30,102,568,14377,0.71,5.28,29.41,7.4366
dawiki,botaniste,25,142,568,14377,0.99,4.4,17.61,4.4444
dawiki,juriste-poète,25,103,568,14377,0.72,4.4,24.27,6.1111
dawiki,naturaliste,24,89,568,14377,0.62,4.23,26.97,6.8226
dawiki,juriste,23,402,568,14377,2.8,4.05,5.72,1.4464
dawiki,prêtre,23,264,568,14377,1.84,4.05,8.71,2.2011
dawiki,biographe,22,204,568,14377,1.42,3.87,10.78,2.7254
dawiki,linguiste,22,220,568,14377,1.53,3.87,10.0,2.5294
dawiki,artiste peintre,21,285,568,14377,1.98,3.7,7.37,1.8687
dawiki,bibliothécaire,21,240,568,14377,1.67,3.7,8.75,2.2156
dawiki,compositeur ou compositrice,21,237,568,14377,1.65,3.7,8.86,2.2424
dawiki,mathématicien ou mathématicienne,21,159,568,14377,1.11,3.7,13.21,3.3333
dawiki,physicien ou physicienne,21,67,568,14377,0.47,3.7,31.34,7.8723
dawiki,librettiste,20,308,568,14377,2.14,3.52,6.49,1.6449
dawiki,médecin,20,335,568,14377,2.33,3.52,5.97,1.5107
dawiki,historien ou historienne de l'art,19,74,568,14377,0.51,3.35,25.68,6.5686
dawiki,juge,18,94,568,14377,0.65,3.17,19.15,4.8769
dawiki,essayiste,17,145,568,14377,1.01,2.99,11.72,2.9604
dawiki,astronome,15,63,568,14377,0.44,2.64,23.81,6.0
dawiki,psalmiste,15,231,568,14377,1.61,2.64,6.49,1.6398
dawiki,encyclopédiste,14,60,568,14377,0.42,2.46,23.33,5.8571
dawiki,archéologue,13,77,568,14377,0.54,2.29,16.88,4.2407
dawiki,militaire,13,202,568,14377,1.41,2.29,6.44,1.6241
dawiki,zoologiste,13,25,568,14377,0.17,2.29,52.0,13.4706
dawiki,éditeur ou éditrice,13,256,568,14377,1.78,2.29,5.08,1.2865
dawiki,diariste,12,203,568,14377,1.41,2.11,5.91,1.4965
dawiki,géographe,12,68,568,14377,0.47,2.11,17.65,4.4894
dawiki,ornithologue,12,25,568,14377,0.17,2.11,48.0,12.4118
dawiki,salonnier ou salonnière,12,71,568,14377,0.49,2.11,16.9,4.3061
dawiki,acteur ou actrice de théâtre,11,120,568,14377,0.83,1.94,9.17,2.3373
dawiki,enseignant ou enseignante,11,391,568,14377,2.72,1.94,2.81,0.7132
dawiki,entomologiste,11,42,568,14377,0.29,1.94,26.19,6.6897
dawiki,musicologue,11,41,568,14377,0.29,1.94,26.83,6.6897
dawiki,pasteur luthérien,11,99,568,14377,0.69,1.94,11.11,2.8116
dawiki,agriculteur ou agricultrice,10,56,568,14377,0.39,1.76,17.86,4.5128
dawiki,biologiste,10,21,568,14377,0.15,1.76,47.62,11.7333
dawiki,chimiste,10,35,568,14377,0.24,1.76,28.57,7.3333
dawiki,explorateur ou exploratrice,10,55,568,14377,0.38,1.76,18.18,4.6316
dawiki,fonctionnaire,10,120,568,14377,0.83,1.76,8.33,2.1205
dawiki,inventeur,10,32,568,14377,0.22,1.76,31.25,8.0
dawiki,collectionneur ou collectionneuse d'œuvres d'art,9,34,568,14377,0.24,1.58,26.47,6.5833
dawiki,géologue,9,23,568,14377,0.16,1.58,39.13,9.875
dawiki,publiciste,9,76,568,14377,0.53,1.58,11.84,2.9811
dawiki,pédagogue,9,177,568,14377,1.23,1.58,5.08,1.2846
dawiki,acteur ou actrice,8,211,568,14377,1.47,1.41,3.79,0.9592
dawiki,architecte,8,54,568,14377,0.38,1.41,14.81,3.7105
dawiki,homme ou femme d'État,8,39,568,14377,0.27,1.41,20.51,5.2222
dawiki,illustrateur ou illustratrice,8,33,568,14377,0.23,1.41,24.24,6.1304
dawiki,missionnaire,8,57,568,14377,0.4,1.41,14.04,3.525
dawiki,sociologue,8,12,568,14377,0.08,1.41,66.67,17.625
dawiki,anthropologue,7,27,568,14377,0.19,1.23,25.93,6.4737
dawiki,auteur,7,80,568,14377,0.56,1.23,8.75,2.1964
dawiki,auteur ou autrice de littérature pour la jeunesse,7,38,568,14377,0.26,1.23,18.42,4.7308
dawiki,auteur-compositeur ou autrice-compositrice,7,40,568,14377,0.28,1.23,17.5,4.3929
dawiki,collectionneur ou collectionneuse scientifique,7,15,568,14377,0.1,1.23,46.67,12.3
dawiki,ingénieur,7,41,568,14377,0.29,1.23,17.07,4.2414
dawiki,lexicographe,7,97,568,14377,0.67,1.23,7.22,1.8358
dawiki,officier,7,155,568,14377,1.08,1.23,4.52,1.1389
dawiki,officier de marine,7,23,568,14377,0.16,1.23,30.43,7.6875
dawiki,politologue,7,13,568,14377,0.09,1.23,53.85,13.6667
dawiki,professeur,7,42,568,14377,0.29,1.23,16.67,4.2414
dawiki,prêtre catholique,7,352,568,14377,2.45,1.23,1.99,0.502
dawiki,théoricien ou théoricienne de la musique,7,19,568,14377,0.13,1.23,36.84,9.4615
dawiki,chroniqueur de voyage,6,63,568,14377,0.44,1.06,9.52,2.4091
dawiki,graveur ou graveuse d'estampes,6,46,568,14377,0.32,1.06,13.04,3.3125
dawiki,historien ou historienne de la littérature,6,34,568,14377,0.24,1.06,17.65,4.4167
dawiki,personnalité du monde des affaires,6,30,568,14377,0.21,1.06,20.0,5.0476
dawiki,prosateur ou prosatrice,6,30,568,14377,0.21,1.06,20.0,5.0476
dawiki,artiste,5,27,568,14377,0.19,0.88,18.52,4.6316
dawiki,cartographe,5,39,568,14377,0.27,0.88,12.82,3.2593
dawiki,collectionneur ou collectionneuse de plantes,5,18,568,14377,0.13,0.88,27.78,6.7692
dawiki,dessinateur ou dessinatrice,5,82,568,14377,0.57,0.88,6.1,1.5439
dawiki,directeur ou directrice de théâtre,5,38,568,14377,0.26,0.88,13.16,3.3846
dawiki,minéralogiste,5,20,568,14377,0.14,0.88,25.0,6.2857
dawiki,pasteur,5,244,568,14377,1.7,0.88,2.05,0.5176
dawiki,polymathe,5,8,568,14377,0.06,0.88,62.5,14.6667
dawiki,scientifique,5,33,568,14377,0.23,0.88,15.15,3.8261
dawiki,artiste graphique,4,23,568,14377,0.16,0.7,17.39,4.375
dawiki,artiste visuel ou artiste visuelle,4,18,568,14377,0.13,0.7,22.22,5.3846
dawiki,auteur ou autrice de non-fiction,4,28,568,14377,0.19,0.7,14.29,3.6842
dawiki,chirurgien ou chirurgienne,4,50,568,14377,0.35,0.7,8.0,2.0
dawiki,critique de musique,4,8,568,14377,0.06,0.7,50.0,11.6667
dawiki,entrepreneur ou entrepreneuse,4,21,568,14377,0.15,0.7,19.05,4.6667
dawiki,ministre du culte,4,140,568,14377,0.97,0.7,2.86,0.7216
dawiki,moraliste,4,10,568,14377,0.07,0.7,40.0,10.0
dawiki,mécène,4,29,568,14377,0.2,0.7,13.79,3.5
dawiki,nouvelliste,4,7,568,14377,0.05,0.7,57.14,14.0
dawiki,numismate,4,28,568,14377,0.19,0.7,14.29,3.6842
dawiki,parolier ou parolière,4,33,568,14377,0.23,0.7,12.12,3.0435
dawiki,philosophe de l'esthétique,4,10,568,14377,0.07,0.7,40.0,10.0
dawiki,révolutionnaire,4,15,568,14377,0.1,0.7,26.67,7.0
dawiki,théoricien ou théoricienne de l'art,4,6,568,14377,0.04,0.7,66.67,17.5
dawiki,théoricien ou théoricienne politique,4,5,568,14377,0.03,0.7,80.0,23.3333
dawiki,épistolier ou épistolière,4,55,568,14377,0.38,0.7,7.27,1.8421
dawiki,érudit classique,4,34,568,14377,0.24,0.7,11.76,2.9167
dawiki,English–German translator,3,3,568,14377,0.02,0.53,100.0,26.5
dawiki,abolitionniste,3,24,568,14377,0.17,0.53,12.5,3.1176
dawiki,aquafortiste,3,20,568,14377,0.14,0.53,15.0,3.7857
dawiki,arachnologue,3,3,568,14377,0.02,0.53,100.0,26.5
dawiki,artiste lyrique,3,19,568,14377,0.13,0.53,15.79,4.0769
dawiki,banquier,3,21,568,14377,0.15,0.53,14.29,3.5333
dawiki,bryologiste,3,4,568,14377,0.03,0.53,75.0,17.6667
dawiki,chef ou cheffe d'orchestre ou de chœur,3,11,568,14377,0.08,0.53,27.27,6.625
dawiki,critique,3,12,568,14377,0.08,0.53,25.0,6.625
dawiki,critique d'art,3,14,568,14377,0.1,0.53,21.43,5.3
dawiki,graveur d'ex-libris,3,6,568,14377,0.04,0.53,50.0,13.25
dawiki,haut fonctionnaire ou haute fonctionnaire,3,74,568,14377,0.51,0.53,4.05,1.0392
dawiki,illustrateur ou illustratrice scientifique,3,12,568,14377,0.08,0.53,25.0,6.625
dawiki,monarque,3,8,568,14377,0.06,0.53,37.5,8.8333
dawiki,musicien ou musicienne,3,65,568,14377,0.45,0.53,4.62,1.1778
dawiki,mycologue,3,5,568,14377,0.03,0.53,60.0,17.6667
dawiki,médecin écrivain,3,12,568,14377,0.08,0.53,25.0,6.625
dawiki,orientaliste,3,25,568,14377,0.17,0.53,12.0,3.1176
dawiki,paléontologue,3,7,568,14377,0.05,0.53,42.86,10.6
dawiki,philologue,3,124,568,14377,0.86,0.53,2.42,0.6163
dawiki,philologue classique,3,27,568,14377,0.19,0.53,11.11,2.7895
dawiki,philosophe politique,3,3,568,14377,0.02,0.53,100.0,26.5
dawiki,prêtre anglican,3,59,568,14377,0.41,0.53,5.08,1.2927
dawiki,prêtre chrétien,3,27,568,14377,0.19,0.53,11.11,2.7895
dawiki,ptéridologue,3,4,568,14377,0.03,0.53,75.0,17.6667
dawiki,réformateur protestant,3,3,568,14377,0.02,0.53,100.0,26.5
dawiki,sculpteur ou sculptrice,3,19,568,14377,0.13,0.53,15.79,4.0769
dawiki,théoricien ou théoricienne de la littérature,3,6,568,14377,0.04,0.53,50.0,13.25
dawiki,traducteur d'œuvres littéraires de William Shakespeare,3,3,568,14377,0.02,0.53,100.0,26.5
dawiki,écrivain ou écrivaine de science-fiction,3,12,568,14377,0.08,0.53,25.0,6.625
dawiki,Amtmann,2,7,568,14377,0.05,0.35,28.57,7.0
dawiki,Hofmeister,2,13,568,14377,0.09,0.35,15.38,3.8889
dawiki,agronome,2,35,568,14377,0.24,0.35,5.71,1.4583
dawiki,antiquaire,2,41,568,14377,0.29,0.35,4.88,1.2069
dawiki,aquarelliste,2,9,568,14377,0.06,0.35,22.22,5.8333
dawiki,bibliophile,2,24,568,14377,0.17,0.35,8.33,2.0588
dawiki,chambellan,2,13,568,14377,0.09,0.35,15.38,3.8889
dawiki,clerc,2,125,568,14377,0.87,0.35,1.6,0.4023
dawiki,collecteur ou collectrice de textes traditionnels,2,8,568,14377,0.06,0.35,25.0,5.8333
dawiki,collectionneur ou collectionneuse,2,29,568,14377,0.2,0.35,6.9,1.75
dawiki,concepteur ou conceptrice de meubles,2,2,568,14377,0.01,0.35,100.0,35.0
