language_edition,place_affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
dawiki,mixed_or_ambiguous,134,2922,568,14377,20.32,23.59,4.59,1.1609
dawiki,Danish,82,111,568,14377,0.77,14.44,73.87,18.7532
dawiki,Germany,78,1280,568,14377,8.9,13.73,6.09,1.5427
dawiki,British,77,1241,568,14377,8.63,13.56,6.2,1.5713
dawiki,France,70,1457,568,14377,10.13,12.32,4.8,1.2162
dawiki,no_place_context,34,3883,568,14377,27.01,5.99,0.88,0.2218
dawiki,Swedish,26,209,568,14377,1.45,4.58,12.44,3.1586
dawiki,no_mapped_place_affiliation,20,400,568,14377,2.78,3.52,5.0,1.2662
dawiki,Anglophone,16,188,568,14377,1.31,2.82,8.51,2.1527
dawiki,Swiss,9,132,568,14377,0.92,1.58,6.82,1.7174
dawiki,Italian,5,550,568,14377,3.83,0.88,0.91,0.2298
dawiki,Spanish,4,428,568,14377,2.98,0.7,0.93,0.2349
dawiki,Dutch,3,159,568,14377,1.11,0.53,1.89,0.4775
dawiki,China,2,100,568,14377,0.7,0.35,2.0,0.5
dawiki,Polish,2,120,568,14377,0.83,0.35,1.67,0.4217
dawiki,Russian,2,367,568,14377,2.55,0.35,0.54,0.1373
dawiki,Austrian/Habsburg,1,9,568,14377,0.06,0.18,11.11,3.0
dawiki,German,1,20,568,14377,0.14,0.18,5.0,1.2857
dawiki,Portuguese,1,72,568,14377,0.5,0.18,1.39,0.36
dawiki,South Asian,1,41,568,14377,0.29,0.18,2.44,0.6207
dawiki,Czech,0,117,568,14377,0.81,0.0,0.0,0.0
dawiki,Czech/Slovak,0,3,568,14377,0.02,0.0,0.0,0.0
dawiki,Egyptian,0,2,568,14377,0.01,0.0,0.0,0.0
dawiki,Estonian,0,10,568,14377,0.07,0.0,0.0,0.0
dawiki,Greek,0,32,568,14377,0.22,0.0,0.0,0.0
dawiki,Haitian/Caribbean,0,4,568,14377,0.03,0.0,0.0,0.0
dawiki,Hungarian,0,108,568,14377,0.75,0.0,0.0,0.0
dawiki,Lithuanian,0,4,568,14377,0.03,0.0,0.0,0.0
dawiki,Low Countries,0,41,568,14377,0.29,0.0,0.0,0.0
dawiki,Ottoman,0,222,568,14377,1.54,0.0,0.0,0.0
dawiki,Ragusan/Dalmatian,0,3,568,14377,0.02,0.0,0.0,0.0
dawiki,Romanian/Moldavian,0,2,568,14377,0.01,0.0,0.0,0.0
dawiki,Serbian,0,12,568,14377,0.08,0.0,0.0,0.0
dawiki,Slovak,0,73,568,14377,0.51,0.0,0.0,0.0
dawiki,Slovene,0,47,568,14377,0.33,0.0,0.0,0.0
dawiki,Ukrainian,0,8,568,14377,0.06,0.0,0.0,0.0
dewiki,mixed_or_ambiguous,1308,2922,3980,14377,20.32,32.86,44.76,1.6171
dewiki,Germany,949,1280,3980,14377,8.9,23.84,74.14,2.6787
dewiki,France,495,1457,3980,14377,10.13,12.44,33.97,1.228
dewiki,British,335,1241,3980,14377,8.63,8.42,26.99,0.9757
dewiki,no_place_context,111,3883,3980,14377,27.01,2.79,2.86,0.1033
dewiki,no_mapped_place_affiliation,97,400,3980,14377,2.78,2.44,24.25,0.8777
dewiki,Italian,85,550,3980,14377,3.83,2.14,15.45,0.5587
dewiki,Swiss,85,132,3980,14377,0.92,2.14,64.39,2.3261
dewiki,Russian,80,367,3980,14377,2.55,2.01,21.8,0.7882
dewiki,Anglophone,79,188,3980,14377,1.31,1.98,42.02,1.5115
dewiki,Polish,51,120,3980,14377,0.83,1.28,42.5,1.5422
dewiki,Spanish,48,428,3980,14377,2.98,1.21,11.21,0.406
dewiki,Dutch,45,159,3980,14377,1.11,1.13,28.3,1.018
dewiki,Swedish,41,209,3980,14377,1.45,1.03,19.62,0.7103
dewiki,Danish,29,111,3980,14377,0.77,0.73,26.13,0.9481
dewiki,Ottoman,21,222,3980,14377,1.54,0.53,9.46,0.3442
dewiki,Czech,20,117,3980,14377,0.81,0.5,17.09,0.6173
dewiki,China,17,100,3980,14377,0.7,0.43,17.0,0.6143
dewiki,Portuguese,16,72,3980,14377,0.5,0.4,22.22,0.8
dewiki,German,11,20,3980,14377,0.14,0.28,55.0,2.0
dewiki,Hungarian,11,108,3980,14377,0.75,0.28,10.19,0.3733
dewiki,Slovak,10,73,3980,14377,0.51,0.25,13.7,0.4902
dewiki,Estonian,8,10,3980,14377,0.07,0.2,80.0,2.8571
dewiki,Greek,7,32,3980,14377,0.22,0.18,21.88,0.8182
dewiki,Austrian/Habsburg,6,9,3980,14377,0.06,0.15,66.67,2.5
dewiki,Slovene,5,47,3980,14377,0.33,0.13,10.64,0.3939
dewiki,South Asian,4,41,3980,14377,0.29,0.1,9.76,0.3448
dewiki,Low Countries,3,41,3980,14377,0.29,0.08,7.32,0.2759
dewiki,Haitian/Caribbean,1,4,3980,14377,0.03,0.03,25.0,1.0
dewiki,Serbian,1,12,3980,14377,0.08,0.03,8.33,0.375
dewiki,Ukrainian,1,8,3980,14377,0.06,0.03,12.5,0.5
dewiki,Czech/Slovak,0,3,3980,14377,0.02,0.0,0.0,0.0
dewiki,Egyptian,0,2,3980,14377,0.01,0.0,0.0,0.0
dewiki,Lithuanian,0,4,3980,14377,0.03,0.0,0.0,0.0
dewiki,Ragusan/Dalmatian,0,3,3980,14377,0.02,0.0,0.0,0.0
dewiki,Romanian/Moldavian,0,2,3980,14377,0.01,0.0,0.0,0.0
enwiki,no_place_context,1099,3883,5305,14377,27.01,20.72,28.3,0.7671
enwiki,British,1087,1241,5305,14377,8.63,20.49,87.59,2.3743
enwiki,mixed_or_ambiguous,919,2922,5305,14377,20.32,17.32,31.45,0.8524
enwiki,France,733,1457,5305,14377,10.13,13.82,50.31,1.3643
enwiki,Germany,277,1280,5305,14377,8.9,5.22,21.64,0.5865
enwiki,no_mapped_place_affiliation,180,400,5305,14377,2.78,3.39,45.0,1.2194
enwiki,Anglophone,167,188,5305,14377,1.31,3.15,88.83,2.4046
enwiki,Italian,154,550,5305,14377,3.83,2.9,28.0,0.7572
enwiki,Spanish,138,428,5305,14377,2.98,2.6,32.24,0.8725
enwiki,Russian,108,367,5305,14377,2.55,2.04,29.43,0.8
enwiki,Swedish,53,209,5305,14377,1.45,1.0,25.36,0.6897
enwiki,China,46,100,5305,14377,0.7,0.87,46.0,1.2429
enwiki,Danish,43,111,5305,14377,0.77,0.81,38.74,1.0519
enwiki,Swiss,38,132,5305,14377,0.92,0.72,28.79,0.7826
enwiki,Ottoman,37,222,5305,14377,1.54,0.7,16.67,0.4545
enwiki,Dutch,36,159,5305,14377,1.11,0.68,22.64,0.6126
enwiki,Polish,34,120,5305,14377,0.83,0.64,28.33,0.7711
enwiki,Portuguese,28,72,5305,14377,0.5,0.53,38.89,1.06
enwiki,South Asian,27,41,5305,14377,0.29,0.51,65.85,1.7586
enwiki,Greek,15,32,5305,14377,0.22,0.28,46.88,1.2727
enwiki,Hungarian,14,108,5305,14377,0.75,0.26,12.96,0.3467
enwiki,Czech,12,117,5305,14377,0.81,0.23,10.26,0.284
enwiki,Serbian,11,12,5305,14377,0.08,0.21,91.67,2.625
enwiki,Low Countries,9,41,5305,14377,0.29,0.17,21.95,0.5862
enwiki,Slovene,9,47,5305,14377,0.33,0.17,19.15,0.5152
enwiki,Austrian/Habsburg,7,9,5305,14377,0.06,0.13,77.78,2.1667
enwiki,German,7,20,5305,14377,0.14,0.13,35.0,0.9286
enwiki,Slovak,5,73,5305,14377,0.51,0.09,6.85,0.1765
enwiki,Ragusan/Dalmatian,3,3,5305,14377,0.02,0.06,100.0,3.0
enwiki,Estonian,2,10,5305,14377,0.07,0.04,20.0,0.5714
enwiki,Haitian/Caribbean,2,4,5305,14377,0.03,0.04,50.0,1.3333
enwiki,Lithuanian,2,4,5305,14377,0.03,0.04,50.0,1.3333
enwiki,Ukrainian,2,8,5305,14377,0.06,0.04,25.0,0.6667
enwiki,Romanian/Moldavian,1,2,5305,14377,0.01,0.02,50.0,2.0
enwiki,Czech/Slovak,0,3,5305,14377,0.02,0.0,0.0,0.0
enwiki,Egyptian,0,2,5305,14377,0.01,0.0,0.0,0.0
eswiki,mixed_or_ambiguous,346,2922,1835,14377,20.32,18.86,11.84,0.9281
eswiki,France,333,1457,1835,14377,10.13,18.15,22.86,1.7917
eswiki,Spanish,311,428,1835,14377,2.98,16.95,72.66,5.6879
eswiki,British,268,1241,1835,14377,8.63,14.6,21.6,1.6918
eswiki,Germany,110,1280,1835,14377,8.9,5.99,8.59,0.673
eswiki,no_place_context,87,3883,1835,14377,27.01,4.74,2.24,0.1755
eswiki,no_mapped_place_affiliation,78,400,1835,14377,2.78,4.25,19.5,1.5288
eswiki,Italian,65,550,1835,14377,3.83,3.54,11.82,0.9243
eswiki,Anglophone,50,188,1835,14377,1.31,2.72,26.6,2.0763
eswiki,Russian,41,367,1835,14377,2.55,2.23,11.17,0.8745
eswiki,Portuguese,26,72,1835,14377,0.5,1.42,36.11,2.84
eswiki,Swedish,23,209,1835,14377,1.45,1.25,11.0,0.8621
eswiki,China,16,100,1835,14377,0.7,0.87,16.0,1.2429
eswiki,Danish,14,111,1835,14377,0.77,0.76,12.61,0.987
eswiki,Swiss,14,132,1835,14377,0.92,0.76,10.61,0.8261
eswiki,Polish,11,120,1835,14377,0.83,0.6,9.17,0.7229
eswiki,Dutch,10,159,1835,14377,1.11,0.54,6.29,0.4865
eswiki,Ottoman,8,222,1835,14377,1.54,0.44,3.6,0.2857
eswiki,Hungarian,5,108,1835,14377,0.75,0.27,4.63,0.36
eswiki,Greek,4,32,1835,14377,0.22,0.22,12.5,1.0
eswiki,South Asian,4,41,1835,14377,0.29,0.22,9.76,0.7586
eswiki,Low Countries,3,41,1835,14377,0.29,0.16,7.32,0.5517
eswiki,German,2,20,1835,14377,0.14,0.11,10.0,0.7857
eswiki,Austrian/Habsburg,1,9,1835,14377,0.06,0.05,11.11,0.8333
eswiki,Czech,1,117,1835,14377,0.81,0.05,0.85,0.0617
eswiki,Haitian/Caribbean,1,4,1835,14377,0.03,0.05,25.0,1.6667
eswiki,Slovak,1,73,1835,14377,0.51,0.05,1.37,0.098
eswiki,Slovene,1,47,1835,14377,0.33,0.05,2.13,0.1515
eswiki,Ukrainian,1,8,1835,14377,0.06,0.05,12.5,0.8333
eswiki,Czech/Slovak,0,3,1835,14377,0.02,0.0,0.0,0.0
eswiki,Egyptian,0,2,1835,14377,0.01,0.0,0.0,0.0
eswiki,Estonian,0,10,1835,14377,0.07,0.0,0.0,0.0
eswiki,Lithuanian,0,4,1835,14377,0.03,0.0,0.0,0.0
eswiki,Ragusan/Dalmatian,0,3,1835,14377,0.02,0.0,0.0,0.0
eswiki,Romanian/Moldavian,0,2,1835,14377,0.01,0.0,0.0,0.0
eswiki,Serbian,0,12,1835,14377,0.08,0.0,0.0,0.0
frwiki,France,1192,1457,3481,14377,10.13,34.24,81.81,3.3801
frwiki,mixed_or_ambiguous,689,2922,3481,14377,20.32,19.79,23.58,0.9739
frwiki,British,488,1241,3481,14377,8.63,14.02,39.32,1.6246
frwiki,Germany,201,1280,3481,14377,8.9,5.77,15.7,0.6483
frwiki,Italian,197,550,3481,14377,3.83,5.66,35.82,1.4778
frwiki,no_place_context,151,3883,3481,14377,27.01,4.34,3.89,0.1607
frwiki,no_mapped_place_affiliation,103,400,3481,14377,2.78,2.96,25.75,1.0647
frwiki,Spanish,75,428,3481,14377,2.98,2.15,17.52,0.7215
frwiki,Anglophone,66,188,3481,14377,1.31,1.9,35.11,1.4504
frwiki,Russian,55,367,3481,14377,2.55,1.58,14.99,0.6196
frwiki,Swedish,38,209,3481,14377,1.45,1.09,18.18,0.7517
frwiki,Swiss,36,132,3481,14377,0.92,1.03,27.27,1.1196
frwiki,Dutch,29,159,3481,14377,1.11,0.83,18.24,0.7477
frwiki,China,28,100,3481,14377,0.7,0.8,28.0,1.1429
frwiki,Danish,20,111,3481,14377,0.77,0.57,18.02,0.7403
frwiki,Low Countries,17,41,3481,14377,0.29,0.49,41.46,1.6897
frwiki,Ottoman,17,222,3481,14377,1.54,0.49,7.66,0.3182
frwiki,Portuguese,16,72,3481,14377,0.5,0.46,22.22,0.92
frwiki,Polish,15,120,3481,14377,0.83,0.43,12.5,0.5181
frwiki,Hungarian,10,108,3481,14377,0.75,0.29,9.26,0.3867
frwiki,Greek,9,32,3481,14377,0.22,0.26,28.12,1.1818
frwiki,Czech,8,117,3481,14377,0.81,0.23,6.84,0.284
frwiki,German,5,20,3481,14377,0.14,0.14,25.0,1.0
frwiki,South Asian,5,41,3481,14377,0.29,0.14,12.2,0.4828
frwiki,Haitian/Caribbean,3,4,3481,14377,0.03,0.09,75.0,3.0
frwiki,Slovak,3,73,3481,14377,0.51,0.09,4.11,0.1765
frwiki,Austrian/Habsburg,2,9,3481,14377,0.06,0.06,22.22,1.0
frwiki,Ukrainian,2,8,3481,14377,0.06,0.06,25.0,1.0
frwiki,Slovene,1,47,3481,14377,0.33,0.03,2.13,0.0909
frwiki,Czech/Slovak,0,3,3481,14377,0.02,0.0,0.0,0.0
frwiki,Egyptian,0,2,3481,14377,0.01,0.0,0.0,0.0
frwiki,Estonian,0,10,3481,14377,0.07,0.0,0.0,0.0
frwiki,Lithuanian,0,4,3481,14377,0.03,0.0,0.0,0.0
frwiki,Ragusan/Dalmatian,0,3,3481,14377,0.02,0.0,0.0,0.0
frwiki,Romanian/Moldavian,0,2,3481,14377,0.01,0.0,0.0,0.0
frwiki,Serbian,0,12,3481,14377,0.08,0.0,0.0,0.0
itwiki,mixed_or_ambiguous,528,2922,2049,14377,20.32,25.77,18.07,1.2682
itwiki,France,396,1457,2049,14377,10.13,19.33,27.18,1.9082
itwiki,Italian,350,550,2049,14377,3.83,17.08,63.64,4.4595
itwiki,British,276,1241,2049,14377,8.63,13.47,22.24,1.5608
itwiki,Germany,135,1280,2049,14377,8.9,6.59,10.55,0.7404
itwiki,no_mapped_place_affiliation,53,400,2049,14377,2.78,2.59,13.25,0.9317
itwiki,Russian,48,367,2049,14377,2.55,2.34,13.08,0.9176
itwiki,Anglophone,42,188,2049,14377,1.31,2.05,22.34,1.5649
itwiki,Spanish,41,428,2049,14377,2.98,2.0,9.58,0.6711
itwiki,no_place_context,27,3883,2049,14377,27.01,1.32,0.7,0.0489
itwiki,Swedish,25,209,2049,14377,1.45,1.22,11.96,0.8414
itwiki,Swiss,22,132,2049,14377,0.92,1.07,16.67,1.163
itwiki,Ottoman,15,222,2049,14377,1.54,0.73,6.76,0.474
itwiki,China,14,100,2049,14377,0.7,0.68,14.0,0.9714
itwiki,Danish,13,111,2049,14377,0.77,0.63,11.71,0.8182
itwiki,Portuguese,12,72,2049,14377,0.5,0.59,16.67,1.18
itwiki,Dutch,11,159,2049,14377,1.11,0.54,6.92,0.4865
itwiki,Polish,11,120,2049,14377,0.83,0.54,9.17,0.6506
itwiki,South Asian,6,41,2049,14377,0.29,0.29,14.63,1.0
itwiki,Slovak,5,73,2049,14377,0.51,0.24,6.85,0.4706
itwiki,Greek,4,32,2049,14377,0.22,0.2,12.5,0.9091
itwiki,Hungarian,4,108,2049,14377,0.75,0.2,3.7,0.2667
itwiki,Austrian/Habsburg,2,9,2049,14377,0.06,0.1,22.22,1.6667
itwiki,Czech,2,117,2049,14377,0.81,0.1,1.71,0.1235
itwiki,German,2,20,2049,14377,0.14,0.1,10.0,0.7143
itwiki,Slovene,2,47,2049,14377,0.33,0.1,4.26,0.303
itwiki,Low Countries,1,41,2049,14377,0.29,0.05,2.44,0.1724
itwiki,Serbian,1,12,2049,14377,0.08,0.05,8.33,0.625
itwiki,Ukrainian,1,8,2049,14377,0.06,0.05,12.5,0.8333
itwiki,Czech/Slovak,0,3,2049,14377,0.02,0.0,0.0,0.0
itwiki,Egyptian,0,2,2049,14377,0.01,0.0,0.0,0.0
itwiki,Estonian,0,10,2049,14377,0.07,0.0,0.0,0.0
itwiki,Haitian/Caribbean,0,4,2049,14377,0.03,0.0,0.0,0.0
itwiki,Lithuanian,0,4,2049,14377,0.03,0.0,0.0,0.0
itwiki,Ragusan/Dalmatian,0,3,2049,14377,0.02,0.0,0.0,0.0
itwiki,Romanian/Moldavian,0,2,2049,14377,0.01,0.0,0.0,0.0
nlwiki,mixed_or_ambiguous,236,2922,931,14377,20.32,25.35,8.08,1.2475
nlwiki,France,167,1457,931,14377,10.13,17.94,11.46,1.771
nlwiki,British,135,1241,931,14377,8.63,14.5,10.88,1.6802
nlwiki,Dutch,78,159,931,14377,1.11,8.38,49.06,7.5495
nlwiki,Germany,72,1280,931,14377,8.9,7.73,5.62,0.8685
nlwiki,no_place_context,56,3883,931,14377,27.01,6.02,1.44,0.2229
nlwiki,Anglophone,29,188,931,14377,1.31,3.11,15.43,2.374
nlwiki,Low Countries,22,41,931,14377,0.29,2.36,53.66,8.1379
nlwiki,China,21,100,931,14377,0.7,2.26,21.0,3.2286
nlwiki,Russian,20,367,931,14377,2.55,2.15,5.45,0.8431
nlwiki,Swedish,18,209,931,14377,1.45,1.93,8.61,1.331
nlwiki,no_mapped_place_affiliation,17,400,931,14377,2.78,1.83,4.25,0.6583
nlwiki,Italian,16,550,931,14377,3.83,1.72,2.91,0.4491
nlwiki,Swiss,14,132,931,14377,0.92,1.5,10.61,1.6304
nlwiki,Spanish,8,428,931,14377,2.98,0.86,1.87,0.2886
nlwiki,Polish,7,120,931,14377,0.83,0.75,5.83,0.9036
nlwiki,Danish,4,111,931,14377,0.77,0.43,3.6,0.5584
nlwiki,German,3,20,931,14377,0.14,0.32,15.0,2.2857
nlwiki,South Asian,3,41,931,14377,0.29,0.32,7.32,1.1034
nlwiki,Austrian/Habsburg,1,9,931,14377,0.06,0.11,11.11,1.8333
nlwiki,Czech,1,117,931,14377,0.81,0.11,0.85,0.1358
nlwiki,Estonian,1,10,931,14377,0.07,0.11,10.0,1.5714
nlwiki,Ottoman,1,222,931,14377,1.54,0.11,0.45,0.0714
nlwiki,Portuguese,1,72,931,14377,0.5,0.11,1.39,0.22
nlwiki,Czech/Slovak,0,3,931,14377,0.02,0.0,0.0,0.0
nlwiki,Egyptian,0,2,931,14377,0.01,0.0,0.0,0.0
nlwiki,Greek,0,32,931,14377,0.22,0.0,0.0,0.0
nlwiki,Haitian/Caribbean,0,4,931,14377,0.03,0.0,0.0,0.0
nlwiki,Hungarian,0,108,931,14377,0.75,0.0,0.0,0.0
nlwiki,Lithuanian,0,4,931,14377,0.03,0.0,0.0,0.0
nlwiki,Ragusan/Dalmatian,0,3,931,14377,0.02,0.0,0.0,0.0
nlwiki,Romanian/Moldavian,0,2,931,14377,0.01,0.0,0.0,0.0
nlwiki,Serbian,0,12,931,14377,0.08,0.0,0.0,0.0
nlwiki,Slovak,0,73,931,14377,0.51,0.0,0.0,0.0
nlwiki,Slovene,0,47,931,14377,0.33,0.0,0.0,0.0
nlwiki,Ukrainian,0,8,931,14377,0.06,0.0,0.0,0.0
plwiki,mixed_or_ambiguous,343,2922,1207,14377,20.32,28.42,11.74,1.3986
plwiki,France,184,1457,1207,14377,10.13,15.24,12.63,1.5044
plwiki,British,167,1241,1207,14377,8.63,13.84,13.46,1.6037
plwiki,Germany,90,1280,1207,14377,8.9,7.46,7.03,0.8382
plwiki,Polish,62,120,1207,14377,0.83,5.14,51.67,6.1928
plwiki,Russian,56,367,1207,14377,2.55,4.64,15.26,1.8196
plwiki,Anglophone,50,188,1207,14377,1.31,4.14,26.6,3.1603
plwiki,no_place_context,49,3883,1207,14377,27.01,4.06,1.26,0.1503
plwiki,no_mapped_place_affiliation,37,400,1207,14377,2.78,3.07,9.25,1.1043
plwiki,Italian,28,550,1207,14377,3.83,2.32,5.09,0.6057
plwiki,Spanish,28,428,1207,14377,2.98,2.32,6.54,0.7785
plwiki,Swedish,20,209,1207,14377,1.45,1.66,9.57,1.1448
plwiki,China,12,100,1207,14377,0.7,0.99,12.0,1.4143
plwiki,Portuguese,10,72,1207,14377,0.5,0.83,13.89,1.66
plwiki,Czech,8,117,1207,14377,0.81,0.66,6.84,0.8148
plwiki,Danish,8,111,1207,14377,0.77,0.66,7.21,0.8571
plwiki,Ottoman,8,222,1207,14377,1.54,0.66,3.6,0.4286
plwiki,Swiss,8,132,1207,14377,0.92,0.66,6.06,0.7174
plwiki,Slovak,7,73,1207,14377,0.51,0.58,9.59,1.1373
