language_code,wiki_edition,wikidata_label_entities,wikidata_label_pct,wikidata_description_entities,wikidata_description_pct,wikipedia_article_entities,wikipedia_article_pct
en,enwiki,13842,96.28,10724,74.59,5305,36.9
nl,nlwiki,11806,82.12,9740,67.75,931,6.48
es,eswiki,11370,79.08,4387,30.51,1835,12.76
de,dewiki,10972,76.32,5566,38.71,3980,27.68
fr,frwiki,10548,73.37,5796,40.31,3481,24.21
it,itwiki,8075,56.17,5273,36.68,2049,14.25
sv,svwiki,5907,41.09,2604,18.11,1826,12.7
pt,ptwiki,5496,38.23,2597,18.06,973,6.77
da,dawiki,5062,35.21,1988,13.83,568,3.95
ru,ruwiki,3284,22.84,1699,11.82,2436,16.94
pl,plwiki,2492,17.33,1347,9.37,1207,8.4
uk,ukwiki,975,6.78,2112,14.69,868,6.04
