granular_bucket,bucket_family,occupation_count,occupation_entity_count_sum,needs_review_count,top_occupation_labels
Writing / Literature,Literary and textual production,81,18041,0,écrivain ou écrivaine | poète ou poétesse | dramaturge | librettiste | romancier ou romancière | biographe | diariste | essayiste
Religion / Theology,Intellectual systems,97,3413,0,théologien ou théologienne | prêtre catholique | prêtre | pasteur | psalmiste | prédicateur | ministre du culte | clerc
Education / Scholarship / Humanities,Intellectual systems,99,3228,0,historien ou historienne | professeur d'université | enseignant ou enseignante | bibliothécaire | pédagogue | archéologue | historien ou historienne de l'art | encyclopédiste
Translation / Philology / Languages,Literary and textual production,25,1659,0,traducteur ou traductrice | linguiste | philologue | lexicographe | philologue classique | orientaliste | grammairien | romaniste
Law / Administration,Institutional power,63,1301,0,juriste | avocat ou avocate | juge | fonctionnaire | haut fonctionnaire ou haute fonctionnaire | barrister | magistrat ou magistrate
Politics / Statecraft / Diplomacy,Institutional power,9,1176,0,personnalité politique | diplomate | homme ou femme d'État | révolutionnaire | monarque | théoricien ou théoricienne politique | personnalité politique locale | contre-révolutionnaire
Print / Publishing / Journalism,Literary and textual production,20,1037,0,journaliste | éditeur ou éditrice | libraire | imprimeur ou imprimeuse | publiciste | imprimeur-libraire ou imprimeuse-libraire | éditeur associé
Music / Performance / Theatre,Arts and performance,45,934,0,compositeur ou compositrice | acteur ou actrice | acteur ou actrice de théâtre | musicien ou musicienne | musicologue | chanteur ou chanteuse | organiste | artiste lyrique
Science / Natural History,Scientific knowledge,41,916,0,mathématicien ou mathématicienne | botaniste | naturaliste | physicien ou physicienne | astronome | entomologiste | agronome | chimiste
Visual Arts / Architecture / Design,Arts and performance,50,890,0,artiste peintre | dessinateur ou dessinatrice | calligraphe | architecte | graveur ou graveuse d'estampes | collectionneur ou collectionneuse d'œuvres d'art | illustrateur ou illustratrice | orfèvre graveur ou graveuse
Unmapped / Review,Needs review,420,523,420,Q137178806 | syndic | Q137178813 | Spanish–German translator | Theaterintendant | Warraq | able seaman | agent des terres
Medicine / Health,Scientific knowledge,23,487,0,médecin | chirurgien ou chirurgienne | historien ou historienne de la médecine | pharmacien ou pharmacienne | anatomiste | psychologue | médecin militaire | obstétricien ou obstétricienne
Philosophy,Intellectual systems,10,472,0,philosophe | moraliste | philosophe de l'esthétique | philosophe politique | philosophe du droit | logicien ou logicienne | métaphysicien | philosophe des sciences
Military,Institutional power,21,452,0,militaire | officier | soldat | commandant | aumônier militaire | officier des douanes | bushi | chef militaire
Economics / Commerce,Institutional power,33,361,0,économiste | marchand ou marchande | personnalité du monde des affaires | banquier | entrepreneur ou entrepreneuse | propriétaire terrien ou propriétaire terrienne | propriétaire de plantation | propriétaire terrien
Sociability / Patronage / Court,Social and cultural mediation,18,281,0,salonnier ou salonnière | aristocrate | collectionneur ou collectionneuse | mécène | dame de compagnie | collectionneur ou collectionneuse de plantes | chambellan | courtisan
Travel / Geography / Exploration,Mobility and empire,20,276,0,géographe | explorateur ou exploratrice | cartographe | voyageur ou voyageuse | officier de marine | marin | topographe | aventurier ou aventurière
Craft / Trade / Industry,Material production,26,161,0,agriculteur ou agricultrice | tisserand ou tisserande | cordonnier ou cordonnière | relieur ou relieuse | femme de ménage | jardinier ou jardinière | domestique | tailleur ou tailleuse
Engineering / Technology,Scientific knowledge,12,105,0,ingénieur | inventeur | ingénieur militaire | ingénieur civil | ingénieur hydraulicien ou ingénieure hydraulicienne | horloger ou horlogère | ingénieur ou ingénieure des mines | horloger
Social Reform / Activism,Social and cultural mediation,12,78,0,abolitionniste | philanthrope | militant ou militante pour les droits des femmes | militant ou militante politique | militant ou militante | national revival activist | militant de l'émigration | militant ou militante culturel
