language_edition,granular_bucket,bucket_family,represented_entities,bucket_entities,language_represented_entities,cohort_total_entities,bucket_entity_share_pct,language_bucket_share_pct,representation_rate_pct
dawiki,Writing / Literature,Literary and textual production,123,1628,124,1638,99.39,99.19,7.56
dawiki,Education / Scholarship / Humanities,Intellectual systems,67,381,124,1638,23.26,54.03,17.59
dawiki,Politics / Statecraft / Diplomacy,Institutional power,64,288,124,1638,17.58,51.61,22.22
dawiki,Philosophy,Intellectual systems,45,116,124,1638,7.08,36.29,38.79
dawiki,Science / Natural History,Scientific knowledge,34,120,124,1638,7.33,27.42,28.33
dawiki,Translation / Philology / Languages,Literary and textual production,30,304,124,1638,18.56,24.19,9.87
dawiki,Law / Administration,Institutional power,24,192,124,1638,11.72,19.35,12.5
dawiki,Print / Publishing / Journalism,Literary and textual production,21,211,124,1638,12.88,16.94,9.95
dawiki,Economics / Commerce,Institutional power,17,66,124,1638,4.03,13.71,25.76
dawiki,Sociability / Patronage / Court,Social and cultural mediation,14,73,124,1638,4.46,11.29,19.18
dawiki,Unmapped / Review,Needs review,14,75,124,1638,4.58,11.29,18.67
dawiki,Music / Performance / Theatre,Arts and performance,13,128,124,1638,7.81,10.48,10.16
dawiki,Religion / Theology,Intellectual systems,12,130,124,1638,7.94,9.68,9.23
dawiki,Visual Arts / Architecture / Design,Arts and performance,12,74,124,1638,4.52,9.68,16.22
dawiki,Travel / Geography / Exploration,Mobility and empire,11,49,124,1638,2.99,8.87,22.45
dawiki,Engineering / Technology,Scientific knowledge,9,27,124,1638,1.65,7.26,33.33
dawiki,Military,Institutional power,6,116,124,1638,7.08,4.84,5.17
dawiki,Medicine / Health,Scientific knowledge,4,43,124,1638,2.63,3.23,9.3
dawiki,Social Reform / Activism,Social and cultural mediation,3,12,124,1638,0.73,2.42,25.0
dawiki,Craft / Trade / Industry,Material production,1,9,124,1638,0.55,0.81,11.11
dewiki,Writing / Literature,Literary and textual production,697,1628,703,1638,99.39,99.15,42.81
dewiki,Education / Scholarship / Humanities,Intellectual systems,247,381,703,1638,23.26,35.14,64.83
dewiki,Politics / Statecraft / Diplomacy,Institutional power,188,288,703,1638,17.58,26.74,65.28
dewiki,Translation / Philology / Languages,Literary and textual production,163,304,703,1638,18.56,23.19,53.62
dewiki,Philosophy,Intellectual systems,99,116,703,1638,7.08,14.08,85.34
dewiki,Print / Publishing / Journalism,Literary and textual production,99,211,703,1638,12.88,14.08,46.92
dewiki,Science / Natural History,Scientific knowledge,85,120,703,1638,7.33,12.09,70.83
dewiki,Law / Administration,Institutional power,81,192,703,1638,11.72,11.52,42.19
dewiki,Music / Performance / Theatre,Arts and performance,71,128,703,1638,7.81,10.1,55.47
dewiki,Military,Institutional power,64,116,703,1638,7.08,9.1,55.17
dewiki,Religion / Theology,Intellectual systems,57,130,703,1638,7.94,8.11,43.85
dewiki,Sociability / Patronage / Court,Social and cultural mediation,50,73,703,1638,4.46,7.11,68.49
dewiki,Economics / Commerce,Institutional power,43,66,703,1638,4.03,6.12,65.15
dewiki,Unmapped / Review,Needs review,41,75,703,1638,4.58,5.83,54.67
dewiki,Visual Arts / Architecture / Design,Arts and performance,41,74,703,1638,4.52,5.83,55.41
dewiki,Travel / Geography / Exploration,Mobility and empire,38,49,703,1638,2.99,5.41,77.55
dewiki,Medicine / Health,Scientific knowledge,23,43,703,1638,2.63,3.27,53.49
dewiki,Engineering / Technology,Scientific knowledge,22,27,703,1638,1.65,3.13,81.48
dewiki,Social Reform / Activism,Social and cultural mediation,8,12,703,1638,0.73,1.14,66.67
dewiki,Craft / Trade / Industry,Material production,6,9,703,1638,0.55,0.85,66.67
enwiki,Writing / Literature,Literary and textual production,943,1628,950,1638,99.39,99.26,57.92
enwiki,Education / Scholarship / Humanities,Intellectual systems,273,381,950,1638,23.26,28.74,71.65
enwiki,Politics / Statecraft / Diplomacy,Institutional power,217,288,950,1638,17.58,22.84,75.35
enwiki,Translation / Philology / Languages,Literary and textual production,206,304,950,1638,18.56,21.68,67.76
enwiki,Print / Publishing / Journalism,Literary and textual production,138,211,950,1638,12.88,14.53,65.4
enwiki,Music / Performance / Theatre,Arts and performance,102,128,950,1638,7.81,10.74,79.69
enwiki,Philosophy,Intellectual systems,98,116,950,1638,7.08,10.32,84.48
enwiki,Law / Administration,Institutional power,94,192,950,1638,11.72,9.89,48.96
enwiki,Science / Natural History,Scientific knowledge,94,120,950,1638,7.33,9.89,78.33
enwiki,Military,Institutional power,70,116,950,1638,7.08,7.37,60.34
enwiki,Sociability / Patronage / Court,Social and cultural mediation,64,73,950,1638,4.46,6.74,87.67
enwiki,Religion / Theology,Intellectual systems,59,130,950,1638,7.94,6.21,45.38
enwiki,Visual Arts / Architecture / Design,Arts and performance,54,74,950,1638,4.52,5.68,72.97
enwiki,Unmapped / Review,Needs review,48,75,950,1638,4.58,5.05,64.0
enwiki,Economics / Commerce,Institutional power,46,66,950,1638,4.03,4.84,69.7
enwiki,Travel / Geography / Exploration,Mobility and empire,34,49,950,1638,2.99,3.58,69.39
enwiki,Medicine / Health,Scientific knowledge,26,43,950,1638,2.63,2.74,60.47
enwiki,Engineering / Technology,Scientific knowledge,21,27,950,1638,1.65,2.21,77.78
enwiki,Social Reform / Activism,Social and cultural mediation,12,12,950,1638,0.73,1.26,100.0
enwiki,Craft / Trade / Industry,Material production,5,9,950,1638,0.55,0.53,55.56
eswiki,Writing / Literature,Literary and textual production,468,1628,470,1638,99.39,99.57,28.75
eswiki,Education / Scholarship / Humanities,Intellectual systems,155,381,470,1638,23.26,32.98,40.68
eswiki,Politics / Statecraft / Diplomacy,Institutional power,133,288,470,1638,17.58,28.3,46.18
eswiki,Translation / Philology / Languages,Literary and textual production,113,304,470,1638,18.56,24.04,37.17
eswiki,Philosophy,Intellectual systems,81,116,470,1638,7.08,17.23,69.83
eswiki,Science / Natural History,Scientific knowledge,73,120,470,1638,7.33,15.53,60.83
eswiki,Print / Publishing / Journalism,Literary and textual production,59,211,470,1638,12.88,12.55,27.96
eswiki,Law / Administration,Institutional power,53,192,470,1638,11.72,11.28,27.6
eswiki,Sociability / Patronage / Court,Social and cultural mediation,52,73,470,1638,4.46,11.06,71.23
eswiki,Music / Performance / Theatre,Arts and performance,43,128,470,1638,7.81,9.15,33.59
eswiki,Military,Institutional power,39,116,470,1638,7.08,8.3,33.62
eswiki,Visual Arts / Architecture / Design,Arts and performance,37,74,470,1638,4.52,7.87,50.0
eswiki,Unmapped / Review,Needs review,36,75,470,1638,4.58,7.66,48.0
