wikidata_id,name,place_evidence_role_count,mapped_place_role_count,place_candidate_affiliation_count,best_place_candidate_affiliation,top_place_candidate_affiliations,top_place_checked_role_count,second_place_checked_role_count,top_place_score_share,top_place_candidate_tie_count,place_affiliation_review_status
http://www.wikidata.org/entity/Q21406125,A.-M. Lafortelle,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q311480,Abbé Prévost,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,2,2,4,,Czech | France | German | Germany,1,1,0.5,4,mixed_place_top_score
http://www.wikidata.org/entity/Q206191,Abigail Adams,3,3,1,Anglophone,Anglophone,3,0,1.0,1,strong_place
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,3,3,5,,German | Germany,3,3,1.0,2,mixed_place_top_score
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,3,3,3,,Austrian/Habsburg | German | Germany,3,3,1.0,3,mixed_place_top_score
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,3,3,2,France,France,2,1,0.6667,1,tentative_place
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,2,2,1,Dutch,Dutch,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,3,3,1,France,France,3,0,1.0,1,strong_place
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2825256,Adrien Richer,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q377307,Adrien de Lezay-Marnésia,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q18117862,Adrien de Sarrazin,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2825098,Adrien-Joseph Le Valois d'Orville,1,1,1,France,France,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q191021,Adrien-Marie Legendre,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2825103,Adrien-Michel-Hyacinthe Blin de Sainmore,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2825105,Adrien-Nicolas La Salle,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q56452221,Adrienne-Madeleine Dusillet,1,1,1,France,France,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q2825464,Adélaïde Gory-Decour,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q589562,Adélaïde de Souza,3,3,1,France,France,3,0,1.0,1,strong_place
http://www.wikidata.org/entity/Q2825463,Adélaïde-Gillette Dufrénoy,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q88290947,Adélaïde-Isabelle-Jeanne Vivien Deschampsy,1,1,1,France,France,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q49219472,Aglaé Adanson,1,1,1,France,France,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q2827140,Agricol-Joseph Fortia d'Urban,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2828052,Aimé Desprez,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q42315729,Aimé Guillon,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2828021,Aimé-Ambroise-Joseph Feutry,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q18325215,Alain Dumoulin,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q500046,Albert Gallatin,4,4,4,Anglophone,Anglophone,3,2,0.75,1,moderate_place
http://www.wikidata.org/entity/Q55674721,Albert Joseph Ulpien Hennet,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2375310,Albertine Necker de Saussure,2,2,2,France,France,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q1373167,Aleksander Benedykt Sobieski,2,2,5,,France | German | Germany | Italian | Polish,1,1,0.5,5,mixed_place_top_score
http://www.wikidata.org/entity/Q26206171,Aleksandr Dmitriyev,2,2,1,Russian,Russian,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q6694,Alexander von Humboldt,4,4,4,Germany,Germany,4,3,1.0,1,moderate_place
http://www.wikidata.org/entity/Q1231500,Alexandre Balthazar Laurent Grimod de La Reynière,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q442937,Alexandre Brongniart,3,3,1,France,France,3,0,1.0,1,strong_place
http://www.wikidata.org/entity/Q1245280,Alexandre Deleyre,3,3,1,France,France,3,0,1.0,1,strong_place
http://www.wikidata.org/entity/Q42352151,Alexandre Delon,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q767332,Alexandre Duval,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2263877,Alexandre Hangerli,2,2,2,,Ottoman | Russian,1,1,0.5,2,mixed_place_top_score
http://www.wikidata.org/entity/Q2720200,Alexandre Jean Joseph Le Riche de La Popelinière,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q375985,Alexandre Lenoir,3,3,1,France,France,3,0,1.0,1,strong_place
http://www.wikidata.org/entity/Q2833346,Alexandre Masson de Pezay,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q28933577,Alexandre Tanevot,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q17341044,Alexandre Zanchi,2,2,4,,Austrian/Habsburg | France | Germany | Italian,2,2,1.0,4,mixed_place_top_score
http://www.wikidata.org/entity/Q23846096,Alexandre de Ferrière,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2362791,Alexandre de Laborde (1773-1842),3,3,1,France,France,3,0,1.0,1,strong_place
http://www.wikidata.org/entity/Q215025,Alexandre de Lameth,3,3,1,France,France,3,0,1.0,1,strong_place
http://www.wikidata.org/entity/Q2834212,Alexandre de Théis,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2407609,Alexandre de Tilly,2,2,3,France,France,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2833335,Alexandre-Charles Rousselin Corbeau de Saint-Albin,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2833352,Alexandre-Guillaume de Moissy,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q21658056,Alexandre-Joseph Le Roy de Bacre,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q59390981,Alexandre-Joseph de Rouville,1,1,1,France,France,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q2893251,"Alexandre-Louis-Bertrand Robineau, dit Beaunoir",2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q46592802,Alexandre-Mathieu-Victor Clavel d'Haurimonts,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q29034482,Alexandre-Stanislas de Wimpffen,2,2,2,,France | Germany,1,1,0.5,2,mixed_place_top_score
http://www.wikidata.org/entity/Q19956123,Alexandre-Xavier Harduin,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q527477,Alexandrine-Sophie de Bawr,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q983437,Alexis Piron,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2834675,Alexis Vincent Charles Berbiguier de Terre-Neuve du Thym,2,2,1,France,France,2,0,1.0,1,tentative_place
