wikidata_id,name,candidate_affiliation,possible_place_role_count,mapped_place_role_count,checked_place_role_count,place_score_share,supporting_place_roles,supporting_places,support_token_ids,birth_place_support,death_place_support,residence_support,work_location_support
http://www.wikidata.org/entity/Q21406125,A.-M. Lafortelle,France,2,2,2,1.0,birth_place | death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q311480,Abbé Prévost,France,2,2,2,1.0,birth_place | death_place,Chantilly (Q126675) | Courteuil (Q777620) | Hesdin (Q467366),Q142,True,True,False,False
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,Czech,2,2,1,0.5,death_place,Bohême (Q39193),Q213,False,True,False,False
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,France,2,2,1,0.5,birth_place,Quimper (Q342),Q142,True,False,False,False
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,German,2,2,1,0.5,death_place,Bavière (Q980),Q7318,False,True,False,False
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,Germany,2,2,1,0.5,death_place,Bavière (Q980),Q1206012 | Q183 | Q41304,False,True,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,Anglophone,3,3,3,1.0,birth_place | death_place | residence,John Quincy Adams Birthplace (Q14715643) | Quincy (Q49143) | Weymouth (Q54195),Q30,True,True,True,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,German,3,3,3,1.0,birth_place | death_place | work_location,Berlin (Q64) | Klaipėda (Q776965) | Kostrzyn nad Odrą (Q156837),Q55300 | Q7318,True,True,False,True
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,Germany,3,3,3,1.0,birth_place | death_place | work_location,Berlin (Q64) | Klaipėda (Q776965) | Kostrzyn nad Odrą (Q156837) | Szczecin (Q393),Q1206012 | Q183 | Q27306 | Q41304 | Q43287,True,True,False,True
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,Lithuanian,3,3,1,0.3333,work_location,Klaipėda (Q776965),Q37,False,False,False,True
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,Polish,3,3,1,0.3333,work_location,Kostrzyn nad Odrą (Q156837) | Szczecin (Q393),Q36,False,False,False,True
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,Russian,3,3,1,0.3333,work_location,Klaipėda (Q776965),Q15180 | Q34266,False,False,False,True
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,Austrian/Habsburg,3,3,3,1.0,birth_place | death_place | work_location,Hietzing (Q1228247) | Vienne (Q1741),Q131964,True,True,False,True
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,German,3,3,3,1.0,birth_place | death_place | work_location,Hietzing (Q1228247) | Vienne (Q1741),Q7318,True,True,False,True
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,Germany,3,3,3,1.0,birth_place | death_place | work_location,Hietzing (Q1228247) | Vienne (Q1741),Q153136 | Q28513 | Q40,True,True,False,True
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,France,3,3,2,0.6667,death_place | work_location,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,False,True,False,True
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,Ottoman,3,3,1,0.3333,birth_place,Izmir (Q35997),Q12560,True,False,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,France,2,2,2,1.0,birth_place | death_place,Bar-sur-Aube (Q209093) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,Dutch,2,2,2,1.0,birth_place | death_place,Dordrecht (Q26421) | Ryswick (Q506745),Q29999 | Q55,True,True,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,France,3,3,3,1.0,birth_place | death_place | work_location,Briey (Q215053) | Paris (Q90) | Rouen (Q30974),Q142 | Q58296 | Q70972 | Q71084,True,True,False,True
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,France,2,2,2,1.0,birth_place | death_place,Arras (Q131329),Q142,True,True,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,France,2,2,2,1.0,birth_place | death_place,Rouen (Q30974),Q142,True,True,False,False
http://www.wikidata.org/entity/Q2825256,Adrien Richer,France,2,2,2,1.0,birth_place | death_place,Avranches (Q204430) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q377307,Adrien de Lezay-Marnésia,France,2,2,2,1.0,birth_place | death_place,Haguenau (Q22730) | Moutonne (Q405181),Q142 | Q70972,True,True,False,False
http://www.wikidata.org/entity/Q18117862,Adrien de Sarrazin,France,2,2,2,1.0,birth_place | death_place,Nourray (Q1170197) | Vendôme (Q214575),Q142,True,True,False,False
http://www.wikidata.org/entity/Q2825098,Adrien-Joseph Le Valois d'Orville,France,1,1,1,1.0,birth_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,False,False,False
http://www.wikidata.org/entity/Q191021,Adrien-Marie Legendre,France,2,2,2,1.0,birth_place | death_place,Paris (Q90) | Toulouse (Q7880),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2825103,Adrien-Michel-Hyacinthe Blin de Sainmore,France,2,2,2,1.0,birth_place | death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2825105,Adrien-Nicolas La Salle,France,2,2,2,1.0,birth_place | death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q56452221,Adrienne-Madeleine Dusillet,France,1,1,1,1.0,birth_place,Dole (Q205586),Q142,True,False,False,False
http://www.wikidata.org/entity/Q2825464,Adélaïde Gory-Decour,France,2,2,2,1.0,birth_place | death_place,Clamecy (Q213294) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q589562,Adélaïde de Souza,France,3,3,3,1.0,birth_place | death_place | residence,Paris (Q90) | hôtel Le Maître (Q3145558),Q142 | Q58296 | Q70972 | Q71084,True,True,True,False
http://www.wikidata.org/entity/Q2825463,Adélaïde-Gillette Dufrénoy,France,2,2,2,1.0,birth_place | death_place,Nantes (Q12191) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q88290947,Adélaïde-Isabelle-Jeanne Vivien Deschampsy,France,1,1,1,1.0,birth_place,Lunéville (Q208794),Q142 | Q70972,True,False,False,False
http://www.wikidata.org/entity/Q49219472,Aglaé Adanson,France,1,1,1,1.0,birth_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,False,False,False
http://www.wikidata.org/entity/Q2827140,Agricol-Joseph Fortia d'Urban,France,2,2,2,1.0,birth_place | death_place,Avignon (Q6397) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2828052,Aimé Desprez,France,2,2,2,1.0,birth_place | death_place,Herblay-sur-Seine (Q318078) | Saint-Germain-en-Laye (Q185075),Q142,True,True,False,False
http://www.wikidata.org/entity/Q42315729,Aimé Guillon,France,2,2,2,1.0,birth_place | death_place,Lyon (Q456) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2828021,Aimé-Ambroise-Joseph Feutry,France,2,2,2,1.0,birth_place | death_place,Lille (Q648),Q142,True,True,False,False
http://www.wikidata.org/entity/Q18325215,Alain Dumoulin,France,2,2,2,1.0,birth_place | death_place,Lanvéoc (Q208325) | Quimper (Q342),Q142,True,True,False,False
http://www.wikidata.org/entity/Q500046,Albert Gallatin,Anglophone,4,4,3,0.75,death_place | residence | work_location,Astoria (Q121765) | Boston (Q100) | Friendship Hill National Historic Site (Q5504402) | Machias (Q2725736) | Manhattan (Q11299) | New York (Q60) | Washington (Q61),Q30,False,True,True,True
http://www.wikidata.org/entity/Q500046,Albert Gallatin,British,4,4,2,0.5,residence | work_location,Boston (Q100),Q179997,False,False,True,True
http://www.wikidata.org/entity/Q500046,Albert Gallatin,France,4,4,2,0.5,birth_place | residence,Genève (Q71),Q142,True,False,True,False
http://www.wikidata.org/entity/Q500046,Albert Gallatin,Swiss,4,4,2,0.5,birth_place | residence,Genève (Q71),Q23366230 | Q39,True,False,True,False
http://www.wikidata.org/entity/Q55674721,Albert Joseph Ulpien Hennet,France,2,2,2,1.0,birth_place | death_place,Maubeuge (Q138648) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2375310,Albertine Necker de Saussure,France,2,2,2,1.0,birth_place | death_place,Genève (Q71) | Monnetier-Mornex (Q726968),Q142,True,True,False,False
http://www.wikidata.org/entity/Q2375310,Albertine Necker de Saussure,Swiss,2,2,1,0.5,birth_place,Genève (Q71),Q23366230 | Q39,True,False,False,False
http://www.wikidata.org/entity/Q1373167,Aleksander Benedykt Sobieski,France,2,2,1,0.5,death_place,Rome (Q220),Q142,False,True,False,False
http://www.wikidata.org/entity/Q1373167,Aleksander Benedykt Sobieski,German,2,2,1,0.5,birth_place,Gdańsk (Q1792),Q55300,True,False,False,False
http://www.wikidata.org/entity/Q1373167,Aleksander Benedykt Sobieski,Germany,2,2,1,0.5,birth_place,Gdańsk (Q1792),Q1206012 | Q27306,True,False,False,False
http://www.wikidata.org/entity/Q1373167,Aleksander Benedykt Sobieski,Italian,2,2,1,0.5,death_place,Rome (Q220),Q170174 | Q38,False,True,False,False
http://www.wikidata.org/entity/Q1373167,Aleksander Benedykt Sobieski,Polish,2,2,1,0.5,birth_place,Gdańsk (Q1792),Q172107 | Q36,True,False,False,False
http://www.wikidata.org/entity/Q26206171,Aleksandr Dmitriyev,Russian,2,2,2,1.0,birth_place | death_place,Krasnodar (Q3646) | gouvernement de Simbirsk (Q862079),Q139319 | Q15180 | Q159 | Q2305208 | Q34266,True,True,False,False
