wikidata_id,label,review_group,affiliation_bucket,context_type,modern_country_id,modern_country_label,include_in_imperial_context,include_in_modern_country_rollup,include_in_europe_binary,include_in_non_europe_or_colonial,manual_review_label,notes,manual_review_rank,wikidata_url,manual_review_needs_attention,review_field_has_affiliation_bucket,review_field_has_context_type,review_field_has_modern_country_mapping,review_field_has_geographic_rollup,review_field_has_imperial_decision,review_field_has_review_note,review_punchcard_direct_state,review_punchcard_imperial_context,review_punchcard_modern_rollup,review_punchcard_europe_binary,review_punchcard_non_europe_or_colonial,review_punchcard_review_note,review_punchcard_needs_attention,french_seed_citizenship_entity_count,french_seed_place_context_row_count,french_seed_place_context_entity_count,french_seed_birth_place_context_entity_count,french_seed_active_evidence,global_writers_citizenship_entity_count,global_writers_place_context_row_count,global_writers_place_context_entity_count,global_writers_birth_place_context_entity_count,global_writers_active_evidence,active_in_any_current_cohort,review_tally_checked_count,review_tally_total_fields,review_tally_score,review_basis_count
Q129286,British Raj,British,British imperial/colonial,colonial_state,Q145,United Kingdom,True,False,False,True,high,Colonial India.,3,https://www.wikidata.org/wiki/Q129286,False,True,True,True,True,True,True,yes,yes,no,no,yes,yes,no,0,2,1,0,yes,1,136,92,64,yes,yes,6,6,1.0,5
Q145,United Kingdom,British,British/UK state,modern_state,Q145,United Kingdom,False,True,True,False,high,Modern UK.,3,https://www.wikidata.org/wiki/Q145,False,True,True,True,True,True,True,yes,no,yes,yes,no,yes,no,2,94,56,25,yes,139,2267,1385,1088,yes,yes,6,6,1.0,5
Q161885,Kingdom of Great Britain,British,British/UK state,historical_state,Q145,United Kingdom,False,True,True,False,high,Core 18th-century British state.,3,https://www.wikidata.org/wiki/Q161885,False,True,True,True,True,True,True,yes,no,yes,yes,no,yes,no,12,80,54,24,yes,1056,1843,1235,901,yes,yes,6,6,1.0,5
Q174193,United Kingdom of Great Britain and Ireland,British,British/UK state,historical_state,Q145,United Kingdom,False,True,True,False,high,Successor state after 1801.,3,https://www.wikidata.org/wiki/Q174193,False,True,True,True,True,True,True,yes,no,yes,yes,no,yes,no,11,73,47,21,yes,660,1860,1231,929,yes,yes,6,6,1.0,5
Q179876,Kingdom of England,British,British predecessor,historical_state,Q145,United Kingdom,False,False,True,False,medium,Predecessor context; not modern UK by itself.,2,https://www.wikidata.org/wiki/Q179876,False,True,True,True,True,True,True,yes,no,no,yes,no,yes,no,1,62,45,17,yes,70,1167,870,522,yes,yes,6,6,1.0,4
Q179997,Thirteen Colonies,British,British imperial/colonial,colonial_region,Q145,United Kingdom,True,False,False,True,high,Colonial America and pre-US context.,3,https://www.wikidata.org/wiki/Q179997,False,True,True,True,True,True,True,no,yes,no,no,yes,yes,no,1,8,6,4,yes,5,101,80,53,yes,yes,6,6,1.0,4
Q2001966,Company rule in India,British,British imperial/colonial,colonial_state,Q145,United Kingdom,True,False,False,True,high,East India Company rule in India.,3,https://www.wikidata.org/wiki/Q2001966,False,True,True,True,True,True,True,yes,yes,no,no,yes,yes,no,0,2,1,0,yes,1,46,39,15,yes,yes,6,6,1.0,5
Q21,England,British,English/place context,constituent_country,Q145,United Kingdom,False,False,True,False,medium,Useful as place/current geography context.,2,https://www.wikidata.org/wiki/Q21,False,True,True,True,True,True,True,no,no,no,yes,no,yes,no,1,61,44,15,yes,23,1113,793,469,yes,yes,6,6,1.0,3
Q215530,Kingdom of Ireland,British,British/Irish crown context,historical_state,Q145,United Kingdom,False,False,True,False,low,Needs careful review; should not automatically erase Irish context.,1,https://www.wikidata.org/wiki/Q215530,True,True,True,True,True,True,True,yes,no,no,yes,no,yes,yes,1,0,0,0,yes,53,60,54,39,yes,yes,6,6,1.0,4
Q22,Scotland,British,Scottish/place context,constituent_country,Q145,United Kingdom,False,False,True,False,medium,Useful as place/current geography context.,2,https://www.wikidata.org/wiki/Q22,False,True,True,True,True,True,True,no,no,no,yes,no,yes,no,1,6,5,4,yes,19,312,207,188,yes,yes,6,6,1.0,3
