language_edition,affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
dawiki,French,67,780,124,1638,47.62,54.03,8.59,1.1346
dawiki,mixed_or_ambiguous,24,672,124,1638,41.03,19.35,3.57,0.4716
dawiki,Anglophone,10,16,124,1638,0.98,8.06,62.5,8.2245
dawiki,German,7,20,124,1638,1.22,5.65,35.0,4.6311
dawiki,Danish,5,5,124,1638,0.31,4.03,100.0,13.0
dawiki,Swedish,4,5,124,1638,0.31,3.23,80.0,10.4194
dawiki,Italian,2,22,124,1638,1.34,1.61,9.09,1.2015
dawiki,Polish,2,9,124,1638,0.55,1.61,22.22,2.9273
dawiki,Corsican,1,1,124,1638,0.06,0.81,100.0,13.5
dawiki,Dutch,1,3,124,1638,0.18,0.81,33.33,4.5
dawiki,Spanish,1,14,124,1638,0.85,0.81,7.14,0.9529
dawiki,Arabic,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,Basque,0,2,124,1638,0.12,0.0,0.0,0.0
dawiki,Czech,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,France,0,49,124,1638,2.99,0.0,0.0,0.0
dawiki,Greek,0,2,124,1638,0.12,0.0,0.0,0.0
dawiki,Hungarian,0,4,124,1638,0.24,0.0,0.0,0.0
dawiki,Low Countries,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,Occitan,0,11,124,1638,0.67,0.0,0.0,0.0
dawiki,Ottoman,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,Portuguese,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,Russian,0,17,124,1638,1.04,0.0,0.0,0.0
dawiki,Serbian,0,1,124,1638,0.06,0.0,0.0,0.0
dewiki,French,392,780,703,1638,47.62,55.76,50.26,1.1709
dewiki,mixed_or_ambiguous,224,672,703,1638,41.03,31.86,33.33,0.7765
dewiki,German,20,20,703,1638,1.22,2.84,100.0,2.3279
dewiki,Anglophone,16,16,703,1638,0.98,2.28,100.0,2.3265
dewiki,Italian,12,22,703,1638,1.34,1.71,54.55,1.2761
dewiki,Russian,7,17,703,1638,1.04,1.0,41.18,0.9615
dewiki,Polish,6,9,703,1638,0.55,0.85,66.67,1.5455
dewiki,Danish,5,5,703,1638,0.31,0.71,100.0,2.2903
dewiki,Spanish,5,14,703,1638,0.85,0.71,35.71,0.8353
dewiki,Swedish,4,5,703,1638,0.31,0.57,80.0,1.8387
dewiki,Hungarian,3,4,703,1638,0.24,0.43,75.0,1.7917
dewiki,Greek,2,2,703,1638,0.12,0.28,100.0,2.3333
dewiki,Corsican,1,1,703,1638,0.06,0.14,100.0,2.3333
dewiki,Czech,1,1,703,1638,0.06,0.14,100.0,2.3333
