language_edition,gender_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
dawiki,male,112,1432,124,1638,87.42,90.32,7.82,1.0332
dawiki,female,12,205,124,1638,12.52,9.68,5.85,0.7732
dawiki,multiple_or_ambiguous,0,1,124,1638,0.06,0.0,0.0,0.0
dewiki,male,619,1432,703,1638,87.42,88.05,43.23,1.0072
dewiki,female,83,205,703,1638,12.52,11.81,40.49,0.9433
dewiki,multiple_or_ambiguous,1,1,703,1638,0.06,0.14,100.0,2.3333
enwiki,male,811,1432,950,1638,87.42,85.37,56.63,0.9765
enwiki,female,138,205,950,1638,12.52,14.53,67.32,1.1605
enwiki,multiple_or_ambiguous,1,1,950,1638,0.06,0.11,100.0,1.8333
eswiki,male,375,1432,470,1638,87.42,79.79,26.19,0.9127
eswiki,female,94,205,470,1638,12.52,20.0,45.85,1.5974
eswiki,multiple_or_ambiguous,1,1,470,1638,0.06,0.21,100.0,3.5
frwiki,male,1233,1432,1393,1638,87.42,88.51,86.1,1.0125
frwiki,female,159,205,1393,1638,12.52,11.41,77.56,0.9113
frwiki,multiple_or_ambiguous,1,1,1393,1638,0.06,0.07,100.0,1.1667
itwiki,male,475,1432,542,1638,87.42,87.64,33.17,1.0025
itwiki,female,66,205,542,1638,12.52,12.18,32.2,0.9728
itwiki,multiple_or_ambiguous,1,1,542,1638,0.06,0.18,100.0,3.0
nlwiki,male,202,1432,253,1638,87.42,79.84,14.11,0.9133
nlwiki,female,50,205,253,1638,12.52,19.76,24.39,1.5783
nlwiki,multiple_or_ambiguous,1,1,253,1638,0.06,0.4,100.0,6.6667
plwiki,male,248,1432,289,1638,87.42,85.81,17.32,0.9816
plwiki,female,40,205,289,1638,12.52,13.84,19.51,1.1054
plwiki,multiple_or_ambiguous,1,1,289,1638,0.06,0.35,100.0,5.8333
ptwiki,male,239,1432,280,1638,87.42,85.36,16.69,0.9764
ptwiki,female,40,205,280,1638,12.52,14.29,19.51,1.1414
ptwiki,multiple_or_ambiguous,1,1,280,1638,0.06,0.36,100.0,6.0
ruwiki,male,509,1432,581,1638,87.42,87.61,35.54,1.0022
ruwiki,female,71,205,581,1638,12.52,12.22,34.63,0.976
ruwiki,multiple_or_ambiguous,1,1,581,1638,0.06,0.17,100.0,2.8333
svwiki,male,329,1432,408,1638,87.42,80.64,22.97,0.9224
svwiki,female,78,205,408,1638,12.52,19.12,38.05,1.5272
svwiki,multiple_or_ambiguous,1,1,408,1638,0.06,0.25,100.0,4.1667
ukwiki,male,202,1432,229,1638,87.42,88.21,14.11,1.009
ukwiki,female,26,205,229,1638,12.52,11.35,12.68,0.9065
ukwiki,multiple_or_ambiguous,1,1,229,1638,0.06,0.44,100.0,7.3333
