language_edition,occupation,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
dawiki,écrivain ou écrivaine,106,1155,124,1638,70.51,85.48,9.18,1.2123
dawiki,poète ou poétesse,30,384,124,1638,23.44,24.19,7.81,1.032
dawiki,dramaturge,19,393,124,1638,23.99,15.32,4.83,0.6386
dawiki,romancier ou romancière,16,72,124,1638,4.4,12.9,22.22,2.9318
dawiki,essayiste,9,56,124,1638,3.42,7.26,16.07,2.1228
dawiki,autobiographe,7,13,124,1638,0.79,5.65,53.85,7.1519
dawiki,librettiste,7,95,124,1638,5.8,5.65,7.37,0.9741
dawiki,diariste,6,18,124,1638,1.1,4.84,33.33,4.4
dawiki,biographe,5,38,124,1638,2.32,4.03,13.16,1.7371
dawiki,chroniqueur de voyage,4,8,124,1638,0.49,3.23,50.0,6.5918
dawiki,prosateur ou prosatrice,4,7,124,1638,0.43,3.23,57.14,7.5116
dawiki,épistolier ou épistolière,4,10,124,1638,0.61,3.23,40.0,5.2951
dawiki,auteur ou autrice de littérature pour la jeunesse,2,14,124,1638,0.85,1.61,14.29,1.8941
dawiki,juriste-poète,2,7,124,1638,0.43,1.61,28.57,3.7442
dawiki,écrivain ou écrivaine de science-fiction,2,5,124,1638,0.31,1.61,40.0,5.1935
dawiki,fabuliste,1,15,124,1638,0.92,0.81,6.67,0.8804
dawiki,historien ou historienne des sciences,1,3,124,1638,0.18,0.81,33.33,4.5
dawiki,psalmiste,1,2,124,1638,0.12,0.81,50.0,6.75
dawiki,apologète,0,2,124,1638,0.12,0.0,0.0,0.0
dawiki,auteur comique,0,2,124,1638,0.12,0.0,0.0,0.0
dawiki,auteur de contes,0,2,124,1638,0.12,0.0,0.0,0.0
dawiki,auteur tragique,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,chansonnier,0,26,124,1638,1.59,0.0,0.0,0.0
dawiki,chroniqueur ou chroniqueuse,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,collecteur ou collectrice de textes traditionnels,0,3,124,1638,0.18,0.0,0.0,0.0
dawiki,femme de lettres,0,11,124,1638,0.67,0.0,0.0,0.0
dawiki,historien ou historienne de la médecine,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,historien ou historienne des mathématiques,0,3,124,1638,0.18,0.0,0.0,0.0
dawiki,homme de lettres,0,11,124,1638,0.67,0.0,0.0,0.0
dawiki,journaliste scientifique,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,mémorialiste,0,25,124,1638,1.53,0.0,0.0,0.0
dawiki,nouvelliste,0,2,124,1638,0.12,0.0,0.0,0.0
dawiki,pamphlétaire,0,9,124,1638,0.55,0.0,0.0,0.0
dawiki,parolier ou parolière,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,poétesse,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,écrivain religieux,0,2,124,1638,0.12,0.0,0.0,0.0
dawiki,épistolière,0,6,124,1638,0.37,0.0,0.0,0.0
dewiki,écrivain ou écrivaine,591,1155,703,1638,70.51,84.07,51.17,1.1923
dewiki,dramaturge,170,393,703,1638,23.99,24.18,43.26,1.0079
dewiki,poète ou poétesse,162,384,703,1638,23.44,23.04,42.19,0.9829
dewiki,romancier ou romancière,45,72,703,1638,4.4,6.4,62.5,1.4545
dewiki,librettiste,33,95,703,1638,5.8,4.69,34.74,0.8086
dewiki,essayiste,30,56,703,1638,3.42,4.27,53.57,1.2485
dewiki,biographe,13,38,703,1638,2.32,1.85,34.21,0.7974
dewiki,autobiographe,11,13,703,1638,0.79,1.56,84.62,1.9747
dewiki,chansonnier,11,26,703,1638,1.59,1.56,42.31,0.9811
dewiki,diariste,11,18,703,1638,1.1,1.56,61.11,1.4182
dewiki,mémorialiste,11,25,703,1638,1.53,1.56,44.0,1.0196
dewiki,auteur ou autrice de littérature pour la jeunesse,10,14,703,1638,0.85,1.42,71.43,1.6706
dewiki,juriste-poète,7,7,703,1638,0.43,1.0,100.0,2.3256
dewiki,chroniqueur de voyage,6,8,703,1638,0.49,0.85,75.0,1.7347
dewiki,prosateur ou prosatrice,6,7,703,1638,0.43,0.85,85.71,1.9767
dewiki,épistolier ou épistolière,6,10,703,1638,0.61,0.85,60.0,1.3934
dewiki,fabuliste,5,15,703,1638,0.92,0.71,33.33,0.7717
dewiki,historien ou historienne des mathématiques,3,3,703,1638,0.18,0.43,100.0,2.3889
dewiki,historien ou historienne des sciences,3,3,703,1638,0.18,0.43,100.0,2.3889
dewiki,pamphlétaire,3,9,703,1638,0.55,0.43,33.33,0.7818
dewiki,écrivain ou écrivaine de science-fiction,3,5,703,1638,0.31,0.43,60.0,1.3871
dewiki,épistolière,3,6,703,1638,0.37,0.43,50.0,1.1622
dewiki,femme de lettres,2,11,703,1638,0.67,0.28,18.18,0.4179
dewiki,apologète,1,2,703,1638,0.12,0.14,50.0,1.1667
dewiki,auteur comique,1,2,703,1638,0.12,0.14,50.0,1.1667
dewiki,auteur de contes,1,2,703,1638,0.12,0.14,50.0,1.1667
dewiki,auteur tragique,1,1,703,1638,0.06,0.14,100.0,2.3333
dewiki,collecteur ou collectrice de textes traditionnels,1,3,703,1638,0.18,0.14,33.33,0.7778
dewiki,homme de lettres,1,11,703,1638,0.67,0.14,9.09,0.209
dewiki,psalmiste,1,2,703,1638,0.12,0.14,50.0,1.1667
dewiki,chroniqueur ou chroniqueuse,0,1,703,1638,0.06,0.0,0.0,0.0
dewiki,historien ou historienne de la médecine,0,1,703,1638,0.06,0.0,0.0,0.0
dewiki,journaliste scientifique,0,1,703,1638,0.06,0.0,0.0,0.0
dewiki,nouvelliste,0,2,703,1638,0.12,0.0,0.0,0.0
dewiki,parolier ou parolière,0,1,703,1638,0.06,0.0,0.0,0.0
dewiki,poétesse,0,1,703,1638,0.06,0.0,0.0,0.0
dewiki,écrivain religieux,0,2,703,1638,0.12,0.0,0.0,0.0
enwiki,écrivain ou écrivaine,693,1155,950,1638,70.51,72.95,60.0,1.0346
enwiki,dramaturge,310,393,950,1638,23.99,32.63,78.88,1.3602
enwiki,poète ou poétesse,235,384,950,1638,23.44,24.74,61.2,1.0555
enwiki,librettiste,82,95,950,1638,5.8,8.63,86.32,1.4879
enwiki,romancier ou romancière,53,72,950,1638,4.4,5.58,73.61,1.2682
enwiki,essayiste,33,56,950,1638,3.42,3.47,58.93,1.0146
enwiki,chansonnier,23,26,950,1638,1.59,2.42,88.46,1.522
enwiki,biographe,20,38,950,1638,2.32,2.11,52.63,0.9095
enwiki,mémorialiste,16,25,950,1638,1.53,1.68,64.0,1.098
enwiki,autobiographe,13,13,950,1638,0.79,1.37,100.0,1.7342
enwiki,auteur ou autrice de littérature pour la jeunesse,12,14,950,1638,0.85,1.26,85.71,1.4824
enwiki,diariste,12,18,950,1638,1.1,1.26,66.67,1.1455
enwiki,fabuliste,9,15,950,1638,0.92,0.95,60.0,1.0326
enwiki,épistolier ou épistolière,8,10,950,1638,0.61,0.84,80.0,1.377
enwiki,juriste-poète,7,7,950,1638,0.43,0.74,100.0,1.7209
enwiki,prosateur ou prosatrice,7,7,950,1638,0.43,0.74,100.0,1.7209
enwiki,chroniqueur de voyage,6,8,950,1638,0.49,0.63,75.0,1.2857
enwiki,femme de lettres,5,11,950,1638,0.67,0.53,45.45,0.791
enwiki,pamphlétaire,5,9,950,1638,0.55,0.53,55.56,0.9636
enwiki,écrivain ou écrivaine de science-fiction,5,5,950,1638,0.31,0.53,100.0,1.7097
enwiki,épistolière,5,6,950,1638,0.37,0.53,83.33,1.4324
enwiki,historien ou historienne des mathématiques,3,3,950,1638,0.18,0.32,100.0,1.7778
enwiki,historien ou historienne des sciences,3,3,950,1638,0.18,0.32,100.0,1.7778
enwiki,collecteur ou collectrice de textes traditionnels,2,3,950,1638,0.18,0.21,66.67,1.1667
enwiki,homme de lettres,2,11,950,1638,0.67,0.21,18.18,0.3134
enwiki,psalmiste,2,2,950,1638,0.12,0.21,100.0,1.75
enwiki,apologète,1,2,950,1638,0.12,0.11,50.0,0.9167
enwiki,auteur comique,1,2,950,1638,0.12,0.11,50.0,0.9167
enwiki,auteur de contes,1,2,950,1638,0.12,0.11,50.0,0.9167
enwiki,auteur tragique,1,1,950,1638,0.06,0.11,100.0,1.8333
enwiki,journaliste scientifique,1,1,950,1638,0.06,0.11,100.0,1.8333
enwiki,parolier ou parolière,1,1,950,1638,0.06,0.11,100.0,1.8333
enwiki,chroniqueur ou chroniqueuse,0,1,950,1638,0.06,0.0,0.0,0.0
enwiki,historien ou historienne de la médecine,0,1,950,1638,0.06,0.0,0.0,0.0
enwiki,nouvelliste,0,2,950,1638,0.12,0.0,0.0,0.0
enwiki,poétesse,0,1,950,1638,0.06,0.0,0.0,0.0
enwiki,écrivain religieux,0,2,950,1638,0.12,0.0,0.0,0.0
eswiki,écrivain ou écrivaine,400,1155,470,1638,70.51,85.11,34.63,1.2071
eswiki,poète ou poétesse,108,384,470,1638,23.44,22.98,28.12,0.9804
eswiki,dramaturge,91,393,470,1638,23.99,19.36,23.16,0.807
eswiki,romancier ou romancière,45,72,470,1638,4.4,9.57,62.5,2.175
eswiki,essayiste,27,56,470,1638,3.42,5.74,48.21,1.6784
eswiki,librettiste,17,95,470,1638,5.8,3.62,17.89,0.6241
eswiki,autobiographe,11,13,470,1638,0.79,2.34,84.62,2.962
eswiki,diariste,11,18,470,1638,1.1,2.34,61.11,2.1273
eswiki,biographe,10,38,470,1638,2.32,2.13,26.32,0.9181
eswiki,mémorialiste,9,25,470,1638,1.53,1.91,36.0,1.2484
eswiki,auteur ou autrice de littérature pour la jeunesse,6,14,470,1638,0.85,1.28,42.86,1.5059
eswiki,chroniqueur de voyage,6,8,470,1638,0.49,1.28,75.0,2.6122
eswiki,prosateur ou prosatrice,6,7,470,1638,0.43,1.28,85.71,2.9767
eswiki,épistolier ou épistolière,6,10,470,1638,0.61,1.28,60.0,2.0984
eswiki,chansonnier,5,26,470,1638,1.59,1.06,19.23,0.6667
eswiki,fabuliste,4,15,470,1638,0.92,0.85,26.67,0.9239
eswiki,femme de lettres,4,11,470,1638,0.67,0.85,36.36,1.2687
eswiki,juriste-poète,4,7,470,1638,0.43,0.85,57.14,1.9767
eswiki,pamphlétaire,4,9,470,1638,0.55,0.85,44.44,1.5455
eswiki,écrivain ou écrivaine de science-fiction,3,5,470,1638,0.31,0.64,60.0,2.0645
eswiki,historien ou historienne des sciences,2,3,470,1638,0.18,0.43,66.67,2.3889
eswiki,épistolière,2,6,470,1638,0.37,0.43,33.33,1.1622
eswiki,auteur de contes,1,2,470,1638,0.12,0.21,50.0,1.75
eswiki,auteur tragique,1,1,470,1638,0.06,0.21,100.0,3.5
eswiki,collecteur ou collectrice de textes traditionnels,1,3,470,1638,0.18,0.21,33.33,1.1667
eswiki,historien ou historienne de la médecine,1,1,470,1638,0.06,0.21,100.0,3.5
