language_edition,place_affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
dawiki,France,70,1265,124,1638,77.23,56.45,5.53,0.7309
dawiki,mixed_or_ambiguous,29,222,124,1638,13.55,23.39,13.06,1.7262
dawiki,British,7,21,124,1638,1.28,5.65,33.33,4.4141
dawiki,Anglophone,5,9,124,1638,0.55,4.03,55.56,7.3273
dawiki,Germany,5,22,124,1638,1.34,4.03,22.73,3.0075
dawiki,Swedish,3,4,124,1638,0.24,2.42,75.0,10.0833
dawiki,Danish,2,2,124,1638,0.12,1.61,100.0,13.4167
dawiki,Swiss,2,26,124,1638,1.59,1.61,7.69,1.0126
dawiki,Austrian/Habsburg,1,1,124,1638,0.06,0.81,100.0,13.5
dawiki,Czech,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,Dutch,0,3,124,1638,0.18,0.0,0.0,0.0
dawiki,Estonian,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,Greek,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,Haitian/Caribbean,0,2,124,1638,0.12,0.0,0.0,0.0
dawiki,Hungarian,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,Italian,0,18,124,1638,1.1,0.0,0.0,0.0
dawiki,Low Countries,0,3,124,1638,0.18,0.0,0.0,0.0
dawiki,Ottoman,0,2,124,1638,0.12,0.0,0.0,0.0
dawiki,Polish,0,2,124,1638,0.12,0.0,0.0,0.0
dawiki,Portuguese,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,Russian,0,16,124,1638,0.98,0.0,0.0,0.0
dawiki,Slovak,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,Slovene,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,South Asian,0,1,124,1638,0.06,0.0,0.0,0.0
dawiki,Spanish,0,11,124,1638,0.67,0.0,0.0,0.0
dawiki,no_mapped_place_affiliation,0,1,124,1638,0.06,0.0,0.0,0.0
dewiki,France,478,1265,703,1638,77.23,67.99,37.79,0.8804
dewiki,mixed_or_ambiguous,132,222,703,1638,13.55,18.78,59.46,1.386
dewiki,Swiss,21,26,703,1638,1.59,2.99,80.77,1.8805
dewiki,Germany,18,22,703,1638,1.34,2.56,81.82,1.9104
dewiki,British,16,21,703,1638,1.28,2.28,76.19,1.7812
dewiki,Anglophone,7,9,703,1638,0.55,1.0,77.78,1.8182
dewiki,Italian,7,18,703,1638,1.1,1.0,38.89,0.9091
dewiki,Russian,6,16,703,1638,0.98,0.85,37.5,0.8673
dewiki,Swedish,4,4,703,1638,0.24,0.57,100.0,2.375
dewiki,Spanish,3,11,703,1638,0.67,0.43,27.27,0.6418
dewiki,Danish,2,2,703,1638,0.12,0.28,100.0,2.3333
dewiki,Austrian/Habsburg,1,1,703,1638,0.06,0.14,100.0,2.3333
dewiki,Czech,1,1,703,1638,0.06,0.14,100.0,2.3333
dewiki,Estonian,1,1,703,1638,0.06,0.14,100.0,2.3333
dewiki,Haitian/Caribbean,1,2,703,1638,0.12,0.14,50.0,1.1667
dewiki,Hungarian,1,1,703,1638,0.06,0.14,100.0,2.3333
dewiki,Low Countries,1,3,703,1638,0.18,0.14,33.33,0.7778
dewiki,Polish,1,2,703,1638,0.12,0.14,50.0,1.1667
