language_code,wiki_edition,wikidata_label_entities,wikidata_label_pct,wikidata_description_entities,wikidata_description_pct,wikipedia_article_entities,wikipedia_article_pct
en,enwiki,1627,99.33,1478,90.23,950,58.0
fr,frwiki,1613,98.47,1445,88.22,1393,85.04
nl,nlwiki,1563,95.42,1457,88.95,253,15.45
de,dewiki,1548,94.51,863,52.69,703,42.92
es,eswiki,1543,94.2,924,56.41,470,28.69
it,itwiki,1472,89.87,1126,68.74,542,33.09
sv,svwiki,1381,84.31,593,36.2,408,24.91
da,dawiki,1328,81.07,423,25.82,124,7.57
pt,ptwiki,1228,74.97,666,40.66,280,17.09
ru,ruwiki,662,40.42,442,26.98,581,35.47
pl,plwiki,566,34.55,290,17.7,289,17.64
uk,ukwiki,249,15.2,443,27.05,229,13.98
