query (1),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
person,personLabel,birthYear,birthPlaceLabel,coords,occupations
http://www.wikidata.org/entity/Q88270808,Marie-Elisabeth de Polier,1740,Celle,Point(10.0825 52.625555555),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3185843,Joseph de La Font,1686,Paris,Point(2.352222222 48.856666666),"librettiste, dramaturge"
http://www.wikidata.org/entity/Q6119403,Jacob Vernet,1698,Genève,Point(6.15 46.2),écrivain ou écrivaine
http://www.wikidata.org/entity/Q43764169,Pierre de Morand,1701,Arles,Point(4.628611111 43.676944444),écrivain ou écrivaine
http://www.wikidata.org/entity/Q28485769,Q28485769,1758,gouvernement de Riazan,Point(39.716666666 54.616666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q28485769,Q28485769,1763,gouvernement de Riazan,Point(39.716666666 54.616666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3340309,Nicolas Fallet,1746,Langres,Point(5.333055555 47.8625),dramaturge
http://www.wikidata.org/entity/Q116687710,Sébastien-Marie-Mathurin Gazon-Dourxigné,1720,Quimper,Point(-4.097777777 47.995833333),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q18671665,Jean Lecoutz de Lévizac,1745,Albi,Point(2.145833333 43.928055555),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3167636,Jacques-Marie Deschamps,1750,Paris,Point(2.352222222 48.856666666),"librettiste, dramaturge, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q221303,Anne Robert Jacques Turgot,1727,Paris,Point(2.352222222 48.856666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q530816,Ange-François Fariau de Saint-Ange,1747,Blois,Point(1.327222222 47.593055555),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q3382832,Pierre-Anne-Louis de Maton de La Varenne,1761,Paris,Point(2.352222222 48.856666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q15466210,Pierre-Marie Gault de Saint-Germain,1754,Paris,Point(2.352222222 48.856666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3171917,Jean Elleviou,1769,Rennes,Point(-1.680833333 48.114166666),librettiste
http://www.wikidata.org/entity/Q3371054,Paul Desforges-Maillard,1699,Le Croisic,Point(-2.510555555 47.293055555),poète ou poétesse
http://www.wikidata.org/entity/Q980235,Conrad Malte-Brun,1755,Thisted,Point(8.6903 56.9539),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q980235,Conrad Malte-Brun,1775,Thisted,Point(8.6903 56.9539),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q38620548,Charles-Pierre Ducancel,1766,Beauvais,Point(2.0875 49.434166666),dramaturge
http://www.wikidata.org/entity/Q16855789,François Hüe,1757,Fontainebleau,Point(2.701666666 48.408888888),mémorialiste
http://www.wikidata.org/entity/Q3265974,Lucretia van Merken,1721,Amsterdam,Point(4.883333333 52.366666666),"dramaturge, poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q109811576,André-Ignace-Joseph Dufresnoy,1733,Valenciennes,Point(3.523333333 50.358055555),écrivain ou écrivaine
http://www.wikidata.org/entity/Q30715046,Jean-Louis Dupain-Triel,1722,Paris,Point(2.352222222 48.856666666),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q93419,Maurice Beniowski,1746,Q846444,Point(17.7225 48.620833333),écrivain ou écrivaine
http://www.wikidata.org/entity/Q540184,Kelemen Mikes,1690,Zăbala,Point(26.183333333 45.9),écrivain ou écrivaine
http://www.wikidata.org/entity/Q27493854,Philippe-Jacques de Laroche,1765,Paris,Point(2.352222222 48.856666666),dramaturge
http://www.wikidata.org/entity/Q27868398,Jean Marion,1759,Arradon,Point(-2.823333333 47.625555555),écrivain ou écrivaine
http://www.wikidata.org/entity/Q708911,Bernhard Henrik Crusell,1775,Uusikaupunki,Point(21.409722222 60.8),autobiographe
http://www.wikidata.org/entity/Q3620090,Antonio Ricciardi,1700,Loano,Point(8.259822222 44.129002777),poète ou poétesse
http://www.wikidata.org/entity/Q136325064,Marie-Thérèse Quiqueran de Beaujeu,1753,Salon-de-Provence,Point(5.097222222 43.640555555),écrivain ou écrivaine
http://www.wikidata.org/entity/Q2861844,Armand d'Allonville,1764,Verdelot,Point(3.365833333 48.875),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3893654,Paolina Secco Suardo,1746,Bergame,Point(9.67 45.695),poète ou poétesse
http://www.wikidata.org/entity/Q60887,Jeremy Bentham,1748,Londres,Point(-0.1275 51.507222222),écrivain ou écrivaine
http://www.wikidata.org/entity/Q55875055,Joseph Vasselier,1735,Rocroi,Point(4.521388888 49.925277777),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3168897,Jean-Philippe de Béla,1709,Mauléon-Licharre,Point(-0.886944444 43.224166666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q2870989,Auguste-Jacques Lemierre d'Argy,1762,Paris,Point(2.352222222 48.856666666),"dramaturge, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q548610,François-Thomas-Marie de Baculard d'Arnaud,1718,Paris,Point(2.352222222 48.856666666),"poète ou poétesse, dramaturge, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q26997525,Antoine-Pierre Dutramblay,1745,Paris,Point(2.352222222 48.856666666),"librettiste, poète ou poétesse, écrivain ou écrivaine, dramaturge, fabuliste"
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,1748,Izmir,Point(27.13838 38.41273),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3383297,Pierre-Louis Siret,1745,Évreux,Point(1.1525 49.023333333),biographe
http://www.wikidata.org/entity/Q112658312,Pierre-Louis Dupuis de Torcy,1770,Rouen,Point(1.1025 49.443055555),essayiste
http://www.wikidata.org/entity/Q3340816,Nicolas Texier de La Boëssière,1723,Marans,Point(-0.992777777 46.308333333),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3164379,Jean-Baptiste Pujoulx,1762,Saint-Macaire,Point(-0.226316666 44.565238888),"dramaturge, écrivain ou écrivaine, pamphlétaire"
http://www.wikidata.org/entity/Q3159027,Jacques Grasset de Saint-Sauveur,1757,Montréal,Point(-73.5868411 45.5033426),écrivain ou écrivaine
http://www.wikidata.org/entity/Q1003664,François Hanriot,1759,Nanterre,Point(2.203611111 48.890555555),écrivain ou écrivaine
http://www.wikidata.org/entity/Q106648902,Marie-Magdeleine de Bonafons,1716,Versailles,Point(2.135 48.805),"poète ou poétesse, écrivain ou écrivaine, romancier ou romancière"
http://www.wikidata.org/entity/Q37793220,Jean Barré de Saint-Venant,1737,Niort,Point(-0.462222222 46.325),essayiste
http://www.wikidata.org/entity/Q96679057,Mademoiselle Poulain de Nogent,1725,Nogent-sur-Seine,Point(3.5025 48.493611111),"essayiste, poète ou poétesse, écrivain ou écrivaine, romancier ou romancière"
http://www.wikidata.org/entity/Q3134745,Jean-Claude Peyrot,1709,Millau,Point(3.077777777 44.097777777),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q3083844,François Arnaud,1721,Carpentras,Point(5.048055555 44.055),écrivain ou écrivaine
http://www.wikidata.org/entity/Q19277251,Charles Joseph de Mayer,1751,Toulon,Point(5.930555555 43.125),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3094498,Galart de Montjoie,1746,Aix-en-Provence,Point(5.445555555 43.527777777),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3163990,Jean-Baptiste Cœuilhe,1731,Périgueux,Point(0.718055555 45.184166666),poète ou poétesse
http://www.wikidata.org/entity/Q118869868,Q118869868,1766,Nice,Point(7.268333333 43.701944444),écrivain ou écrivaine
http://www.wikidata.org/entity/Q2850783,Anne-Gabriel Meusnier de Querlon,1702,Nantes,Point(-1.553888888 47.217222222),dramaturge
http://www.wikidata.org/entity/Q21832743,Bonfiglio Guelfucci,1721,Belgodère,Point(9.017777777 42.585555555),écrivain ou écrivaine
http://www.wikidata.org/entity/Q1089209,Monvel,1745,Lunéville,Point(6.501666666 48.589444444),"librettiste, dramaturge"
http://www.wikidata.org/entity/Q7068,Julien Offray de La Mettrie,1709,Saint-Malo,Point(-2.026111111 48.649444444),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3163769,Jean-Baptiste-Christophe Grainville,1760,Lisieux,Point(0.225555555 49.145555555),"librettiste, poète ou poétesse"
http://www.wikidata.org/entity/Q1224286,Dieudonné Thiébault,1733,Rupt-sur-Moselle,Point(6.662777777 47.926666666),poète ou poétesse
http://www.wikidata.org/entity/Q15967267,Antoinette Legroing de La Maisonneuve,1764,Bruyères,Point(6.718611111 48.208333333),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3106040,Gilles-François de Beauvais,1693,Le Mans,Point(0.196944444 48.004166666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3297796,Masson de Morvillers,1740,Morvilliers,Point(4.619166666 48.380555555),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q942163,Jean-Baptiste Gresset,1709,Amiens,Point(2.297777777 49.891944444),"poète ou poétesse, dramaturge, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q3382839,Pierre-Antoine-Augustin de Piis,1755,Paris,Point(2.352222222 48.856666666),"dramaturge, poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q3219451,Laurent Pierre Bérenger,1749,Riez,Point(6.092777777 43.818055555),poète ou poétesse
http://www.wikidata.org/entity/Q24020380,Noël Aubin,1754,Tours,Point(0.688333333 47.392777777),dramaturge
http://www.wikidata.org/entity/Q36742,Ignacy Potocki,1750,Radzyń Podlaski,Point(22.61667 51.78333),écrivain ou écrivaine
http://www.wikidata.org/entity/Q15878997,Magdalena Antoinetta van Schinne,1762,La Haye,Point(4.31 52.08),diariste
http://www.wikidata.org/entity/Q278020,Jean-Marie Collot d'Herbois,1749,Paris,Point(2.352222222 48.856666666),dramaturge
http://www.wikidata.org/entity/Q21518173,Léonard Michon,1675,Lyon,Point(4.835 45.7675),diariste
http://www.wikidata.org/entity/Q347372,Louis-Jules Mancini-Mazarini,1716,Paris,Point(2.352222222 48.856666666),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q236554,Manon Roland,1754,Paris,Point(2.352222222 48.856666666),"mémorialiste, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q508939,Josef Jungmann,1773,Hudlice,Point(13.97069849 49.96105038),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q55029673,Auguste Duvau,1771,Tours,Point(0.688333333 47.392777777),homme de lettres
http://www.wikidata.org/entity/Q3083494,François-Louis Gand Le Bland Du Roullet,1716,Normanville,Point(1.159722222 49.079722222),"librettiste, dramaturge"
http://www.wikidata.org/entity/Q1096293,Claude-Adrien Nonnotte,1711,Besançon,Point(6.021388888 47.242222222),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3167025,Jean-Louis Wagnière,1739,Rueyres,Point(6.69351 46.69384),biographe
http://www.wikidata.org/entity/Q104904902,Louis-Thomas Nuirate,1724,Marseille,Point(5.376388888 43.296666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q235611,Catherine Dachkov,1743,Saint-Pétersbourg,Point(30.316666666 59.95),écrivain ou écrivaine
http://www.wikidata.org/entity/Q926616,Martinès de Pasqually,1727,Grenoble,Point(5.726388888 45.186944444),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3260432,Louis-Charles de Lavicomterie,1746,Manche,Point(-1.25 49.05),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q335060,James Boswell,1740,Édimbourg,Point(-3.189166666 55.953333333),"diariste, écrivain ou écrivaine, biographe"
