query (2),Unnamed: 1,Unnamed: 2,Unnamed: 3
person,personLabel,birth,viaf
http://www.wikidata.org/entity/Q364975,Richard Cantillon,1675-01-01T00:00:00Z,5015835
http://www.wikidata.org/entity/Q472399,Jean-Baptiste de Mirabaud,1675-01-01T00:00:00Z,54151582
http://www.wikidata.org/entity/Q732320,Hyacinthe Robillard d'Avrigny,1675-01-01T00:00:00Z,77533764
http://www.wikidata.org/entity/Q463728,"Louis de Rouvroy, duc de Saint-Simon",1675-01-16T00:00:00Z,95157936
http://www.wikidata.org/entity/Q2326613,Yves Marie André,1675-05-22T00:00:00Z,51732793
http://www.wikidata.org/entity/Q2326613,Yves Marie André,1675-05-22T00:00:00Z,315939612
http://www.wikidata.org/entity/Q2960049,Charles Porée,1675-09-04T00:00:00Z,2479859
http://www.wikidata.org/entity/Q3380092,Philippe Jules François Mancini,1675-10-03T00:00:00Z,
http://www.wikidata.org/entity/Q448218,Nicolas Racot de Grandval,1676-01-01T00:00:00Z,312355138
http://www.wikidata.org/entity/Q3130382,Henri-François de Vence,1676-01-01T00:00:00Z,36936241
http://www.wikidata.org/entity/Q3164269,Jean-Baptiste Massip,1676-01-01T00:00:00Z,12157340620509921940
http://www.wikidata.org/entity/Q3261586,Louis Coquelet,1676-01-01T00:00:00Z,76326063
http://www.wikidata.org/entity/Q3345754,Noël-Étienne Sanadon,1676-02-10T00:00:00Z,14901377
http://www.wikidata.org/entity/Q3266530,Luigi Riccoboni,1676-04-01T00:00:00Z,2479973
http://www.wikidata.org/entity/Q3340111,Nicolas Boindin,1676-05-29T00:00:00Z,17264050
http://www.wikidata.org/entity/Q15407311,Pierre de Frasnay,1676-09-20T00:00:00Z,5028947
http://www.wikidata.org/entity/Q2958748,Charles Coffin,1676-10-04T00:00:00Z,76428085
http://www.wikidata.org/entity/Q725459,François Joseph Lagrange-Chancel,1677-01-01T00:00:00Z,7727164
