person,person_qid,personLabel,birthDate,birthYear,occupation_ids,occupation_labels
http://www.wikidata.org/entity/Q100029,Q100029,Otto Hermann von Vietinghoff,1722-12-03T00:00:00Z,1722,Q36180 | Q82955 | Q47064,écrivain ou écrivaine | personnalité politique | militaire
http://www.wikidata.org/entity/Q1000323,Q1000323,Heinrich Wilhelm Lawätz,1748-04-27T00:00:00Z,1748,Q214917 | Q185351,dramaturge | juriste
http://www.wikidata.org/entity/Q1000618,Q1000618,János Ferge,1760-01-01T00:00:00Z,1760,Q49757 | Q56033776,poète ou poétesse | pasteur réformé
http://www.wikidata.org/entity/Q100099149,Q100099149,Józef Kobielski,1693-01-01T00:00:00Z,1693,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q1001058,Q1001058,Jakab Fiala,1697-02-02T00:00:00Z,1697,Q49757 | Q214917,poète ou poétesse | dramaturge
http://www.wikidata.org/entity/Q1001072,Q1001072,Salomo Sachs,1772-12-22T00:00:00Z,1772,Q42973 | Q36180 | Q170790 | Q11063 | Q901402 | Q212238 | Q37226,architecte | écrivain ou écrivaine | mathématicien ou mathématicienne | astronome | géographe | fonctionnaire | enseignant ou enseignante
http://www.wikidata.org/entity/Q1001201,Q1001201,József Fidrichovszky,1760-01-01T00:00:00Z,1760,Q49757,poète ou poétesse
http://www.wikidata.org/entity/Q1001281,Q1001281,András File,1736-01-01T00:00:00Z,1736,Q49757,poète ou poétesse
http://www.wikidata.org/entity/Q100151955,Q100151955,Anders Björklund,1760-01-01T00:00:00Z,1760,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q1001702,Q1001702,József Fischer,1715-01-01T00:00:00Z,1715,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q1002287,Q1002287,Gerzson Fodor,1763-07-26T00:00:00Z,1763,Q49757 | Q56033776 | Q37226 | Q36180,poète ou poétesse | pasteur réformé | enseignant ou enseignante | écrivain ou écrivaine
http://www.wikidata.org/entity/Q1002308,Q1002308,István Fodor,1768-01-01T00:00:00Z,1768,Q49757 | Q56033776 | Q37226,poète ou poétesse | pasteur réformé | enseignant ou enseignante
http://www.wikidata.org/entity/Q100230977,Q100230977,Abigail Martha Bayard,1769-08-14T00:00:00Z,1769,Q18939491,diariste
http://www.wikidata.org/entity/Q1002318,Q1002318,János Fodor,1693-01-01T00:00:00Z,1693,Q37226 | Q56033776 | Q51174991,enseignant ou enseignante | pasteur réformé | church writer
http://www.wikidata.org/entity/Q100233323,Q100233323,Suzuki Michihiko,1757-01-01T00:00:00Z,1757,Q11386386,auteur de haïkus
http://www.wikidata.org/entity/Q100235023,Q100235023,Muhammad ibn Ali al-'Aithan,1726-01-01T00:00:00Z,1726,Q1999841 | Q916292 | Q49757,faqîh | scribe | poète ou poétesse
http://www.wikidata.org/entity/Q100239754,Q100239754,Johann Adam Gottfried,1726-01-01T00:00:00Z,1726,Q152002 | Q656823 | Q13418253 | Q36180 | Q955464 | Q37226,pasteur | précepteur | philologue | écrivain ou écrivaine | curé | enseignant ou enseignante
http://www.wikidata.org/entity/Q1002422,Q1002422,József Fogarasi Pap,1744-01-01T00:00:00Z,1744,Q49757 | Q56033776 | Q37226,poète ou poétesse | pasteur réformé | enseignant ou enseignante
