person,personLabel,death_place_ids,death_place_labels,citizenship_ids,citizenship_labels,residence_ids,residence_labels,work_location_ids,work_location_labels,native_language_ids,native_language_labels,spoken_written_language_ids,spoken_written_language_labels,writing_language_ids,writing_language_labels,gender_ids,gender_labels,ethnic_group_ids,ethnic_group_labels,occupation_ids,occupation_labels,notable_work_ids,notable_work_labels,death_coords,writerly_occupation_ids,writerly_occupation_labels,nonwriter_occupation_ids,nonwriter_occupation_labels,notable_work_count,notable_work_genre_ids,notable_work_genre_labels,notable_work_form_ids,notable_work_form_labels,european_label_count,entity_label_languages,european_description_count,entity_description_languages,has_frwiki,has_enwiki,has_dewiki,has_itwiki,has_eswiki,has_plwiki,has_ruwiki,has_ukwiki,has_nlwiki,has_ptwiki,has_svwiki,has_dawiki,wikipedia_sitelink_count
http://www.wikidata.org/entity/Q1003664,François Hanriot,Q90,Paris,Q142,France,,,,,,,Q150,français,,,Q6581097,masculin,,,Q12859263 | Q36180 | Q47064,orateur ou oratrice | écrivain ou écrivaine | militaire,,,Point(2.352222222222222 48.85666666666667),Q36180,écrivain ou écrivaine,Q12859263 | Q47064,orateur ou oratrice | militaire,0,,,,,12,da | de | en | es | fr | it | nl | pl | pt | ru | sv | uk,6,de | en | fr | it | nl | uk,True,True,True,True,True,True,True,True,False,False,True,False,20
http://www.wikidata.org/entity/Q100879781,Marie-Antoinette Fagnan,Q90,Paris,Q70972,royaume de France,,,,,,,Q150,français,,,Q6581072,féminin,,,Q26203955 | Q36180,auteur de contes | écrivain ou écrivaine,,,Point(2.352222222222222 48.85666666666667),Q26203955 | Q36180,auteur de contes | écrivain ou écrivaine,,,0,,,,,5,de | en | fr | nl | ru,9,da | en | es | fr | it | pt | ru | sv | uk,False,False,False,False,False,False,False,False,False,False,False,False,0
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,Q131329,Arras,Q142,France,,,,,,,Q150,français,,,Q6581097,masculin,,,Q1281618 | Q42973 | Q36180,sculpteur ou sculptrice | architecte | écrivain ou écrivaine,Q83711403,château de Couin,Point(2.78 50.289166666667),Q36180,écrivain ou écrivaine,Q1281618 | Q42973,sculpteur ou sculptrice | architecte,1,,,,,4,en | fr | nl | pt,3,en | fr | nl,False,False,False,False,False,False,False,False,False,False,False,False,0
http://www.wikidata.org/entity/Q101111611,Jean Fidel Constant Blanvillain,Q6548,Orléans,Q142,France,,,,,,,Q150 | Q397 | Q652,français | latin | italien,,,Q6581097,masculin,,,Q36180,écrivain ou écrivaine,,,Point(1.9041666666667 47.902222222222),Q36180,écrivain ou écrivaine,,,0,,,,,3,en | fr | nl,9,en | es | fr | it | nl | pl | pt | ru | uk,False,False,False,False,False,False,False,False,False,False,False,False,0
http://www.wikidata.org/entity/Q101638,Mary Wollstonecraft,Q149573 | Q84,Somers Town | Londres,Q161885,royaume de Grande-Bretagne,Q377720 | Q1347643 | Q25 | Q122897 | Q22890 | Q5273898 | Q150120 | Q851718 | Q90,Barking | Epping Forest | pays de Galles | Newington Green | Irlande | Southwark | Bloomsbury | Beverley | Paris,Q84,Londres,,,Q150 | Q188 | Q1860,français | allemand | anglais,Q1860 | Q188 | Q150,anglais | allemand | français,Q6581072,féminin,,,Q333634 | Q4964182 | Q201788 | Q6625963 | Q11774202 | Q1540278 | Q11293375 | Q3579035 | Q4853732 | Q36180,traducteur ou traductrice | philosophe | historien ou historienne | romancier ou romancière | essayiste | gouvernante | propriétaire de biens | chroniqueur de voyage | auteur ou autrice de littérature pour la jeunesse | écrivain ou écrivaine,Q300646 | Q1754997,"Défense des droits de la femme | Lettres écrites lors d'un court séjour en Suède, en Norvège et au Danemark",Point(-0.13166666666666668 51.53111111111111) | Point(-0.1275 51.507222222222),Q6625963 | Q11774202 | Q3579035 | Q4853732 | Q36180,romancier ou romancière | essayiste | chroniqueur de voyage | auteur ou autrice de littérature pour la jeunesse | écrivain ou écrivaine,Q333634 | Q4964182 | Q201788 | Q1540278 | Q11293375,traducteur ou traductrice | philosophe | historien ou historienne | gouvernante | propriétaire de biens,2,Q133492 | Q35760,lettre | essai,,,12,da | de | en | es | fr | it | nl | pl | pt | ru | sv | uk,11,de | en | es | fr | it | nl | pl | pt | ru | sv | uk,True,True,True,True,True,True,True,True,True,True,True,True,104
http://www.wikidata.org/entity/Q102179180,Françoise Masquière,,,Q142,France,,,,,,,Q150,français,,,Q6581072,féminin,,,Q36180,écrivain ou écrivaine,,,,Q36180,écrivain ou écrivaine,,,0,,,,,8,de | en | es | fr | it | nl | pt | sv,10,da | en | es | fr | it | nl | pl | pt | sv | uk,False,False,False,False,False,False,False,False,False,False,False,False,0
http://www.wikidata.org/entity/Q1032758,József Hajnóczy,Q193478,Buda,Q28,Hongrie,,,,,,,Q9067 | Q188 | Q150 | Q397 | Q9058 | Q1860,hongrois | allemand | français | latin | slovaque | anglais,,,Q6581097,masculin,,,Q185351 | Q36180 | Q333634,juriste | écrivain ou écrivaine | traducteur ou traductrice,,,Point(19.05 47.466666666667),Q36180,écrivain ou écrivaine,Q185351 | Q333634,juriste | traducteur ou traductrice,0,,,,,5,de | en | es | fr | nl,3,de | en | nl,False,False,False,False,False,False,False,False,False,False,False,False,2
http://www.wikidata.org/entity/Q1038496,Carl Gustaf Tessin,Q137163204,Château d'Åkerö,Q34,Suède,,,Q1754 | Q46 | Q1741 | Q641 | Q1748 | Q90 | Q64,Stockholm | Europe | Vienne | Venise | Copenhague | Paris | Berlin,Q9027,suédois,Q9027 | Q150,suédois | français,,,Q6581097,masculin,,,Q82955 | Q193391 | Q36180 | Q10732476,personnalité politique | diplomate | écrivain ou écrivaine | collectionneur ou collectionneuse d'œuvres d'art,,,Point(16.5693 58.8892),Q36180,écrivain ou écrivaine,Q82955 | Q193391 | Q10732476,personnalité politique | diplomate | collectionneur ou collectionneuse d'œuvres d'art,0,,,,,12,da | de | en | es | fr | it | nl | pl | pt | ru | sv | uk,9,de | en | es | fr | it | nl | pl | ru | sv,True,True,True,True,False,True,True,True,False,True,True,True,16
http://www.wikidata.org/entity/Q104007434,Pierre-Romain Nicolas de Lisleferme,Q22988381,hôtel de Lisleferme,Q142,France,,,,,,,,,,,Q6581097,masculin,,,Q2664701 | Q49757,jurisconsulte | poète ou poétesse,,,Point(-0.580136 44.848378),Q49757,poète ou poétesse,Q2664701,jurisconsulte,0,,,,,3,en | fr | nl,2,en | fr,False,False,False,False,False,False,False,False,False,False,False,False,0
http://www.wikidata.org/entity/Q104092014,Jean-Louis Boucharlat,Q90,Paris,Q142,France,,,Q90,Paris,,,Q150,français,Q150,français,Q6581097,masculin,,,Q170790 | Q36180 | Q2144983 | Q49757,mathématicien ou mathématicienne | écrivain ou écrivaine | répétiteur ou répétitrice | poète ou poétesse,,,Point(2.352222222222222 48.85666666666667),Q36180 | Q49757,écrivain ou écrivaine | poète ou poétesse,Q170790 | Q2144983,mathématicien ou mathématicienne | répétiteur ou répétitrice,0,,,,,9,de | en | es | fr | it | nl | pl | pt | sv,6,de | en | fr | it | nl | pt,False,False,False,False,False,False,False,False,False,False,False,False,0
