occupation_id,occupation_label,occupation_wikidata_url,granular_bucket,bucket_family,bucket_method,manual_review_status,is_writerly_seen,is_nonwriter_seen,all_cohorts_entity_count,all_cohorts_assignment_count,notes,french_seed_entity_count,french_seed_assignment_count,global_writers_entity_count,global_writers_assignment_count
Q137178806,Q137178806,https://www.wikidata.org/wiki/Q137178806,Unmapped / Review,Needs review,unmapped,needs_review,False,True,15,15,,0,0,15,15
Q1339249,syndic,https://www.wikidata.org/wiki/Q1339249,Unmapped / Review,Needs review,unmapped,needs_review,False,True,3,3,,0,0,3,3
Q137178813,Q137178813,https://www.wikidata.org/wiki/Q137178813,Unmapped / Review,Needs review,unmapped,needs_review,False,True,2,2,,0,0,2,2
Q135221314,Spanish–German translator,https://www.wikidata.org/wiki/Q135221314,Unmapped / Review,Needs review,unmapped,needs_review,False,True,2,2,,0,0,2,2
Q39020112,Theaterintendant,https://www.wikidata.org/wiki/Q39020112,Unmapped / Review,Needs review,unmapped,needs_review,False,True,2,2,,0,0,2,2
Q7969963,Warraq,https://www.wikidata.org/wiki/Q7969963,Unmapped / Review,Needs review,unmapped,needs_review,False,True,2,2,,0,0,2,2
Q10989378,able seaman,https://www.wikidata.org/wiki/Q10989378,Unmapped / Review,Needs review,unmapped,needs_review,False,True,2,2,,0,0,2,2
Q6484023,agent des terres,https://www.wikidata.org/wiki/Q6484023,Unmapped / Review,Needs review,unmapped,needs_review,False,True,2,2,,0,0,2,2
Q519076,agent ou agente immobilier,https://www.wikidata.org/wiki/Q519076,Unmapped / Review,Needs review,unmapped,needs_review,False,True,2,2,,0,0,2,2
Q3606216,aphoriste,https://www.wikidata.org/wiki/Q3606216,Unmapped / Review,Needs review,unmapped,needs_review,False,True,2,3,,1,1,2,2
Q1279743,archidiaconé luthérien,https://www.wikidata.org/wiki/Q1279743,Unmapped / Review,Needs review,unmapped,needs_review,False,True,2,2,,0,0,2,2
Q500251,armateur,https://www.wikidata.org/wiki/Q500251,Unmapped / Review,Needs review,unmapped,needs_review,False,True,2,3,,1,1,2,2
Q4070283,artilleur,https://www.wikidata.org/wiki/Q4070283,Unmapped / Review,Needs review,unmapped,needs_review,False,True,2,2,,0,0,2,2
